GENESIS-Tabelle: 46251-0002
Fahrzeugbestand: Deutschland, Stichtag, Fahrzeugarten;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;
Deutschland;;;;;;;
Fahrzeugbestand (Anzahl);;;;;;;
;Fahrzeugarten;Fahrzeugarten;Fahrzeugarten;Fahrzeugarten;Fahrzeugarten;Fahrzeugarten;Fahrzeugarten
;Krafträder;Personenkraftwagen;Lastkraftwagen;Kraftomnibusse, Obusse;Zulassungspflichtige Zugmaschinen;Sonderkraftfahrzeuge;Kraftfahrzeuganhänger
01.01.2008;3566122;41183594;2323064;75068;1923235;258954;5642301
01.01.2009;3658590;41321171;2346678;75270;1940397;260517;5774838
01.01.2010;3762561;41737627;2385099;76433;1959861;262838;5910737
01.01.2011;3827894;42301563;2441377;76463;1991099;263735;6057273
01.01.2012;3908072;42927647;2528656;75988;2028071;266743;6213903
01.01.2013;3982978;43431124;2578567;76023;2052739;269581;6358577
01.01.2014;4054946;43851230;2629209;76794;2081763;272877;6500419
01.01.2015;4145392;44403124;2701343;77501;2111149;277132;6674250
01.01.2016;4228238;45071209;2800780;78345;2141495;282374;6854193
01.01.2017;4314493;45803560;2911907;78949;2170335;289024;7050590
__________
Quelle: Kraftfahrt-Bundesamt, Flensburg
© Statistisches Bundesamt (Destatis), 2020
Stand: 10.06.2020 / 09:29:26
