GENESIS-Tabelle: 91211-0001
Science and technology indicators: Länder, Jahre (until;;;;;;;;
2009);;;;;;;;
Science and technology indicators;;;;;;;;
Indicators (unit app.);;;;;;;;
;;2003;2004;2005;2006;2007;2008;2009
Baden-Württemberg;R&D expenditure as a proportion of GDP (%);3.89;3.91;4.20;4.28;4.38;4.62;4.79
Baden-Württemberg;R&D exp. as proportion of GDP - business sector(%);3.08;3.09;3.36;3.46;3.57;3.74;3.81
Baden-Württemberg;R&D exp. as proportion of GDP - gov. sector (%);0.38;0.41;0.41;0.41;0.39;0.42;0.44
Baden-Württemberg;R&D exp. as prop. of GDP - higher educ. sector (%);0.43;0.42;0.43;0.41;0.43;0.46;0.54
Baden-Württemberg;R&D staff as a proportion of the labour force (%);1.96;...;1.96;...;2.05;...;2.10
Baden-Württemberg;R&D staff as prop.of labour force - bus.sector (%);1.45;...;1.50;...;1.57;...;1.56
Baden-Württemberg;R&D staff as prop.of labour force - gov.sector (%);0.23;0.23;0.22;0.22;0.23;0.23;0.24
Baden-Württemberg;R&D staff as prop.of labour f. - higher ed.sec.(%);0.27;0.26;0.25;0.23;0.26;0.27;0.30
Baden-Württemberg;Ratio of human res.(sc./tech.) to labour force (%);42.20;41.30;41.80;42.60;43.80;42.10;45.90
Baden-Württemberg;Tertiary graduation rate (%);20.32;20.64;21.22;22.73;24.99;28.06;33.87
Baden-Württemberg;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);112.21;111.99;121.41;128.67;140.76;157.43;153.45
Baden-Württemberg;High-tech employment as prop. of total empl. (%);3.46;3.30;2.96;2.44;2.92;3.11;...
Baden-Württemberg;Patent applications (EPO) per 1,000,000 inhab.;536.51;553.57;575.63;578.92;554.04;334.53;...
Bayern;R&D expenditure as a proportion of GDP (%);2.95;2.91;2.88;2.95;2.82;2.97;3.08
Bayern;R&D exp. as proportion of GDP - business sector(%);2.36;2.33;2.31;2.36;2.21;2.31;2.37
Bayern;R&D exp. as proportion of GDP - gov. sector (%);0.24;0.24;0.25;0.25;0.26;0.28;0.29
Bayern;R&D exp. as prop. of GDP - higher educ. sector (%);0.35;0.33;0.31;0.34;0.35;0.38;0.42
Bayern;R&D staff as a proportion of the labour force (%);1.54;...;1.53;...;1.48;...;1.57
Bayern;R&D staff as prop.of labour force - bus.sector (%);1.18;...;1.19;...;1.10;...;1.14
Bayern;R&D staff as prop.of labour force - gov.sector (%);0.15;0.17;0.16;0.16;0.16;0.17;0.17
Bayern;R&D staff as prop.of labour f. - higher ed.sec.(%);0.20;0.20;0.18;0.20;0.22;0.24;0.26
Bayern;Ratio of human res.(sc./tech.) to labour force (%);39.10;40.20;41.10;42.20;42.10;43.60;42.40
Bayern;Tertiary graduation rate (%);17.57;18.15;20.09;20.66;22.08;23.74;25.89
Bayern;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);104.40;104.93;109.08;110.05;126.00;141.19;147.56
Bayern;High-tech employment as prop. of total empl. (%);2.34;2.19;2.38;2.61;2.66;2.79;...
Bayern;Patent applications (EPO) per 1,000,000 inhab.;386.85;420.54;429.09;449.21;458.62;272.83;...
