GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Baden-Württemberg;Total;969725;852090;1821815
2019-12-31;Baden-Württemberg;Europe;747615;668535;1416150
2019-12-31;Baden-Württemberg;EU-28 (since 2013-07-01);491430;415555;906980
2019-12-31;Baden-Württemberg;EU-28 third countries (since 2013-07-01);478295;436535;914830
2019-12-31;Baden-Württemberg;EU-27 (until 2013-06-30);427100;357045;784145
2019-12-31;Baden-Württemberg;EU-27 third countries (until 2013-06-30);542625;495040;1037665
2019-12-31;Baden-Württemberg;EU-25 (until 2006-12-31);315430;267620;583050
2019-12-31;Baden-Württemberg;EU-25 third countries (until 2006-12-31);654295;584470;1238765
2019-12-31;Baden-Württemberg;EU-15 (until 2004-04-30);222240;184440;406680
2019-12-31;Baden-Württemberg;EU-15 third countries (until 2004-04-30);747485;667650;1415135
2019-12-31;Baden-Württemberg;EC-12 (until 1994-12-31);206390;169100;375495
2019-12-31;Baden-Württemberg;EC-12 third countries (until 1994-12-31);763335;682985;1446320
2019-12-31;Baden-Württemberg;EC-10 (until 1985-12-31);177450;143440;320890
2019-12-31;Baden-Württemberg;EC-10 third countries (until 1985-12-31);792275;708650;1500920
2019-12-31;Baden-Württemberg;EC-9 (until 1980-12-31);133765;104995;238755
2019-12-31;Baden-Württemberg;EC-9 third countries (until 1980-12-31);835960;747095;1583055
2019-12-31;Baden-Württemberg;EEC-6 (until 1972-12-31);126455;99815;226270
2019-12-31;Baden-Württemberg;EEC-6 third countries (until 1972-12-31);843270;752275;1595545
2019-12-31;Baden-Württemberg;Africa;46000;27060;73055
2019-12-31;Baden-Württemberg;North Africa;10195;6630;16825
2019-12-31;Baden-Württemberg;West Africa;21370;9140;30510
2019-12-31;Baden-Württemberg;Central Africa;3765;2975;6735
2019-12-31;Baden-Württemberg;East Africa;9665;6945;16610
2019-12-31;Baden-Württemberg;Southern Africa;1010;1370;2380
2019-12-31;Baden-Württemberg;America;19840;23450;43290
2019-12-31;Baden-Württemberg;North America;11045;9225;20270
2019-12-31;Baden-Württemberg;Central America and Caribbean;2690;3600;6290
2019-12-31;Baden-Württemberg;South America;6105;10625;16730
2019-12-31;Baden-Württemberg;Asia;147310;126370;273680
2019-12-31;Baden-Württemberg;South West Asia;79195;56715;135910
2019-12-31;Baden-Württemberg;South and South East Asia;33735;36395;70130
2019-12-31;Baden-Württemberg;East and Central Asia;34380;33260;67640
2019-12-31;Baden-Württemberg;Australia and Oceania;1230;960;2190
2019-12-31;Baden-Württemberg;Countries of origin of foreign workers;477945;416595;894540
2019-12-31;Baden-Württemberg;Territory of former Yugoslavia;163295;146440;309735
2019-12-31;Baden-Württemberg;Territory of former Serbia and Montenegro;59440;53410;112845
2019-12-31;Baden-Württemberg;Territory of the former Soviet Union;30910;51970;82880
2019-12-31;Baden-Württemberg;Territory of former Czechoslovakia;7895;8990;16885
2019-12-31;Baden-Württemberg;United Kingdom incl. British overseas territories;5650;3705;9355
2019-12-31;Bayern;Total;1035530;886425;1921955
2019-12-31;Bayern;Europe;776245;674755;1451000
2019-12-31;Bayern;EU-28 (since 2013-07-01);540940;440395;981335
2019-12-31;Bayern;EU-28 third countries (since 2013-07-01);494590;446030;940620
2019-12-31;Bayern;EU-27 (until 2013-06-30);475555;385905;861460
2019-12-31;Bayern;EU-27 third countries (until 2013-06-30);559975;500520;1060500
2019-12-31;Bayern;EU-25 (until 2006-12-31);343540;281545;625085
2019-12-31;Bayern;EU-25 third countries (until 2006-12-31);691990;604880;1296875
2019-12-31;Bayern;EU-15 (until 2004-04-30);198870;163215;362085
2019-12-31;Bayern;EU-15 third countries (until 2004-04-30);836660;723210;1559875
2019-12-31;Bayern;EC-12 (until 1994-12-31);152955;118395;271345
2019-12-31;Bayern;EC-12 third countries (until 1994-12-31);882580;768030;1650610
2019-12-31;Bayern;EC-10 (until 1985-12-31);133835;102210;236045
2019-12-31;Bayern;EC-10 third countries (until 1985-12-31);901695;784215;1685910
2019-12-31;Bayern;EC-9 (until 1980-12-31);93035;67110;160145
2019-12-31;Bayern;EC-9 third countries (until 1980-12-31);942500;819315;1761815
2019-12-31;Bayern;EEC-6 (until 1972-12-31);81415;59200;140615
2019-12-31;Bayern;EEC-6 third countries (until 1972-12-31);954115;827225;1781340
2019-12-31;Bayern;Africa;54280;35845;90130
2019-12-31;Bayern;North Africa;10385;6560;16945
2019-12-31;Bayern;West Africa;20450;12600;33050
2019-12-31;Bayern;Central Africa;2425;2175;4600
2019-12-31;Bayern;East Africa;19660;12900;32560
2019-12-31;Bayern;Southern Africa;1360;1610;2965
2019-12-31;Bayern;America;26775;29475;56250
2019-12-31;Bayern;North America;16460;12555;29015
2019-12-31;Bayern;Central America and Caribbean;3330;4450;7780
2019-12-31;Bayern;South America;6985;12470;19455
2019-12-31;Bayern;Asia;170985;141195;312180
2019-12-31;Bayern;South West Asia;87950;60380;148330
2019-12-31;Bayern;South and South East Asia;37840;40750;78590
2019-12-31;Bayern;East and Central Asia;45200;40065;85265
2019-12-31;Bayern;Australia and Oceania;1695;1335;3030
2019-12-31;Bayern;Countries of origin of foreign workers;397405;333120;730520
2019-12-31;Bayern;Territory of former Yugoslavia;168610;143135;311740
2019-12-31;Bayern;Territory of former Serbia and Montenegro;54860;46335;101195
