GENESIS-Tabelle: 82111-0001
Regional accounts (production approach) - GDP at market;;;;;;;;;;;;;;;;;
prices (nominal): Länder, years;;;;;;;;;;;;;;;;;
Regional accounts (Länder): production approach;;;;;;;;;;;;;;;;;
GDP at market prices (current prices) (EUR mn);;;;;;;;;;;;;;;;;
;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Länder;Germany
;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;
1991;242884;263313;68089;19683;18853;61137;150304;14312;144406;379917;76346;21435;36618;20503;50969;17029;1585800
1992;255866;283121;75252;24556;19427;63681;158844;17634;153180;400435;80038;22256;45533;25615;53885;22738;1702060
1993;253742;287952;80745;29859;19358;65961;161497;21113;156156;403209;79944;21922;55172;31476;54916;27870;1750890
1994;262645;298303;83400;34453;19979;67960;165682;24462;162564;414887;82936;22906;63987;36204;56662;32519;1829550
1995;271747;306797;85751;37890;20392;69616;170247;26726;164423;429245;86071;23838;70361;38452;58727;34328;1894610
1996;276777;312206;84993;39735;20436;71178;174469;27685;165464;430662;86172;23255;73008;40069;59664;35606;1921380
1997;282190;319866;83735;40563;21087;73831;178011;28134;168598;440888;88827;23730;72954;41026;60983;36727;1961150
1998;291100;333718;84138;41617;21354;75807;181871;28289;174401;452910;89825;24182;74098;41578;61807;37725;2014420
1999;300727;344292;84770;43447;21397;76312;189130;29057;178196;456587;91937;24566;75612;42088;62417;38945;2059480
2000;308823;357900;85534;44672;22290;77837;193586;29253;183712;465177;93617;25343;75609;42470;63740;39525;2109090
2001;323078;371890;86368;45764;23073;82158;200762;29686;187133;475513;93851;25899;78042;43108;65653;40562;2172540
2002;325510;380498;86096;46254;23657;83116;201389;29882;186124;482970;95725;25852;80675;44511;64774;41087;2198120
2003;329164;378244;85341;46598;24273;83480;206979;30070;187462;483034;96358;26107;82339;44756;65472;41894;2211570
2004;333276;390718;85425;47824;24446;85436;209970;30438;192288;496191;99310;27244;84603;45628;66894;42830;2262520
2005;335789;396416;87188;48463;24848;87135;211230;30457;197328;501286;99566;28542;84381;45599;67269;42813;2288310
2006;357283;413508;90563;50770;26077;88325;218077;31448;206858;518563;103467;29768;88686;47699;69368;44619;2385080
2007;377021;433669;94579;52819;26985;91470;226116;33055;215917;548742;107936;31138;92657;49846;71052;46548;2499550
2008;381903;436940;98968;54621;27325;94516;229183;33877;221893;561833;109464;31492;93577;50592;73298;47011;2546490
2009;353463;428198;99192;53377;24897;91129;219381;33583;212367;539918;106163;28517;90848;48316;71275;45106;2445730
2010;382897;452128;103052;55770;26358;93643;226703;34651;225760;554213;112475;30049;94818;51120;72935;47829;2564400
2011;405608;483475;108111;57468;27245;94664;236927;36160;239725;577123;117323;31790;99403;51983;75930;50625;2693560
2012;414608;496512;109772;58905;28517;97009;237951;36421;244817;582710;120490;32018;101330;54120;78768;51363;2745310
2013;425366;511943;112881;60537;28824;101145;243459;37627;247883;594356;123016;31716;104139;55049;80007;53401;2811350
2014;442683;534066;118519;63742;29798;103431;253765;39407;259058;617470;127528;33254;109328;56318;82868;56197;2927430
2015;464178;555460;124996;65431;30541;108361;260886;40196;261524;637549;133178;34090;113629;57487;84921;57641;3030070
2016;475212;577861;133218;67163;31424;110686;271532;41005;280276;652269;136419;34314;117041;59003;87473;59206;3134100
2017;495193;601847;139266;69865;32198;115406;278353;43792;286318;673481;139691;35217;120893;60609;91814;61047;3244990
2018;513438;616674;145547;71903;32835;118912;285833;44684;297301;694839;143655;35710;124374;61755;94670;62240;3344370
2019;524325;632897;153291;74330;33623;123270;294477;46567;307036;711419;145003;36253;128097;63545;97762;63866;3435760
__________
"Source:
Länder National Accounts Working Group.

Calculated as at: August 2019 / February 2020"
© Federal Statistical Office, Wiesbaden 2020
created: 2020-11-25 / 17:05:20
