GENESIS-Tabelle: 12211-0005
Population, persons in employment, unemployed persons,;;;;;;
economically active population, economically inactive;;;;;;
population: Länder, years;;;;;;
Microcensus;;;;;;
;;Population;Persons in employment;Unemployed persons;Economically active population;Economically inactive population
;;1000;1000;1000;1000;1000
Baden-Württemberg;1991-04;9859;4831;160;4991;4869
Baden-Württemberg;1992-05;10044;4884;207;5091;4953
Baden-Württemberg;1993-04;10176;4837;300;5138;5038
Baden-Württemberg;1994-04;10240;4744;385;5129;5111
Baden-Württemberg;1995-04;10277;4735;375;5110;5167
Baden-Württemberg;1996-04;10331;4764;355;5119;5212
Baden-Württemberg;1997-04;10380;4769;392;5161;5218
Baden-Württemberg;1998-04;10397;4795;368;5163;5234
Baden-Württemberg;1999-04;10428;4843;331;5174;5255
Baden-Württemberg;2000-05;10489;4909;268;5178;5311
Baden-Württemberg;2001-04;10538;4977;252;5229;5309
Baden-Württemberg;2002-04;10613;5019;299;5318;5295
Baden-Württemberg;2003-05;10670;4984;384;5368;5303
Baden-Württemberg;2004-03;10694;4945;421;5366;5328
Baden-Württemberg;2005;10728;5093;387;5480;5249
Baden-Württemberg;2006;10739;5174;351;5525;5214
Baden-Württemberg;2007;10745;5300;275;5575;5170
Baden-Württemberg;2008;10751;5373;237;5610;5142
Baden-Württemberg;2009;10751;5332;288;5620;5131
Baden-Württemberg;2010;10744;5357;269;5625;5119
Baden-Württemberg;2011;10494;5334;196;5530;4964
Baden-Württemberg;2012;10541;5397;185;5582;4959
Baden-Württemberg;2013;10599;5513;190;5703;4896
Baden-Württemberg;2014;10666;5577;179;5755;4911
Baden-Württemberg;2015;10766;5653;181;5834;4932
Baden-Württemberg;2016;10935;5790;182;5973;4962
Baden-Württemberg;2017;10902;5850;174;6024;4877
Baden-Württemberg;2018;10897;5907;148;6055;4841
Baden-Württemberg;2019;10963;5987;144;6131;4832
Bayern;1991-04;11488;5821;215;6036;5452
Bayern;1992-05;11640;5883;257;6140;5500
Bayern;1993-04;11798;5836;347;6183;5615
Bayern;1994-04;11875;5771;410;6181;5694
Bayern;1995-04;11936;5788;402;6190;5746
Bayern;1996-04;12001;5744;409;6153;5848
Bayern;1997-04;12048;5701;462;6163;5884
Bayern;1998-04;12061;5743;419;6161;5899
Bayern;1999-04;12098;5839;393;6232;5866
Bayern;2000-05;12175;5879;318;6197;5978
