GENESIS-Tabelle: 11111-0001
Size of territory: Länder, reference date;
Recording of territorial status;
Size of territory (sq km);
;Reference date
;2016-12-31
Baden-Württemberg;35673.71
Bayern;70542.03
Berlin;891.12
Brandenburg;29654.38
Bremen;419.84
Hamburg;755.09
Hessen;21115.67
Mecklenburg-Vorpommern;23292.73
Niedersachsen;47709.83
Nordrhein-Westfalen;34112.74
Rheinland-Pfalz;19858.00
Saarland;2571.10
Sachsen;18449.99
Sachsen-Anhalt;20452.14
Schleswig-Holstein;15802.27
Thüringen;16202.37
Total;357578.17
__________
"Size of territory:
Berlin (1995-2000):
Relating to the territory as at 1 January 2001.

Rheinland-Pfalz:
Since 2004, the total Land area has included the ""German-
Luxembourg condominium"" of 6.20 qkm.

Sachsen (1995):
Relating to the territory as at 1 January 1996."
© Federal Statistical Office, Wiesbaden 2020
created: 2020-11-24 / 20:13:50
