GENESIS-Tabelle: 33111-0002
Soil area (actual use): Länder, reference date,;;;;;;;;;;;;;;;;;;
types of use;;;;;;;;;;;;;;;;;;
Survey of areas by type of actual use;;;;;;;;;;;;;;;;;;
Soil area (sq km);;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Total
2019-12-31;Housing area;3320.72;5382.61;493.35;2036.77;184.93;351.00;1976.43;1286.28;4477.32;5686.38;1698.18;394.20;1898.29;1569.48;1430.10;1247.03;33433.07
2019-12-31;Residential building area;1559.70;2180.51;221.26;657.28;69.13;168.12;920.46;386.53;2058.63;2439.62;699.17;204.47;866.93;372.46;684.34;335.80;13824.40
2019-12-31;Industrial and commercial area;738.07;923.20;66.70;449.28;51.44;67.90;345.29;224.99;803.31;1027.10;294.91;76.11;354.73;306.35;201.14;279.99;6210.52
2019-12-31;Industry and commerce;523.42;482.35;36.04;303.68;34.91;44.09;215.66;146.80;464.88;658.19;180.45;55.01;229.79;167.06;110.27;183.72;3836.32
2019-12-31;Stockpile;13.95;3.46;0.07;9.29;0.56;0.04;9.21;0.48;11.59;39.35;5.10;5.53;20.35;25.50;2.04;6.47;152.99
2019-12-31;Mining company;-;0.06;-;-;-;-;0.05;-;0.12;7.09;0.01;0.00;-;1.26;-;2.68;11.27
2019-12-31;Open-cast mine, pit, quarry;70.63;154.36;0.05;316.21;0.03;0.24;42.73;54.56;215.25;196.36;45.04;5.85;212.43;97.87;45.12;37.85;1494.58
2019-12-31;Mixed-use area;356.05;1216.94;29.98;239.78;7.84;18.02;247.53;173.40;614.80;701.48;180.96;38.02;60.52;148.56;227.31;140.64;4401.83
2019-12-31;Area with special functional character;166.40;303.70;44.11;69.85;12.95;23.59;120.87;60.75;193.94;323.42;104.06;24.13;83.91;80.10;69.01;44.03;1724.81
2019-12-31;Sports, leisure and recreation area;378.92;558.28;120.16;271.78;39.83;64.72;260.80;371.79;536.65;862.47;347.39;33.59;282.07;519.20;187.85;388.41;5223.92
2019-12-31;Public park;167.17;198.15;95.68;131.71;31.69;50.29;123.48;300.40;279.18;559.77;228.34;12.10;119.57;441.03;87.38;303.73;3129.68
2019-12-31;Cemetery;37.00;42.09;11.02;23.31;3.15;8.37;29.49;13.77;43.03;89.48;21.53;6.49;17.35;18.18;13.30;11.16;388.73
