GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;01001;Flensburg, kreisfreie Stadt;50126;2888;-;2826;43822;26840;16221;91;2434;55;664;-;382;282;227;1074;5066;2217;73
01.01.2019;01002;Kiel, kreisfreie Stadt;128350;8190;-;8004;110156;72467;35749;675;7673;140;907;-;290;617;749;2665;10758;4938;428
01.01.2019;01003;Lübeck, kreisfreie Stadt;115539;7841;-;7697;98480;66814;29929;221;6953;170;1469;-;801;668;575;1671;13115;5748;2359
01.01.2019;01004;Neumünster, kreisfreie Stadt;49865;3317;-;3222;41950;27328;13860;75;3446;130;755;-;368;387;322;585;6814;3654;421
01.01.2019;01051;Dithmarschen, Landkreis;103288;7718;-;7367;80691;48708;30848;90;6071;157;7918;-;1169;6749;800;1492;22397;13528;1763
01.01.2019;01053;Herzogtum Lauenburg, Landkreis;140764;10663;-;10347;115955;74940;38997;116;8206;335;4973;-;590;4383;851;2041;23423;13564;1087
01.01.2019;01054;Nordfriesland, Landkreis;131204;9431;-;8993;101766;60768;39233;185;9989;224;8298;-;275;8023;1535;2572;28731;17327;443
01.01.2019;01055;Ostholstein, Landkreis;151319;12062;-;11624;124387;83161;39525;103;8073;205;5722;-;568;5154;972;2420;24600;14317;667
01.01.2019;01056;Pinneberg, Landkreis;208966;14977;-;14623;174856;119602;52293;231;12902;217;5088;-;499;4589;912;3299;26224;14111;722
01.01.2019;01057;Plön, Landkreis;96746;7602;-;7354;79184;51264;26801;95;5029;131;4235;-;246;3989;601;1984;16247;9172;331
01.01.2019;01058;Rendsburg-Eckernförde, Landkreis;209218;15274;-;14716;170807;103384;64742;172;11468;311;10056;-;561;9495;1441;4022;36413;20624;729
01.01.2019;01059;Schleswig-Flensburg, Landkreis;158882;11858;-;11314;125733;71695;52170;245;9383;271;10670;-;1327;9343;993;3454;35155;20011;1145
01.01.2019;01060;Segeberg, Landkreis;200151;15170;-;14680;165032;106735;55416;71;11969;323;6767;-;980;5787;1142;3146;30329;17701;1157
01.01.2019;01061;Steinburg, Landkreis;100100;8195;-;7786;80413;51016;28203;121;5517;219;5267;-;376;4891;587;1577;18647;11034;529
01.01.2019;01062;Stormarn, Landkreis;180402;12834;-;12535;150053;98073;49378;38;11355;228;4504;-;856;3648;1618;2684;23223;12479;1730
01.01.2019;02000;Hamburg, kreisfreie Stadt;921354;53264;-;52142;794618;523298;254701;1885;58821;1040;7797;-;3721;4076;4969;12522;72130;32123;11621
01.01.2019;03101;Braunschweig, kreisfreie Stadt;164935;10464;-;10246;144741;88319;53084;217;7522;204;1391;-;607;784;600;1356;12518;6411;1084
01.01.2019;03102;Salzgitter, kreisfreie Stadt;63061;4265;-;4126;54951;36780;17039;122;2553;95;907;-;266;641;263;474;7173;4125;490
01.01.2019;03103;Wolfsburg, kreisfreie Stadt;148726;5687;-;5490;137862;86245;48934;127;3663;59;995;-;99;896;392;1056;6462;3412;217
01.01.2019;03151;Gifhorn, Landkreis;130334;12009;-;11539;105549;65833;37908;188;5440;121;6440;-;319;6121;708;1638;23976;15029;536
01.01.2019;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;03153;Goslar, Landkreis;95056;7751;-;7538;79568;53134;25120;113;4345;156;2746;-;657;2089;533;905;13066;7514;792
01.01.2019;03154;Helmstedt, Landkreis;66381;5943;-;5766;54952;35591;18401;126;2516;58;2445;-;285;2160;399;705;10083;6097;137
01.01.2019;03155;Northeim, Landkreis;107840;9225;-;8812;86654;58462;26903;191;4761;139;6272;-;393;5879;737;957;15972;9770;568
01.01.2019;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;03157;Peine, Landkreis;98487;8248;-;8022;82594;55926;24972;142;3952;137;3070;-;381;2689;481;954;15147;8947;596
01.01.2019;03158;Wolfenbüttel, Landkreis;87877;7796;-;7595;73771;49895;22510;95;3357;76;2440;-;134;2306;418;934;11985;7085;203
01.01.2019;03159;Göttingen, Landkreis;220870;17119;-;16475;181829;121965;56679;207;10745;519;9686;-;1725;7961;1284;2216;32968;16899;6046
01.01.2019;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;03241;Region Hannover, Landkreis;681669;49468;-;48324;578638;391434;175161;848;36274;891;12177;-;2447;9730;4264;6424;80718;45657;3275
01.01.2019;03251;Diepholz, Landkreis;173682;12889;-;12430;138116;89979;45477;229;9738;353;11635;-;1940;9695;1075;1736;35021;21714;2634
01.01.2019;03252;Hameln-Pyrmont, Landkreis;108465;8469;-;8196;90847;63214;25969;125;4898;166;3562;-;209;3353;564;1032;16545;10434;338
01.01.2019;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;03254;Hildesheim, Landkreis;188508;14576;-;14158;159045;110028;46302;257;8143;223;5496;-;498;4998;991;1626;23699;14089;725
