Year,Berlin,Variacion
1995,77.8,0.0
1996,78.7,0.012779693598900995
1997,79.8,0.012618499120369138
1998,80.1,0.012507832061835226
1999,80.1,0.0
2000,81.1,0.0124071070470535
2001,82.1,0.012255055337015541
2002,83.1,0.012106685403019846
2003,83.4,0.012012025010994066
2004,85.1,0.011869838949781004
2005,86.3,0.011668802091711034
2006,87.6,0.01150107680997234
2007,89.2,0.011312526027261122
2008,91.4,0.011074744942791285
2009,91.6,0.01092896609990186
2010,92.8,0.010846140093391589
2011,94.8,0.010661384734410806
2012,97.0,0.010427986019275633
2013,99.1,0.010199268015504574
2014,100.0,0.010045271835721532
2015,100.0,0.0
2016,100.7,0.009965162480607057
2017,102.1,0.009862089604359078
2018,103.9,0.009708984963645523
2019,105.3,0.009560372167677255
