Year,Month,num_dias_lluvia
1963,01,14.0
1963,02,10.0
1963,03,11.0
1963,04,12.0
1963,05,10.0
1963,06,8.0
1963,07,8.0
1963,08,21.0
1963,09,9.0
1963,10,11.0
1963,11,23.0
1963,12,9.0
1964,01,7.0
1964,02,11.0
1964,03,11.0
1964,04,15.0
1964,05,12.0
1964,06,13.0
1964,07,14.0
1964,08,14.0
1964,09,13.0
1964,10,12.0
1964,11,15.0
1964,12,18.0
1965,01,18.0
1965,02,19.0
1965,03,14.0
1965,04,20.0
1965,05,16.0
1965,06,12.0
1965,07,24.0
1965,08,7.0
1965,09,11.0
1965,10,6.0
1965,11,14.0
1965,12,23.0
1966,01,18.0
1966,02,17.0
1966,03,19.0
1966,04,13.0
1966,05,10.0
1966,06,17.0
1966,07,21.0
1966,08,13.0
1966,09,11.0
1966,10,12.0
1966,11,16.0
1966,12,23.0
1967,01,22.0
1967,02,15.0
1967,03,17.0
1967,04,11.0
1967,05,11.0
1967,06,16.0
1967,07,8.0
1967,08,11.0
1967,09,21.0
1967,10,14.0
1967,11,11.0
1967,12,25.0
1968,01,23.0
1968,02,13.0
1968,03,17.0
1968,04,6.0
1968,05,17.0
1968,06,12.0
1968,07,14.0
1968,08,8.0
1968,09,18.0
1968,10,14.0
1968,11,15.0
1968,12,9.0
1969,01,15.0
1969,02,14.0
1969,03,13.0
1969,04,18.0
1969,05,14.0
1969,06,14.0
1969,07,7.0
1969,08,12.0
1969,09,4.0
1969,10,11.0
1969,11,21.0
1969,12,7.0
1970,01,8.0
1970,02,25.0
1970,03,18.0
1970,04,22.0
1970,05,14.0
1970,06,6.0
1970,07,13.0
1970,08,8.0
1970,09,15.0
1970,10,18.0
1970,11,16.0
1970,12,17.0
1971,01,11.0
1971,02,16.0
1971,03,13.0
1971,04,6.0
1971,05,11.0
1971,06,22.0
1971,07,3.0
1971,08,7.0
1971,09,10.0
1971,10,6.0
1971,11,15.0
1971,12,20.0
1972,01,9.0
1972,02,5.0
1972,03,10.0
1972,04,16.0
1972,05,16.0
1972,06,14.0
1972,07,9.0
1972,08,14.0
1972,09,14.0
1972,10,9.0
1972,11,17.0
1972,12,6.0
1973,01,18.0
1973,02,17.0
1973,03,10.0
1973,04,20.0
1973,05,20.0
1973,06,8.0
1973,07,13.0
1973,08,7.0
1973,09,12.0
1973,10,13.0
1973,11,19.0
1973,12,20.0
1974,01,16.0
1974,02,9.0
1974,03,6.0
1974,04,7.0
1974,05,12.0
1974,06,17.0
1974,07,16.0
1974,08,11.0
1974,09,15.0
1974,10,23.0
1974,11,20.0
1974,12,24.0
1975,01,19.0
1975,02,6.0
1975,03,11.0
1975,04,12.0
1975,05,7.0
1975,06,10.0
1975,07,9.0
1975,08,9.0
1975,09,10.0
1975,10,13.0
1975,11,10.0
1975,12,14.0
1976,01,23.0
1976,02,7.0
1976,03,12.0
1976,04,7.0
1976,05,17.0
1976,06,6.0
1976,07,9.0
1976,08,8.0
1976,09,13.0
1976,10,6.0
1976,11,20.0
1976,12,17.0
1977,01,19.0
1977,02,18.0
1977,03,12.0
1977,04,21.0
1977,05,11.0
1977,06,14.0
1977,07,15.0
1977,08,16.0
1977,09,13.0
1977,10,11.0
1977,11,22.0
1977,12,18.0
1978,01,15.0
1978,02,14.0
1978,03,21.0
1978,04,8.0
1978,05,14.0
1978,06,18.0
1978,07,12.0
1978,08,16.0
1978,09,25.0
1978,10,20.0
1978,11,12.0
1978,12,19.0
1979,01,18.0
1979,02,13.0
1979,03,23.0
1979,04,13.0
1979,05,14.0
1979,06,13.0
1979,07,17.0
1979,08,10.0
1979,09,13.0
1979,10,5.0
1979,11,19.0
1979,12,19.0
1980,01,14.0
1980,02,14.0
1980,03,13.0
1980,04,17.0
1980,05,6.0
1980,06,21.0
1980,07,22.0
1980,08,14.0
1980,09,10.0
1980,10,17.0
1980,11,18.0
1980,12,22.0
1981,01,19.0
1981,02,11.0
1981,03,21.0
1981,04,9.0
1981,05,11.0
1981,06,18.0
1981,07,16.0
1981,08,12.0
1981,09,10.0
1981,10,21.0
1981,11,20.0
1981,12,21.0
1982,01,13.0
1982,02,4.0
1982,03,13.0
1982,04,11.0
1982,05,13.0
1982,06,14.0
1982,07,4.0
1982,08,8.0
1982,09,4.0
1982,10,11.0
1982,11,10.0
1982,12,17.0
1983,01,23.0
1983,02,13.0
1983,03,18.0
1983,04,19.0
1983,05,21.0
1983,06,11.0
1983,07,7.0
1983,08,8.0
1983,09,15.0
1983,10,18.0
1983,11,13.0
1983,12,20.0
1984,01,22.0
1984,02,13.0
1984,03,7.0
1984,04,10.0
1984,05,19.0
1984,06,19.0
1984,07,13.0
1984,08,7.0
1984,09,16.0
1984,10,18.0
1984,11,9.0
1984,12,14.0
1985,01,21.0
1985,02,12.0
1985,03,15.0
1985,04,17.0
1985,05,9.0
1985,06,19.0
1985,07,13.0
1985,08,16.0
1985,09,12.0
1985,10,10.0
1985,11,15.0
1985,12,24.0
1986,01,25.0
1986,02,9.0
1986,03,12.0
1986,04,17.0
1986,05,16.0
1986,06,8.0
1986,07,12.0
1986,08,10.0
1986,09,12.0
1986,10,12.0
1986,11,16.0
1986,12,21.0
1987,01,19.0
1987,02,14.0
1987,03,14.0
1987,04,14.0
1987,05,17.0
1987,06,18.0
1987,07,19.0
1987,08,20.0
1987,09,20.0
1987,10,8.0
1987,11,19.0
1987,12,17.0
1988,01,19.0
1988,02,22.0
1988,03,23.0
1988,04,3.0
1988,05,9.0
1988,06,17.0
1988,07,19.0
1988,08,9.0
1988,09,16.0
1988,10,13.0
1988,11,19.0
1988,12,23.0
1989,01,10.0
1989,02,16.0
1989,03,15.0
1989,04,8.0
1989,05,6.0
1989,06,13.0
1989,07,15.0
1989,08,12.0
1989,09,7.0
1989,10,14.0
1989,11,14.0
1989,12,15.0
1990,01,21.0
1990,02,17.0
1990,03,14.0
1990,04,13.0
1990,05,8.0
1990,06,18.0
1990,07,8.0
1990,08,13.0
1990,09,21.0
1990,10,7.0
1990,11,15.0
1990,12,18.0
1991,01,13.0
1991,02,13.0
1991,03,10.0
1991,04,13.0
1991,05,13.0
1991,06,22.0
1991,07,11.0
1991,08,13.0
1991,09,9.0
1991,10,11.0
1991,11,13.0
1991,12,14.0
1992,01,15.0
1992,02,18.0
1992,03,19.0
1992,04,16.0
1992,05,8.0
1992,06,5.0
1992,07,12.0
1992,08,15.0
1992,09,10.0
1992,10,17.0
1992,11,23.0
1992,12,11.0
1993,01,18.0
1993,02,14.0
1993,03,11.0
1993,04,7.0
1993,05,15.0
1993,06,15.0
1993,07,23.0
1993,08,16.0
1993,09,14.0
1993,10,14.0
