Year,Berlin,Value,ppp
2000,85534.0,0.942858,80646.416172
2001,86368.0,0.9295700000000001,80285.10176
2002,86096.0,0.913257,78627.774672
2003,85341.0,0.8969159999999999,76543.70835599999
2004,85425.0,0.875857,74820.084225
2005,87188.0,0.8727209999999999,76090.79854799999
2006,90563.0,0.848598,76851.580674
2007,94579.0,0.838174,79273.658746
2008,98968.0,0.820401,81193.44616800001
2009,99192.0,0.810326,80377.856592
2010,103052.0,0.804502,82905.540104
2011,108111.0,0.7887390000000001,85271.36202900001
2012,109772.0,0.787246,86417.567912
2013,112881.0,0.774784,87458.392704
2014,118519.0,0.768937,91133.644303
2015,124996.0,0.777913,97236.013348
2016,133218.0,0.752684,100271.05711200001
2017,139266.0,0.7405619999999999,103135.107492
2018,145547.0,0.740758,107815.104626
2019,153291.0,0.737202,113006.431782
