Region,Year,Population,Size(sq km),pob/km2
Berlin,1991-04,3425000.0,891.12,3843.477870544932
Berlin,1992-05,3450000.0,891.12,3871.5324535416107
Berlin,1993-04,3470000.0,891.12,3893.976119938953
Berlin,1994-04,3479000.0,891.12,3904.075769817757
Berlin,1995-04,3469000.0,891.12,3892.853936619086
Berlin,1996-04,3468000.0,891.12,3891.731753299219
Berlin,1997-04,3452000.0,891.12,3873.7768201813446
Berlin,1998-04,3418000.0,891.12,3835.6225873058625
Berlin,1999-04,3394000.0,891.12,3808.6901876290513
Berlin,2000-05,3385000.0,891.12,3798.5905377502468
Berlin,2001-04,3384000.0,891.12,3797.46835443038
Berlin,2002-04,3389000.0,891.12,3803.0792710297155
Berlin,2003-05,3392000.0,891.12,3806.445820989317
Berlin,2004-03,3387000.0,891.12,3800.834904389981
Berlin,2005,3390000.0,891.12,3804.2014543495825
Berlin,2006,3399000.0,891.12,3814.3011042283865
Berlin,2007,3408000.0,891.12,3824.400754107191
Berlin,2008,3424000.0,891.12,3842.355687225065
Berlin,2009,3436000.0,891.12,3855.8218870634705
Berlin,2010,3445000.0,891.12,3865.921536942275
Berlin,2011,3300000.0,891.12,3703.2049555615404
Berlin,2012,3348000.0,891.12,3757.069754915163
Berlin,2013,3396000.0,891.12,3810.934554268785
Berlin,2014,3443000.0,891.12,3863.6771703025406
Berlin,2015,3486000.0,891.12,3911.9310530568273
Berlin,2016,3537000.0,891.12,3969.162402370051
Berlin,2017,3559000.0,891.12,3993.850435407128
Berlin,2018,3589000.0,891.12,4027.515935003142
Berlin,2019,3604000.0,891.12,4044.348684801149
