id_estacion,Year,Month,temp_media,sum_precipitacion,horas_luz
430,1963,01,-7.84,9.6,-999.0
430,1963,02,-5.3,4.9,-999.0
430,1963,03,2.75,18.2,-999.0
430,1963,04,9.05,65.1,-999.0
430,1963,05,14.07,50.0,-999.0
430,1963,06,18.2,31.3,-999.0
430,1963,07,19.9,37.9,-999.0
430,1963,08,18.06,72.5,-999.0
430,1963,09,14.83,52.3,-999.0
430,1963,10,9.14,18.1,-999.0
430,1963,11,8.14,97.7,-999.0
430,1963,12,-2.57,6.5,-999.0
430,1964,01,-2.29,17.2,-999.0
430,1964,02,0.16,18.1,-999.0
430,1964,03,0.2,33.9,-999.0
430,1964,04,9.69,41.4,-999.0
430,1964,05,14.68,61.3,-999.0
430,1964,06,19.26,49.2,-999.0
430,1964,07,19.45,35.9,-999.0
430,1964,08,16.78,76.7,-999.0
430,1964,09,14.2,41.0,-999.0
430,1964,10,8.02,44.4,-999.0
430,1964,11,5.36,37.3,-999.0
430,1964,12,1.46,25.8,-999.0
430,1965,01,1.82,50.9,-999.0
430,1965,02,-1.18,17.8,-999.0
430,1965,03,2.33,31.5,-999.0
430,1965,04,7.91,77.6,-999.0
430,1965,05,12.24,52.6,-999.0
430,1965,06,17.35,67.6,-999.0
430,1965,07,15.92,111.3,-999.0
430,1965,08,16.35,32.4,-999.0
430,1965,09,14.56,58.9,-999.0
430,1965,10,8.53,16.5,-999.0
430,1965,11,0.78,45.1,-999.0
430,1965,12,2.75,68.4,-999.0
430,1966,01,-2.86,39.7,-999.0
430,1966,02,1.19,66.1,-999.0
430,1966,03,3.81,42.2,-999.0
430,1966,04,9.29,35.3,-999.0
430,1966,05,14.6,27.5,-999.0
430,1966,06,18.78,187.6,-999.0
430,1966,07,17.56,72.6,-999.0
430,1966,08,17.29,108.7,-999.0
430,1966,09,13.37,26.5,-999.0
430,1966,10,11.85,24.2,-999.0
430,1966,11,3.23,40.5,-999.0
430,1966,12,2.53,81.4,-999.0
430,1967,01,0.66,60.0,-999.0
430,1967,02,3.4,64.5,-999.0
430,1967,03,6.54,47.4,-999.0
430,1967,04,7.35,21.7,-999.0
430,1967,05,14.72,61.3,-999.0
430,1967,06,16.36,98.2,-999.0
430,1967,07,20.44,51.0,-999.0
430,1967,08,17.83,48.3,-999.0
430,1967,09,15.67,48.4,-999.0
430,1967,10,12.14,32.3,-999.0
430,1967,11,4.99,39.3,-999.0
430,1967,12,1.3,61.9,-999.0
430,1968,01,-0.87,43.3,-999.0
430,1968,02,0.82,19.7,-999.0
430,1968,03,5.25,29.1,-999.0
430,1968,04,10.89,14.9,-999.0
430,1968,05,12.01,78.0,-999.0
430,1968,06,18.84,32.7,-999.0
430,1968,07,17.93,48.5,-999.0
430,1968,08,18.85,32.5,-999.0
430,1968,09,14.62,139.3,-999.0
430,1968,10,10.45,42.0,-999.0
430,1968,11,4.61,63.9,-999.0
430,1968,12,-1.65,23.5,-999.0
430,1969,01,-0.55,36.1,-999.0
430,1969,02,-2.44,34.6,-999.0
430,1969,03,-0.22,31.5,-999.0
430,1969,04,7.73,66.7,-999.0
430,1969,05,14.08,61.0,-999.0
430,1969,06,17.06,79.1,-999.0
430,1969,07,20.37,6.5,-999.0
430,1969,08,18.34,98.7,-999.0
430,1969,09,14.95,3.6,-999.0
430,1969,10,10.42,17.2,-999.0
430,1969,11,6.24,59.8,-999.0
430,1969,12,-5.46,11.5,-999.0
430,1970,01,-4.22,32.0,-999.0
430,1970,02,-1.7,46.9,-999.0
430,1970,03,1.49,52.5,-999.0
430,1970,04,6.18,72.7,-999.0
430,1970,05,12.84,45.7,-999.0
430,1970,06,19.36,58.4,-999.0
430,1970,07,17.85,48.5,-999.0
430,1970,08,18.94,17.6,-999.0
430,1970,09,13.78,40.9,-999.0
430,1970,10,9.76,56.1,-999.0
430,1970,11,6.09,60.8,-999.0
430,1970,12,1.85,28.1,-999.0
430,1971,01,-0.25,21.5,-999.0
430,1971,02,2.38,18.2,-999.0
430,1971,03,2.05,19.9,-999.0
430,1971,04,8.67,21.6,-999.0
430,1971,05,16.13,70.4,-999.0
430,1971,06,15.63,114.5,-999.0
430,1971,07,20.24,8.7,-999.0
430,1971,08,20.64,5.8,-999.0
430,1971,09,12.95,49.2,-999.0
430,1971,10,9.91,17.0,-999.0
430,1971,11,4.69,31.6,-999.0
430,1971,12,4.79,45.1,-999.0
