STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        430;19630101;    5;   0.0;   0;   3;   0;eor
        430;19630102;    5;   0.0;   7;   2;   0;eor
        430;19630103;    5;   0.0;   7;   2;   0;eor
        430;19630104;    5;   1.3;   8;   2;   0;eor
        430;19630105;    5;   0.0;   0;   3;   1;eor
        430;19630106;    5;   0.1;   8;   2;   1;eor
        430;19630107;    5;   0.0;   7;   1;   0;eor
        430;19630108;    5;   0.0;   0;   1;   0;eor
        430;19630109;    5;   0.3;   7;   1;   0;eor
        430;19630110;    5;   0.3;   7;   2;   1;eor
        430;19630111;    5;   0.1;   7;   5;   2;eor
        430;19630112;    5;   0.0;   7;   5;   0;eor
        430;19630113;    5;   0.9;   7;   5;   0;eor
        430;19630114;    5;   0.2;   7;  11;   6;eor
        430;19630115;    5;   0.0;   7;  14;   3;eor
        430;19630116;    5;   0.0;   7;  14;   0;eor
        430;19630117;    5;   0.1;   7;  13;   0;eor
        430;19630118;    5;   0.0;   7;  14;   1;eor
        430;19630119;    5;   0.0;   0;  14;   0;eor
        430;19630120;    5;   0.0;   7;  13;   0;eor
        430;19630121;    5;   0.0;   7;  13;   0;eor
        430;19630122;    5;   0.0;   7;  13;   0;eor
        430;19630123;    5;   0.0;   1;  12;   0;eor
        430;19630124;    5;   2.9;   7;  10;   0;eor
        430;19630125;    5;   0.3;   8;  15;   4;eor
        430;19630126;    5;   1.9;   7;  14;   0;eor
        430;19630127;    5;   0.0;   7;  20;   3;eor
        430;19630128;    5;   0.4;   7;  18;   0;eor
        430;19630129;    5;   0.5;   7;  18;   0;eor
        430;19630130;    5;   0.0;   7;  18;   0;eor
        430;19630131;    5;   0.3;   7;  17;   0;eor
        430;19630201;    5;   0.5;   7;  18;   1;eor
        430;19630202;    5;   0.6;   7;  21;   3;eor
        430;19630203;    5;   0.2;   7;  23;   2;eor
        430;19630204;    5;   0.1;   7;  26;   3;eor
        430;19630205;    5;   0.0;   7;  25;   1;eor
        430;19630206;    5;   0.0;   7;  25;   0;eor
        430;19630207;    5;   0.0;   0;  25;   0;eor
        430;19630208;    5;   0.0;   0;  20;   0;eor
        430;19630209;    5;   0.0;   0;  18;   0;eor
        430;19630210;    5;   0.0;   0;  17;   0;eor
        430;19630211;    5;   0.0;   1;  16;   0;eor
        430;19630212;    5;   0.1;   7;  14;   0;eor
        430;19630213;    5;   0.7;   7;  13;   0;eor
        430;19630214;    5;   0.7;   7;  14;   1;eor
        430;19630215;    5;   0.0;   7;  15;   1;eor
        430;19630216;    5;   0.0;   7;  14;   0;eor
        430;19630217;    5;   1.6;   7;  13;   0;eor
        430;19630218;    5;   0.3;   8;  14;   1;eor
        430;19630219;    5;   0.0;   7;  14;   0;eor
        430;19630220;    5;   0.1;   7;  13;   0;eor
        430;19630221;    5;   0.0;   7;  13;   0;eor
        430;19630222;    5;   0.0;   7;  13;   0;eor
        430;19630223;    5;   0.0;   0;  12;   0;eor
        430;19630224;    5;   0.0;   0;  10;   0;eor
        430;19630225;    5;   0.0;   0;   9;   0;eor
        430;19630226;    5;   0.0;   1;   9;   0;eor
        430;19630227;    5;   0.0;   0;   8;   0;eor
        430;19630228;    5;   0.0;   0;   7;   0;eor
        430;19630301;    5;   0.0;   0;   6;   0;eor
        430;19630302;    5;   0.0;   0;   6;   0;eor
        430;19630303;    5;   0.0;   0;   3;   0;eor
        430;19630304;    5;   0.0;   0;   0;   0;eor
        430;19630305;    5;   0.0;   0;   0;   0;eor
        430;19630306;    5;   0.0;   0;   0;   0;eor
        430;19630307;    5;   0.0;   0;   0;   0;eor
        430;19630308;    5;   0.6;   1;   0;   0;eor
        430;19630309;    5;   2.9;   1;   0;   0;eor
        430;19630310;    5;   0.4;   1;   0;   0;eor
        430;19630311;    5;   0.3;   1;   0;   0;eor
        430;19630312;    5;   3.4;   8;   0;   0;eor
        430;19630313;    5;   2.6;   8;   0;   0;eor
        430;19630314;    5;   0.0;   7;   2;   2;eor
        430;19630315;    5;   0.0;   0;   0;   0;eor
        430;19630316;    5;   0.0;   1;   0;   0;eor
        430;19630317;    5;   4.0;   1;   0;   0;eor
        430;19630318;    5;   0.0;   1;   0;   0;eor
        430;19630319;    5;   0.0;   0;   0;   0;eor
        430;19630320;    5;   0.0;   0;   0;   0;eor
        430;19630321;    5;   0.0;   0;   0;   0;eor
        430;19630322;    5;   0.0;   0;   0;   0;eor
        430;19630323;    5;   0.0;   0;   0;   0;eor
        430;19630324;    5;   0.0;   7;   0;   0;eor
        430;19630325;    5;   0.6;   1;   0;   0;eor
        430;19630326;    5;   3.1;   1;   0;   0;eor
        430;19630327;    5;   0.0;   0;   0;   0;eor
        430;19630328;    5;   0.0;   0;   0;   0;eor
