STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        430;19630101;19630131;    5;  5.67;  -7.84;   -4.61;  -12.02;    2.32;   3.4;  -999; -24.4;-999;    5;     9.6;    2.9;eor
        430;19630201;19630228;    5;  6.24;  -5.30;   -1.59;   -9.47;    1.93;   2.3;  -999; -19.6;-999;    5;     4.9;    1.6;eor
        430;19630301;19630331;    5;  5.71;   2.75;    7.45;   -1.45;    2.68;  13.1;  -999; -13.6;-999;    5;    18.2;    4.0;eor
        430;19630401;19630430;    5;  5.21;   9.05;   13.39;    4.63;    2.24;  20.1;  -999;  -3.7;-999;    5;    65.1;   15.0;eor
        430;19630501;19630531;    5;  4.95;  14.07;   18.67;    8.69;    2.37;  26.2;  -999;   1.9;-999;    5;    50.0;   28.4;eor
        430;19630601;19630630;    5;  4.76;  18.20;   23.52;   12.08;    2.52;  32.5;  -999;   5.6;-999;    5;    31.3;   11.9;eor
        430;19630701;19630731;    5;  4.13;  19.90;   25.20;   13.66;    2.05;  33.2;  -999;   7.8;-999;    5;    37.9;   14.5;eor
        430;19630801;19630831;    5;  5.62;  18.06;   22.96;   13.54;    2.37;  35.0;  -999;   6.8;-999;    5;    72.5;   13.9;eor
        430;19630901;19630930;    5;  4.57;  14.83;   20.12;    9.82;    1.92;  26.0;  -999;   4.9;-999;    5;    52.3;   25.6;eor
        430;19631001;19631031;    5;  4.92;   9.14;   13.15;    5.64;    2.57;  21.2;  -999;  -1.4;-999;    5;    18.1;    7.2;eor
        430;19631101;19631130;    5;  6.46;   8.14;   10.63;    5.63;    3.17;  15.1;  -999;   0.7;-999;    5;    97.7;   16.7;eor
        430;19631201;19631231;    5;  5.99;  -2.57;   -0.19;   -5.31;    2.08;   6.2;  -999; -14.6;-999;    5;     6.5;    3.2;eor
        430;19640101;19640131;    5;  5.51;  -2.29;    0.37;   -5.38;    2.38;   4.7;  -999; -16.0;-999;    5;    17.2;    3.5;eor
        430;19640201;19640229;    5;  5.09;   0.16;    3.44;   -3.10;    3.07;   9.4;  -999; -14.0;-999;    5;    18.1;    4.2;eor
        430;19640301;19640331;    5;  5.39;   0.20;    3.30;   -2.98;    2.44;  10.4;  -999; -11.3;-999;    5;    33.9;   12.1;eor
        430;19640401;19640430;    5;  5.55;   9.69;   13.97;    4.96;    2.64;  24.4;  -999;  -2.4;-999;    5;    41.4;    7.5;eor
        430;19640501;19640531;    5;  4.80;  14.68;   19.45;    8.79;    2.53;  29.0;  -999;   3.5;-999;    5;    61.3;   15.2;eor
        430;19640601;19640630;    5;  3.99;  19.26;   24.73;   13.11;    2.43;  33.3;  -999;   7.4;-999;    5;    49.2;   21.1;eor
        430;19640701;19640731;    5;  4.65;  19.45;   24.60;   13.45;    2.48;  33.8;  -999;   6.6;-999;    5;    35.9;   15.4;eor
        430;19640801;19640831;    5;  5.02;  16.78;   21.50;   11.79;    2.30;  32.8;  -999;   4.0;-999;    5;    76.7;   21.8;eor
        430;19640901;19640930;    5;  4.21;  14.20;   19.70;    9.69;    2.60;  30.0;  -999;   1.4;-999;    5;    41.0;   11.4;eor
        430;19641001;19641031;    5;  5.57;   8.02;   11.65;    4.71;    2.42;  20.6;  -999;  -1.3;-999;    5;    44.4;    9.7;eor
        430;19641101;19641130;    5;  6.57;   5.36;    7.57;    3.15;    2.80;  13.4;  -999;  -4.3;-999;    5;    37.3;    7.5;eor
        430;19641201;19641231;    5;  6.94;   1.46;    3.21;   -0.82;    2.32;  13.0;  -999;  -8.3;-999;    5;    25.8;    5.5;eor
        430;19650101;19650131;    5;  6.71;   1.82;    3.75;   -0.26;    2.46;   9.8;  -999;  -6.9;-999;    5;    50.9;   11.2;eor
        430;19650201;19650228;    5;  6.48;  -1.18;    0.96;   -4.11;    2.88;   5.2;  -999; -13.3;-999;    5;    17.8;    2.4;eor
        430;19650301;19650331;    5;  5.08;   2.33;    6.22;   -1.94;    2.36;  14.7;  -999; -17.8;-999;    5;    31.5;   10.4;eor
        430;19650401;19650430;    5;  6.08;   7.91;   11.88;    3.86;    2.46;  18.4;  -999;  -1.4;-999;    5;    77.6;   13.5;eor
        430;19650501;19650531;    5;  5.29;  12.24;   16.17;    7.31;    2.63;  22.4;  -999;   0.6;-999;    5;    52.6;   13.0;eor
        430;19650601;19650630;    5;  5.10;  17.35;   22.05;   11.58;    2.67;  28.8;  -999;   5.9;-999;    5;    67.6;   21.4;eor
        430;19650701;19650731;    5;  5.94;  15.92;   20.52;   12.10;    2.85;  29.4;  -999;   7.3;-999;    5;   111.3;   28.1;eor
        430;19650801;19650831;    5;  4.43;  16.35;   21.68;   10.27;    1.95;  29.3;  -999;   5.6;-999;    5;    32.4;   14.1;eor
        430;19650901;19650930;    5;  4.71;  14.56;   19.68;   10.17;    2.27;  26.2;  -999;   5.0;-999;    5;    58.9;   24.2;eor
        430;19651001;19651031;    5;  4.35;   8.53;   13.98;    3.82;    1.88;  23.0;  -999;  -3.6;-999;    5;    16.5;    7.2;eor
        430;19651101;19651130;    5;  6.43;   0.78;    3.11;   -1.85;    2.85;  13.2;  -999; -17.0;-999;    5;    45.1;   10.8;eor
        430;19651201;19651231;    5;  6.87;   2.75;    4.97;    0.55;    3.15;  12.8;  -999;  -7.4;-999;    5;    68.4;   15.0;eor
        430;19660101;19660131;    5;  6.97;  -2.86;   -0.67;   -5.74;    2.36;   9.3;  -999; -13.6;-999;    5;    39.7;   12.0;eor
        430;19660201;19660228;    5;  6.59;   1.19;    4.24;   -1.91;    2.68;  15.2;  -999; -16.4;-999;    5;    66.1;   12.8;eor
        430;19660301;19660331;    5;  5.79;   3.81;    7.24;    0.79;    3.02;  10.9;  -999;  -6.6;-999;    5;    42.2;    6.7;eor
        430;19660401;19660430;    5;  5.81;   9.29;   13.50;    4.80;    2.33;  22.3;  -999;  -1.0;-999;    5;    35.3;    9.0;eor
        430;19660501;19660531;    5;  4.61;  14.60;   19.34;    8.96;    2.44;  28.5;  -999;   3.5;-999;    5;    27.5;   11.6;eor
        430;19660601;19660630;    5;  4.94;  18.78;   23.57;   13.80;    2.35;  30.8;  -999;   6.0;-999;    5;   187.6;   47.3;eor
        430;19660701;19660731;    5;  5.52;  17.56;   22.46;   13.26;    2.37;  29.4;  -999;   9.4;-999;    5;    72.6;   17.9;eor
        430;19660801;19660831;    5;  5.16;  17.29;   21.69;   12.45;    2.49;  32.3;  -999;   5.6;-999;    5;   108.7;   20.4;eor
        430;19660901;19660930;    5;  4.79;  13.37;   18.07;    8.92;    2.47;  27.4;  -999;   1.6;-999;    5;    26.5;    6.7;eor
        430;19661001;19661031;    5;  5.92;  11.85;   15.20;    9.05;    2.23;  27.6;  -999;  -3.4;-999;    5;    24.2;   11.9;eor
        430;19661101;19661130;    5;  6.48;   3.23;    5.56;    0.83;    2.44;  13.2;  -999;  -5.0;-999;    5;    40.5;    9.2;eor
        430;19661201;19661231;    5;  7.13;   2.53;    4.15;    0.46;    2.87;  11.4;  -999;  -5.6;-999;    5;    81.4;    8.7;eor
        430;19670101;19670131;    5;  6.64;   0.66;    3.05;   -1.77;    2.62;   8.9;  -999; -15.3;-999;    5;    60.0;   17.7;eor
        430;19670201;19670228;    5;  5.62;   3.40;    6.22;    0.99;    3.24;  13.3;  -999;  -7.2;-999;    5;    64.5;   15.8;eor
        430;19670301;19670331;    5;  5.37;   6.54;   10.48;    3.01;    3.52;  18.1;  -999;   0.0;-999;    5;    47.4;    7.4;eor
        430;19670401;19670430;    5;  5.21;   7.35;   11.89;    2.65;    2.73;  18.5;  -999;  -3.2;-999;    5;    21.7;    4.4;eor
        430;19670501;19670531;    5;  4.95;  14.72;   19.63;    9.31;    2.48;  29.4;  -999;   2.1;-999;    5;    61.3;   15.0;eor
        430;19670601;19670630;    5;  4.94;  16.36;   20.89;   10.98;    2.37;  28.4;  -999;   5.7;-999;    5;    98.2;   16.4;eor
        430;19670701;19670731;    5;  4.28;  20.44;   25.04;   14.59;    1.95;  30.4;  -999;   9.1;-999;    5;    51.0;   13.1;eor
        430;19670801;19670831;    5;  4.83;  17.83;   22.76;   13.25;    2.24;  32.6;  -999;   8.8;-999;    5;    48.3;   12.6;eor
        430;19670901;19670930;    5;  5.83;  15.67;   19.90;   12.23;    2.01;  25.7;  -999;   8.3;-999;    5;    48.4;    8.4;eor
        430;19671001;19671031;    5;  5.66;  12.14;   16.15;    8.77;    3.00;  23.6;  -999;  -0.1;-999;    5;    32.3;    9.3;eor
        430;19671101;19671130;    5;  5.82;   4.99;    7.66;    2.11;    2.65;  13.0;  -999;  -5.0;-999;    5;    39.3;   12.3;eor
        430;19671201;19671231;    5;  6.75;   1.30;    3.16;   -1.18;    3.11;  11.2;  -999; -10.7;-999;    5;    61.9;   12.8;eor
        430;19680101;19680131;    5;  6.62;  -0.87;    1.41;   -3.76;    2.95;   9.6;  -999; -18.4;-999;    5;    43.3;   16.5;eor
        430;19680201;19680229;    5;  6.35;   0.82;    3.32;   -1.81;    2.31;   8.4;  -999; -13.0;-999;    5;    19.7;    6.5;eor
        430;19680301;19680331;    5;  5.06;   5.25;    9.44;    1.54;    3.11;  24.8;  -999;  -8.6;-999;    5;    29.1;    6.4;eor
        430;19680401;19680430;    5;  4.07;  10.89;   16.12;    4.96;    2.42;  31.2;  -999;  -4.2;-999;    5;    14.9;    6.3;eor
        430;19680501;19680531;    5;  5.55;  12.01;   16.35;    7.19;    2.59;  23.7;  -999;   1.8;-999;    5;    78.0;   24.5;eor
        430;19680601;19680630;    5;  4.52;  18.84;   23.86;   13.22;    2.66;  33.2;  -999;   8.4;-999;    5;    32.7;    8.2;eor
        430;19680701;19680731;    5;  4.61;  17.93;   22.95;   12.14;    2.23;  31.9;  -999;   6.6;-999;    5;    48.5;   13.4;eor
        430;19680801;19680831;    5;  4.88;  18.85;   23.90;   13.86;    2.41;  28.6;  -999;   6.9;-999;    5;    32.5;   10.0;eor
        430;19680901;19680930;    5;  5.16;  14.62;   18.96;   10.74;    2.17;  26.2;  -999;   3.9;-999;    5;   139.3;   48.2;eor
        430;19681001;19681031;    5;  6.12;  10.45;   13.85;    7.32;    2.45;  19.8;  -999;  -1.2;-999;    5;    42.0;   11.6;eor
        430;19681101;19681130;    5;  6.70;   4.61;    6.64;    2.75;    2.25;  20.6;  -999;  -6.0;-999;    5;    63.9;   25.7;eor
        430;19681201;19681231;    5;  6.12;  -1.65;    0.05;   -3.39;    2.17;   6.4;  -999;  -9.8;-999;    5;    23.5;    8.1;eor
        430;19690101;19690131;    5;  6.74;  -0.55;    1.75;   -3.18;    2.61;   7.9;  -999; -13.6;-999;    5;    36.1;   10.4;eor
        430;19690201;19690228;    5;  5.82;  -2.44;    0.22;   -5.05;    2.55;   9.4;  -999; -16.2;-999;    5;    34.6;   16.6;eor
        430;19690301;19690331;    5;  5.41;  -0.22;    2.71;   -3.23;    3.01;   8.6;  -999;  -8.8;-999;    5;    31.5;   10.3;eor
        430;19690401;19690430;    5;  5.00;   7.73;   12.42;    3.23;    2.58;  22.6;  -999;  -3.6;-999;    5;    66.7;    8.8;eor
        430;19690501;19690531;    5;  5.78;  14.08;   18.94;    9.61;    2.34;  29.9;  -999;   0.6;-999;    5;    61.0;   17.0;eor
        430;19690601;19690630;    5;  4.89;  17.06;   21.58;   11.78;    2.31;  28.0;  -999;   6.1;-999;    5;    79.1;   16.5;eor
        430;19690701;19690731;    5;  4.00;  20.37;   25.27;   14.56;    2.32;  33.6;  -999;   7.4;-999;    5;     6.5;    2.3;eor
        430;19690801;19690831;    5;  4.55;  18.34;   22.96;   13.10;    2.26;  32.0;  -999;   8.3;-999;    5;    98.7;   71.8;eor
        430;19690901;19690930;    5;  3.69;  14.95;   19.94;    9.86;    2.30;  26.5;  -999;   1.6;-999;    5;     3.6;    1.8;eor
        430;19691001;19691031;    5;  4.74;  10.42;   14.86;    6.76;    2.29;  23.1;  -999;   1.6;-999;    5;    17.2;    3.9;eor
        430;19691101;19691130;    5;  5.86;   6.24;    8.93;    3.21;    3.33;  16.6;  -999;  -5.2;-999;    5;    59.8;   12.3;eor
        430;19691201;19691231;    5;  6.30;  -5.46;   -3.26;   -7.95;    2.29;   2.0;  -999; -23.4;-999;    5;    11.5;    7.2;eor
        430;19700101;19700131;    5;  6.27;  -4.22;   -2.00;   -7.16;    2.37;   4.2;  -999; -17.2;-999;    5;    32.0;   13.7;eor
        430;19700201;19700228;    5;  6.67;  -1.70;    0.48;   -4.44;    2.70;   5.0;  -999; -17.7;-999;    5;    46.9;    5.8;eor
        430;19700301;19700331;    5;  5.58;   1.49;    4.56;   -1.65;    2.99;  12.2;  -999;  -8.0;-999;    5;    52.5;    7.8;eor
        430;19700401;19700430;    5;  6.76;   6.18;    9.71;    2.96;    2.86;  17.7;  -999;  -3.2;-999;    5;    72.7;   15.0;eor
        430;19700501;19700531;    5;  4.96;  12.84;   17.35;    7.94;    2.47;  25.8;  -999;   0.0;-999;    5;    45.7;   13.8;eor
        430;19700601;19700630;    5;  3.69;  19.36;   24.50;   13.03;    2.54;  31.0;  -999;   7.8;-999;    5;    58.4;   34.6;eor
        430;19700701;19700731;    5;  5.08;  17.85;   22.09;   13.20;    2.69;  30.2;  -999;   9.3;-999;    5;    48.5;   11.7;eor
        430;19700801;19700831;    5;  4.33;  18.94;   24.09;   13.04;    1.93;  28.1;  -999;   7.3;-999;    5;    17.6;    5.5;eor
        430;19700901;19700930;    5;  4.57;  13.78;   18.73;    9.17;    2.57;  29.6;  -999;   1.7;-999;    5;    40.9;   13.4;eor
        430;19701001;19701031;    5;  6.34;   9.76;   12.87;    6.48;    2.72;  23.1;  -999;  -2.2;-999;    5;    56.1;    9.2;eor
        430;19701101;19701130;    5;  6.41;   6.09;    8.42;    3.33;    2.81;  15.2;  -999;  -6.5;-999;    5;    60.8;   15.4;eor
        430;19701201;19701231;    5;  6.86;   1.85;    3.84;   -0.21;    2.59;  10.3;  -999; -11.4;-999;    5;    28.1;    5.4;eor
        430;19710101;19710131;    5;  4.77;  -0.25;    2.03;   -3.20;    2.52;  10.7;  19.6; -18.8;-999;    5;    21.5;    5.6;eor
        430;19710201;19710228;    5;  6.29;   2.38;    4.93;   -0.29;    2.75;   9.0;  17.0;  -9.7;-999;    5;    18.2;    2.9;eor
        430;19710301;19710331;    5;  5.72;   2.05;    5.65;   -1.81;    2.64;  16.2;  26.3; -13.6;-999;    5;    19.9;    4.9;eor
        430;19710401;19710430;    5;  4.72;   8.67;   13.24;    3.71;    2.30;  21.0;  19.6;  -3.0;-999;    5;    21.6;    7.4;eor
        430;19710501;19710531;    5;  4.58;  16.13;   20.79;   10.05;    2.31;  32.0;  14.4;   0.6;-999;    5;    70.4;   25.0;eor
        430;19710601;19710630;    5;  6.18;  15.63;   19.64;   11.64;    2.54;  28.4;  24.2;   8.3;-999;    5;   114.5;   24.3;eor
        430;19710701;19710731;    5;  3.98;  20.24;   24.92;   13.68;    2.35;  33.5;  15.4;   7.8;-999;    5;     8.7;    5.1;eor
        430;19710801;19710831;    5;  4.25;  20.64;   25.93;   14.94;    2.60;  33.2;  17.0;   9.8;-999;    5;     5.8;    2.6;eor
        430;19710901;19710930;    5;  5.11;  12.95;   17.44;    8.52;    2.20;  23.1;  13.4;   0.4;-999;    5;    49.2;   13.0;eor
        430;19711001;19711031;    5;  4.31;   9.91;   14.64;    5.62;    2.52;  21.7;  20.1;  -2.3;-999;    5;    17.0;    6.5;eor
        430;19711101;19711130;    5;  6.28;   4.69;    7.15;    1.81;    3.20;  16.3;  20.1;  -7.9;-999;    5;    31.6;    7.3;eor
        430;19711201;19711231;    5;  7.24;   4.79;    6.60;    2.70;    2.97;  12.7;  18.0;  -4.0;-999;    5;    45.1;    9.6;eor
        430;19720101;19720131;    5;  5.88;  -3.23;   -1.45;   -5.10;    2.76;   4.0;  15.4; -15.4;-999;    5;    15.7;    8.0;eor
        430;19720201;19720229;    5;  5.79;   2.20;    4.73;   -0.64;    2.29;  10.8;  12.4; -12.0;-999;    5;     2.5;    1.9;eor
        430;19720301;19720331;    5;  4.74;   6.10;   10.41;    1.81;    3.15;  18.9;  24.2;  -6.8;-999;    5;    28.6;    5.9;eor
        430;19720401;19720430;    5;  5.96;   8.62;   12.46;    4.57;    2.82;  22.1;  18.0;  -2.3;-999;    5;    26.5;    5.1;eor
        430;19720501;19720531;    5;  5.97;  12.73;   16.75;    8.54;    2.68;  24.9;  21.6;   4.4;-999;    5;   102.4;   40.2;eor
        430;19720601;19720630;    5;  4.92;  16.91;   21.39;   11.46;    2.14;  31.5;  17.5;   6.5;-999;    5;    74.3;   24.2;eor
        430;19720701;19720731;    5;  4.68;  20.15;   24.74;   14.97;    2.19;  32.7;  16.5;  10.1;-999;    5;    65.7;   34.5;eor
        430;19720801;19720831;    5;  4.89;  17.20;   21.65;   12.78;    2.04;  27.7;  25.8;   8.2;-999;    5;    83.4;   16.6;eor
        430;19720901;19720930;    5;  4.49;  11.92;   16.73;    7.55;    1.65;  26.2;  13.4;   2.4;-999;    5;    46.5;   19.8;eor
        430;19721001;19721031;    5;  4.69;   7.74;   11.75;    3.58;    1.94;  17.9;  22.2;  -3.6;-999;    5;    16.6;    5.3;eor
        430;19721101;19721130;    5;  6.59;   5.30;    7.24;    3.18;    3.33;  13.3;  40.2;  -2.9;-999;    5;    47.5;    7.0;eor
        430;19721201;19721231;    5;  4.01;   1.91;    4.32;   -0.52;    2.29;  10.4;  14.4;  -6.9;-999;    5;     8.7;    4.1;eor
        430;19730101;19730131;    5;  6.61;   0.43;    2.09;   -1.35;    2.05;   6.2;  12.9; -10.1;-999;    5;    29.1;    6.1;eor
        430;19730201;19730228;    5;  6.85;   2.58;    4.62;    0.73;    2.99;   8.6;  19.6;  -4.7;-999;    5;    26.8;    4.6;eor
        430;19730301;19730331;    5;  4.98;   5.72;    9.61;    1.69;    2.43;  19.8;  17.5;  -3.6;-999;    5;    12.7;    4.3;eor
        430;19730401;19730430;    5;  5.90;   6.36;   10.20;    2.27;    2.76;  18.5;  27.8;  -3.2;-999;    5;    62.7;    9.6;eor
        430;19730501;19730531;    5;  4.91;  13.67;   18.23;    8.66;    2.26;  25.9;  19.6;   2.3;-999;    5;    76.5;   12.1;eor
        430;19730601;19730630;    5;  4.55;  17.98;   22.71;   12.28;    2.40;  32.6;  16.5;   6.8;-999;    5;    25.5;   13.3;eor
        430;19730701;19730731;    5;  4.76;  19.48;   23.98;   14.68;    2.27;  30.7;  16.5;  10.0;-999;    5;    91.9;   30.3;eor
        430;19730801;19730831;    5;  3.26;  18.96;   24.43;   13.13;    1.85;  32.0;  18.0;   6.2;-999;    5;    19.8;    8.7;eor
        430;19730901;19730930;    5;  4.46;  14.45;   19.29;   10.25;    2.11;  31.0;  14.9;   3.4;-999;    5;    33.0;   10.6;eor
        430;19731001;19731031;    5;  5.46;   7.95;   11.80;    4.72;    2.47;  22.2;  18.5;  -3.6;-999;    5;    56.1;    9.4;eor
        430;19731101;19731130;    5;  5.30;   3.77;    6.81;    1.06;    3.56;  14.1;  26.3;  -7.7;-999;    5;    50.5;    9.5;eor
        430;19731201;19731231;    5;  6.03;   0.78;    2.85;   -1.66;    3.09;   8.3;  24.7; -10.0;-999;    5;    53.5;    8.8;eor
        430;19740101;19740131;    5;  6.38;   3.84;    5.85;    1.65;    2.71;  12.0;  24.2;  -2.7;-999;    5;    33.7;    6.8;eor
        430;19740201;19740228;    5;  6.25;   3.99;    6.36;    1.62;    2.46;  14.5;  20.6;  -3.1;-999;    5;    43.1;   16.9;eor
        430;19740301;19740331;    5;  4.19;   6.39;   10.97;    1.91;    2.78;  19.6;  17.5;  -3.3;-999;    5;    11.1;    7.0;eor
        430;19740401;19740430;    5;  4.25;   9.16;   14.43;    3.60;    2.34;  23.1;  17.0;  -1.8;-999;    5;    10.1;    4.7;eor
        430;19740501;19740531;    5;  5.50;  12.44;   16.83;    7.76;    2.38;  24.8;  16.5;   0.4;-999;    5;    64.9;   13.2;eor
        430;19740601;19740630;    5;  5.40;  15.57;   20.03;   10.97;    2.15;  27.4;  17.0;   6.0;-999;    5;    89.6;   48.0;eor
        430;19740701;19740731;    5;  6.12;  16.57;   21.26;   12.77;    2.88;  25.7;  17.5;   8.6;-999;    5;    44.8;   11.1;eor
        430;19740801;19740831;    5;  4.36;  18.85;   23.87;   14.14;    2.01;  34.6;  19.6;   9.4;-999;    5;    74.0;   23.1;eor
        430;19740901;19740930;    5;  4.75;  14.72;   19.69;   10.87;    2.43;  26.3;  22.7;   5.3;-999;    5;    44.9;   10.1;eor
        430;19741001;19741031;    5;  6.57;   7.04;    9.65;    4.78;    2.55;  13.7;  15.4;   0.8;-999;    5;   124.6;   27.2;eor
        430;19741101;19741130;    5;  6.57;   5.96;    8.03;    3.63;    2.65;  14.0;  17.0;  -0.9;-999;    5;    59.4;   23.9;eor
        430;19741201;19741231;    5;  6.62;   5.54;    7.59;    3.22;    3.52;  12.4;  28.8;  -6.0;-999;    5;   124.2;   15.8;eor
        430;19750101;19750131;    5;  6.08;   5.46;    7.52;    3.09;    3.27;   9.9;  22.7;  -2.8;-999;    5;    54.1;   16.5;eor
        430;19750201;19750228;    5;  4.89;   1.21;    4.90;   -1.72;    1.91;   9.1;  12.4;  -6.6;-999;    5;    12.0;    7.1;eor
        430;19750301;19750331;    5;  5.34;   4.61;    8.70;    1.43;    2.76;  17.7;  23.2;  -3.2;-999;    5;    27.3;    4.8;eor
        430;19750401;19750430;    5;  5.59;   7.72;   11.52;    3.77;    2.75;  24.9;  19.6;  -1.7;-999;    5;    43.5;   12.1;eor
        430;19750501;19750531;    5;  4.61;  13.61;   18.63;    8.27;    2.67;  27.0;  17.0;   3.7;-999;    5;    18.3;    8.5;eor
        430;19750601;19750630;    5;  4.70;  17.04;   21.90;   11.59;    2.60;  30.0;  17.5;   3.2;-999;    5;    22.4;    7.2;eor
        430;19750701;19750731;    5;  4.61;  20.44;   25.42;   15.19;    2.38;  31.7;  17.0;  10.5;-999;    5;    75.9;   40.3;eor
        430;19750801;19750831;    5;  3.73;  20.98;   25.83;   15.55;    2.09;  33.4;  17.0;  11.3;-999;    5;    67.8;   34.3;eor
        430;19750901;19750930;    5;  3.78;  17.04;   21.94;   12.40;    2.02;  29.2;  20.6;   5.2;-999;    5;    44.6;   21.2;eor
        430;19751001;19751031;    5;  6.38;   8.35;   10.92;    6.07;    2.32;  20.8;  19.6;  -0.4;-999;    5;    19.1;    4.8;eor
        430;19751101;19751130;    5;  5.53;   3.42;    5.86;    0.90;    2.57;  13.9;  23.7;  -8.8;-999;    5;    32.6;    7.2;eor
        430;19751201;19751231;    5;  6.49;   2.79;    4.58;    0.74;    3.30;   9.3;  20.6;  -7.1;-999;    5;    34.5;    7.0;eor
        430;19760101;19760131;    5;  6.15;   0.65;    3.25;   -1.86;    3.49;   9.3;  34.0; -11.1;-999;    5;    98.1;   11.6;eor
