STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        430;20190501;20190531;    3;  5.42;  13.00;   18.15;    7.34;    2.61;  25.7;  20.6;  -1.2; 193.18;    9;    39.0;   15.3;eor
        430;20190601;20190630;    3;  3.73;  22.82;   29.20;   15.87;    2.43;  38.6;  22.6;  11.7; 347.38;    9;    71.1;   45.0;eor
        430;20190701;20190731;    3;  4.78;  19.84;   25.20;   14.43;    2.52;  33.7;  18.0;   8.5; 215.02;    9;    98.5;   44.4;eor
        430;20190801;20190831;    3;  4.17;  21.18;   27.05;   15.29;    2.23;  33.5;  15.3;  11.3; 243.55;    9;    24.3;   14.0;eor
        430;20190901;20190930;    3;  4.90;  15.22;   20.16;    9.88;    2.57;  29.9;  23.0;   4.3; 171.63;    9;    56.0;   16.3;eor
        430;20191001;20191031;    3;  5.31;  11.56;   15.71;    7.23;    2.48;  24.0;  16.1;  -3.2; 123.15;    9;    47.0;   14.5;eor
        430;20191101;20191130;    3;  6.37;   6.64;    9.20;    3.69;    2.47;  16.3;  14.9;  -2.8;  42.00;    9;    41.1;    7.2;eor
        430;20191201;20191231;    3;  5.85;   4.56;    6.89;    1.60;    2.68;  12.3;  17.7;  -4.3;  51.82;    9;    27.2;    5.4;eor
        430;20200101;20200131;    3;  5.83;   4.45;    7.16;    1.21;    2.90;  13.7;  19.9;  -4.3;  66.03;    3;    32.0;    8.1;eor
        430;20200201;20200229;    3;  6.63;   6.06;    8.87;    3.16;    3.62;  16.1;  23.5;  -0.7;  48.08;    3;    74.9;   14.8;eor
        430;20200301;20200331;    3;  4.30;   5.87;   10.20;    1.18;    2.84;  17.2;  23.0;  -7.1; 170.02;    3;    28.9;    9.8;eor
        430;20200401;20200430;    3;  2.99;  11.08;   17.35;    4.13;    2.53;  24.1;  14.1;  -3.7; 301.61;    3;    14.4;   10.6;eor
        430;20200501;20200531;    3;  5.02;  12.77;   18.29;    6.40;    2.61;  24.5;  17.8;  -0.4; 230.11;    3;    23.7;    8.2;eor
        430;20200601;20200630;    3;  4.89;  19.32;   24.93;   13.59;    2.30;  32.4;  15.4;   7.9; 237.90;    3;    47.3;   13.5;eor
        430;20200701;20200731;    3;  4.83;  18.68;   24.05;   12.61;    2.45;  30.3;  18.0;   8.6; 221.67;    3;    44.1;   11.8;eor
        430;20200801;20200831;    3;  4.41;  22.07;   28.05;   16.03;    2.26;  36.5;  18.7;  10.2; 239.70;    3;    41.9;   17.4;eor
        430;20200901;20200930;    1;  4.42;  16.00;   21.80;   10.15;    2.10;  31.2;  14.1;   3.2; 215.68;    1;    65.9;   23.7;eor
        430;20201001;20201031;    1;  6.23;  11.33;   14.45;    8.15;    2.58;  22.0;  14.2;   0.8;  61.10;    1;    59.2;   13.6;eor
        430;20201101;20201130;    1;  5.79;   7.13;    9.97;    3.92;    2.53;  20.4;  19.0;  -3.2;  64.35;    1;    17.7;    6.4;eor
