#Monatsgradtage VDI 3807; erstellt: DWD, 20190909
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-DEC-2010 bis 31-DEC-2010
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2000-2009
00003;50.78; 6.09;            AACHEN (WEWA);201012;31;664.8;31;508.4
00044;52.93; 8.24;            GROSSENKNETEN;201012;31;721.3;31;541.1
00071;48.22; 8.98;          ALBSTADT-BADKAP;201012;31;704.6;31;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201012;31;740.2;31;615.3
00078;52.49; 7.91;                ALFHAUSEN;201012;31;728.5;31;533.1
00091;50.74; 9.34;             ALSFELD-EIFA;201012;31;734.7;31;586.6
00102;53.86; 8.13;        ALTE WESER (AWST);201012;31;658.5;31;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201012;31;757.1;31;-999.9
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201012;31;713.7;31;615.7
00150;49.73; 8.12;                    ALZEY;201012;31;688.0;31;-999.9
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201012;31;758.2;31;614.9
00154;48.02;12.29;         AMERANG-PFAFFING;201012;31;712.3;31;633.0
00164;53.03;13.99;       ANGERMUENDE (WEWA);201012;31;776.9;31;576.5
00167;53.84;13.68;                   ANKLAM;201012;31;760.1;31;-999.9
00183;54.68;13.43;            ARKONA (WEWA);201012;31;701.1;31;525.1
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201012;31;729.6;31;585.1
00198;51.37;11.29;            ARTERN (WEWA);201012;31;763.0;31;575.0
00217;47.88;11.36;                 ATTENKAM;201012;31;674.8;31;612.1
00222;50.59;12.71;                      AUE;201012;31;760.2;31;-999.9
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201012;31;703.7;31;610.5
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201012;31;658.1;31;544.1
00259;47.81; 7.64;                MUELLHEIM;201012;31;629.9;31;-999.9
00282;49.87;10.92;            BAMBERG (WST);201012;31;737.5;31;582.4
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201012;31;724.4;31;536.6
00298;54.34;12.71;             BARTH (AWST);201012;31;746.0;31;544.8
00303;52.06;13.50;            BARUTH (AWST);201012;31;768.4;31;-999.9
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201012;31;758.1;31;582.0
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201012;31;768.0;31;604.3
00326;51.72; 8.06;         BECKUM-UNTERBERG;201012;31;709.1;31;-999.9
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201012;31;722.6;31;590.8
00342;52.32; 8.17;                     BELM;201012;31;731.4;31;-999.9
00348;50.41; 7.59;           BENDORF (AWST);201012;31;663.3;31;-999.9
00368;52.82; 9.92;              BERGEN (BW);201012;31;754.9;31;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201012;31;661.9;31;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201012;31;784.7;31;629.1
00399;52.52;13.41;    BERLIN-ALEXANDERPLATZ;201012;31;736.1;31;-999.9
00400;52.63;13.50;              BERLIN-BUCH;201012;31;758.9;31;567.7
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201012;31;764.2;31;568.8
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201012;31;777.9;31;578.4
00420;52.54;13.56;           BERLIN-MARZAHN;201012;31;758.2;31;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201012;31;768.6;31;576.2
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201012;31;748.2;31;555.8
00433;52.47;13.40;       BERLIN-TEMP. (WST);201012;31;744.2;31;561.6
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201012;31;757.2;31;565.5
00450;49.92; 7.07;               BERNKASTEL;201012;31;654.8;31;509.4
00460;49.26; 6.69;             BERUS (AWST);201012;31;690.3;31;-999.9
00508;50.05;11.81;     BISCHOFSGRUEN (KKST);201012;31;782.5;31;646.1
00535;50.04; 7.31;              BLANKENRATH;201012;31;724.7;31;-999.9
00555;51.48; 7.27;                   BOCHUM;201012;31;694.0;31;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201012;31;747.7;31;556.0
00596;54.00;11.19;        BOLTENHAGEN (WST);201012;31;725.0;31;533.4
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201012;31;682.2;31;-999.9
00617;51.87; 6.89;              BORKEN I.W.;201012;31;700.7;31;-999.9
00656;51.72;10.60;         BRAUNLAGE (AWST);201012;31;804.0;31;-999.9
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201012;31;738.5;31;548.9
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201012;31;723.1;31;537.9
00701;53.53; 8.58;        BREMERHAVEN (WST);201012;31;712.2;31;518.2
00704;53.45; 9.14;      BREMERVOERDE (AWST);201012;31;736.3;31;-999.9
00722;51.80;10.62;           BROCKEN (WEWA);201012;31;860.8;31;688.0
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201012;31;722.3;31;587.9
00757;47.96; 8.00;               BUCHENBACH;201012;31;644.2;31;556.5
00766;50.17; 7.06;             BUECHEL (BW);201012;31;736.8;31;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201012;31;753.9;31;587.1
00840;50.43;12.61;         CARLSFELD (AWST);201012;31;827.6;31;684.6
00853;50.79;12.87;          CHEMNITZ (WEWA);201012;31;767.2;31;592.3
00856;47.88;12.54;           CHIEMING (WST);201012;31;666.8;31;-999.9
00863;51.79;10.35;     CLAUSTHAL-ZELLERFELD;201012;31;803.5;31;629.0
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);201012;31;756.3;31;-999.9
00880;51.78;14.32;           COTTBUS (WEWA);201012;31;753.7;31;574.7
00891;53.87; 8.71;          CUXHAVEN (WEWA);201012;31;702.1;31;511.5
00896;51.08;10.86;                  DACHWIG;201012;31;754.4;31;572.9
00917;49.88; 8.68;                DARMSTADT;201012;31;685.1;31;547.2
00953;49.76; 7.05;        DEUSELBACH (AWST);201012;31;713.3;31;-999.9
00954;54.18; 7.46; UFS DEUTSCHE BUCHT(AWST);201012;31;588.0;31;-999.9
00963;52.59; 8.34;           DIEPHOLZ(WEWA);201012;31;728.2;31;537.4
00979;50.74; 8.27;               DILLENBURG;201012;31;733.3;31;585.9
00983;48.56;10.56; DILLINGEN/DONAU-FRISTIN.;201012;31;715.6;31;-999.9
00991;50.91;13.71;  DIPPOLDISWALDE-REINBERG;201012;31;795.3;31;602.5
01001;51.65;13.57; DOBERLUG-KIRCHHAIN(AWST);201012;31;764.6;31;578.3
01048;51.13;13.75; DRESDEN-KLOTZ.(FLUGWEWA);201012;31;759.6;31;585.0
01050;51.02;13.85;       DRESDEN-HOSTERWITZ;201012;31;736.1;31;557.4
01051;51.02;13.77;         DRESDEN-STREHLEN;201012;31;735.4;31;-999.9
01052;52.22;12.16;         DREWITZ,BEI BURG;201012;31;763.3;31;574.6
01072;49.47; 8.19;            DUERKHEIM,BAD;201012;31;657.9;31;534.2
01078;51.30; 6.77;   DUESSELDORF (FLUGWEWA);201012;31;663.7;31;505.4
01103;48.10;11.99;        EBERSBERG-HALBING;201012;31;702.6;31;623.9
01107;49.85;10.50;                   EBRACH;201012;31;747.0;31;604.4
01161;48.88;11.23;  EICHSTAETT-LANDERSHOFEN;201012;31;738.9;31;-999.9
01197;48.99;10.13;     ELLWANGEN-RINDELBACH;201012;31;704.5;31;600.8
01200;54.07; 9.01;     ELPERSBUETTEL (AWST);201012;31;736.7;31;-999.9
01207;50.27;12.27;          ELSTER,BAD-SOHL;201012;31;795.2;31;-999.9
01214;48.20; 8.11;          ELZACH-FISNACHT;201012;31;663.3;31;-999.9
01224;48.14; 7.84;    EMMENDINGEN-MUNDINGEN;201012;31;630.3;31;527.6
01255;49.17; 8.85;          EPPINGEN-ELSENZ;201012;31;683.8;31;-999.9
01262;48.35;11.81;       MUENCHEN-FLUGHAFEN;201012;31;709.0;31;609.7
01266;54.30; 9.32;                    ERFDE;201012;31;747.1;31;540.5
01270;50.98;10.96;            ERFURT-WEIMAR;201012;31;774.6;31;598.1
01279;49.65;11.01; MOEHRENDORF-KLEINSEEBACH;201012;31;722.5;31;576.2
01297;51.20;10.01;                 ESCHWEGE;201012;31;735.1;31;-999.9
01300;51.25; 8.16;                   ESLOHE;201012;31;748.2;31;-999.9
01303;51.40; 6.97;    ESSEN-BREDENEY (AWST);201012;31;684.5;31;521.2
01327;50.71; 6.79;    WEILERSWIST-LOMMERSUM;201012;31;676.1;31;-999.9
01332;48.48;12.72; FALKENBERG,KR.ROTTAL-INN;201012;31;734.1;31;621.6
01341;54.60;11.15;              FEHMARNBELT;201012;31;659.6;31;-999.9
