#Monatsgradtage VDI 3807; erstellt: DWD, 20190909
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-MAY-2011 bis 31-MAY-2011
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2001-2010
00044;52.93; 8.24;            GROSSENKNETEN;201105;31;149.7;18;197.1
00071;48.22; 8.98;          ALBSTADT-BADKAP;201105;31;170.6;19;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201105;31;141.6;17;131.1
00078;52.49; 7.91;                ALFHAUSEN;201105;31;168.2;21;183.8
00091;50.74; 9.34;             ALSFELD-EIFA;201105;31;162.7;18;206.2
00102;53.86; 8.13;        ALTE WESER (AWST);201105;31;226.9;27;242.5
00131;51.09;12.93;          ALTGERINGSWALDE;201105;31;149.1;16;-999.9
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201105;31;129.3;14;176.7
00150;49.73; 8.12;                    ALZEY;201105;31;101.7;13;-999.9
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201105;31;143.5;17;169.5
00154;48.02;12.29;         AMERANG-PFAFFING;201105;31;152.2;17;181.3
00164;53.03;13.99;       ANGERMUENDE (WEWA);201105;31;149.3;17;172.9
00167;53.84;13.68;                   ANKLAM;201105;31;175.9;20;-999.9
00183;54.68;13.43;            ARKONA (WEWA);201105;31;265.1;30;273.1
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201105;31;160.3;20;168.3
00198;51.37;11.29;            ARTERN (WEWA);201105;31;126.9;14;166.7
00217;47.88;11.36;                 ATTENKAM;201105;31;162.1;18;202.1
00222;50.59;12.71;                      AUE;201105;31;174.2;19;200.2
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201105;31;133.8;15;186.0
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201105;31; 89.1;11;139.2
00259;47.81; 7.64;                MUELLHEIM;201105;31; 88.4;11;-999.9
00282;49.87;10.92;            BAMBERG (WST);201105;31;137.2;16;148.5
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201105;31;132.6;16;172.6
00298;54.34;12.71;             BARTH (AWST);201105;31;214.2;25;235.5
00303;52.06;13.50;            BARUTH (AWST);201105;31;134.9;15;155.6
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201105;31;149.0;16;162.5
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201105;31;146.2;16;178.3
00326;51.72; 8.06;         BECKUM-UNTERBERG;201105;31;131.3;16;-999.9
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201105;31;113.4;13;185.7
00342;52.32; 8.17;                     BELM;201105;31;161.3;19;-999.9
00348;50.41; 7.59;           BENDORF (AWST);201105;31; 84.1;11;-999.9
00368;52.82; 9.92;              BERGEN (BW);201105;31;169.1;20;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201105;31; 63.5;8;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201105;31;212.1;22;267.5
00399;52.52;13.41;    BERLIN-ALEXANDERPLATZ;201105;31; 87.5;10;103.6
00400;52.63;13.50;              BERLIN-BUCH;201105;31;131.0;15;148.7
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201105;31;137.7;16;146.7
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201105;31;150.3;17;-999.9
00420;52.54;13.56;           BERLIN-MARZAHN;201105;31;112.6;13;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201105;31;122.2;14;146.5
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201105;31;112.8;13;130.0
00433;52.47;13.40;       BERLIN-TEMP. (WST);201105;31;104.2;12;134.0
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201105;31;118.8;14;155.2
00450;49.92; 7.07;               BERNKASTEL;201105;31; 68.6;9;113.2
00460;49.26; 6.69;             BERUS (AWST);201105;31;108.8;14;-999.9
00535;50.04; 7.31;              BLANKENRATH;201105;31;158.7;19;-999.9
00555;51.48; 7.27;                   BOCHUM;201105;31;142.9;18;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201105;31;152.2;18;187.8
00596;54.00;11.19;        BOLTENHAGEN (WST);201105;31;202.5;24;232.9
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201105;31;120.5;16;-999.9
00617;51.87; 6.89;              BORKEN I.W.;201105;31;134.9;18;-999.9
00656;51.72;10.60;         BRAUNLAGE (AWST);201105;31;247.3;25;-999.9
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201105;31;138.9;16;169.7
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201105;31;151.1;18;190.6
00701;53.53; 8.58;        BREMERHAVEN (WST);201105;31;162.1;20;188.1
00704;53.45; 9.14;      BREMERVOERDE (AWST);201105;31;170.8;20;-999.9
00722;51.80;10.62;           BROCKEN (WEWA);201105;31;371.0;30;399.6
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201105;31;140.3;16;176.2
00757;47.96; 8.00;               BUCHENBACH;201105;31;107.4;13;168.2
00766;50.17; 7.06;             BUECHEL (BW);201105;31;155.3;18;219.0
00769;52.28; 9.09;          BUECKEBURG (BW);201105;31;133.5;16;166.8
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201105;31;169.2;19;199.6
00840;50.43;12.61;         CARLSFELD (AWST);201105;31;286.7;27;-999.9
00850;52.60;10.03;  CELLE-WIETZENBRUCH (BW);201105;31;133.9;16;-999.9
00853;50.79;12.87;          CHEMNITZ (WEWA);201105;31;152.6;16;190.6
00856;47.88;12.54;           CHIEMING (WST);201105;31;154.3;17;-999.9
00863;51.79;10.35;     CLAUSTHAL-ZELLERFELD;201105;31;220.7;21;263.1
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);201105;31;136.7;15;-999.9
00880;51.78;14.32;           COTTBUS (WEWA);201105;31;129.6;14;130.4
00891;53.87; 8.71;          CUXHAVEN (WEWA);201105;31;180.7;22;210.5
00896;51.08;10.86;                  DACHWIG;201105;31;139.0;16;164.7
00917;49.88; 8.68;                DARMSTADT;201105;31; 97.0;12;140.3
00953;49.76; 7.05;        DEUSELBACH (AWST);201105;31;144.0;17;-999.9
00954;54.18; 7.46; UFS DEUTSCHE BUCHT(AWST);201105;31;276.5;31;-999.9
00963;52.59; 8.34;           DIEPHOLZ(WEWA);201105;31;151.8;19;182.7
00979;50.74; 8.27;               DILLENBURG;201105;31;164.2;19;198.4
00983;48.56;10.56; DILLINGEN/DONAU-FRISTIN.;201105;31;136.6;16;-999.9
00991;50.91;13.71;  DIPPOLDISWALDE-REINBERG;201105;31;185.8;19;-999.9
01001;51.65;13.57; DOBERLUG-KIRCHHAIN(AWST);201105;31;136.8;15;153.2
01048;51.13;13.75; DRESDEN-KLOTZ.(FLUGWEWA);201105;31;136.4;15;152.1
01050;51.02;13.85;       DRESDEN-HOSTERWITZ;201105;31;127.0;14;135.3
01051;51.02;13.77;         DRESDEN-STREHLEN;201105;31;109.2;12;-999.9
01052;52.22;12.16;         DREWITZ,BEI BURG;201105;31;120.5;13;163.9
01072;49.47; 8.19;            DUERKHEIM,BAD;201105;31; 68.7;9;103.8
01078;51.30; 6.77;   DUESSELDORF (FLUGWEWA);201105;31;107.8;14;143.7
01103;48.10;11.99;        EBERSBERG-HALBING;201105;31;144.7;15;174.7
01107;49.85;10.50;                   EBRACH;201105;31;159.9;18;204.4
01161;48.88;11.23;  EICHSTAETT-LANDERSHOFEN;201105;31;160.3;20;-999.9
01197;48.99;10.13;     ELLWANGEN-RINDELBACH;201105;31;143.6;17;184.9
01200;54.07; 9.01;     ELPERSBUETTEL (AWST);201105;31;211.7;25;-999.9
