#Monatsgradtage VDI 3807; erstellt: DWD, 20190903
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-SEP-2013 bis 30-SEP-2013
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2003-2012
00044;52.93; 8.24;            GROSSENKNETEN;201309;30;178.0;22;143.5
00071;48.22; 8.98;          ALBSTADT-BADKAP;201309;30;200.2;23;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201309;30;161.7;21;143.0
00078;52.49; 7.91;                ALFHAUSEN;201309;30;183.9;23;143.5
00091;50.74; 9.34;             ALSFELD-EIFA;201309;30;194.7;23;170.8
00102;53.86; 8.13;        ALTE WESER (AWST);201309;30;113.2;16;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201309;30;203.8;24;-999.9
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201309;30;180.8;22;159.9
00150;49.73; 8.12;                    ALZEY;201309;30;143.2;20;-999.9
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201309;30;194.9;24;158.7
00154;48.02;12.29;         AMERANG-PFAFFING;201309;30;198.8;24;168.4
00161;50.42; 7.42;                ANDERNACH;201309;30;134.6;20;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201309;30;187.7;22;128.1
00167;53.84;13.68;                   ANKLAM;201309;30;195.4;24;-999.9
00183;54.68;13.43;            ARKONA (WEWA);201309;30;138.3;19;104.5
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201309;30;176.6;23;149.8
00198;51.37;11.29;            ARTERN (WEWA);201309;30;172.8;21;125.7
00217;47.88;11.36;                 ATTENKAM;201309;30;196.8;23;167.8
00222;50.59;12.71;                      AUE;201309;30;208.8;24;166.9
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201309;30;179.1;22;166.7
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201309;30;126.3;19;115.4
00259;47.81; 7.64;                MUELLHEIM;201309;30;104.9;15;-999.9
00282;49.87;10.92;            BAMBERG (WST);201309;30;185.8;23;147.4
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201309;30;161.1;20;112.7
00298;54.34;12.71;             BARTH (AWST);201309;30;188.9;21;132.2
00303;52.06;13.50;            BARUTH (AWST);201309;30;176.6;21;136.6
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201309;30;191.8;23;118.3
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201309;30;204.2;24;179.0
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201309;30;191.2;23;150.5
00342;52.32; 8.17;                     BELM;201309;30;178.8;22;-999.9
00368;52.82; 9.92;              BERGEN (BW);201309;30;193.4;23;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201309;30;108.2;15;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201309;30;256.7;26;221.3
00400;52.63;13.50;              BERLIN-BUCH;201309;30;192.2;23;125.0
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201309;30;185.0;22;122.8
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201309;30;197.2;22;146.1
00420;52.54;13.56;           BERLIN-MARZAHN;201309;30;158.7;19;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201309;30;170.1;20;116.1
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201309;30;164.7;20; 99.6
