#Monatsgradtage VDI 3807; erstellt: DWD, 20190903
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-MAR-2014 bis 31-MAR-2014
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2004-2013
00044;52.93; 8.24;            GROSSENKNETEN;201403;31;392.3;31;476.0
00071;48.22; 8.98;          ALBSTADT-BADKAP;201403;31;425.4;31;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201403;31;409.1;31;490.1
00078;52.49; 7.91;                ALFHAUSEN;201403;31;394.6;31;472.4
00091;50.74; 9.34;             ALSFELD-EIFA;201403;31;417.5;31;499.9
00102;53.86; 8.13;        ALTE WESER (AWST);201403;31;399.8;31;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201403;31;460.8;31;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201403;31;392.5;30;-999.9
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201403;31;408.5;31;511.1
00150;49.73; 8.12;                    ALZEY;201403;31;364.0;31;-999.9
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201403;31;426.2;31;510.8
00154;48.02;12.29;         AMERANG-PFAFFING;201403;31;430.5;31;515.3
00161;50.42; 7.42;                ANDERNACH;201403;31;379.8;31;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201403;31;412.5;31;506.9
00167;53.84;13.68;                   ANKLAM;201403;31;417.7;31;-999.9
00183;54.68;13.43;            ARKONA (WEWA);201403;31;450.8;31;534.2
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201403;31;413.6;31;484.9
00198;51.37;11.29;            ARTERN (WEWA);201403;31;392.8;31;483.0
00217;47.88;11.36;                 ATTENKAM;201403;31;430.5;31;515.0
00222;50.59;12.71;                      AUE;201403;31;407.6;30;517.7
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201403;31;424.0;31;509.9
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201403;31;375.5;31;451.0
00259;47.81; 7.64;                MUELLHEIM;201403;31;380.0;30;-999.9
00282;49.87;10.92;            BAMBERG (WST);201403;31;411.2;31;487.5
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201403;31;362.6;30;467.1
00298;54.34;12.71;             BARTH (AWST);201403;31;435.9;31;521.1
00303;52.06;13.50;            BARUTH (AWST);201403;31;402.4;30;492.9
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201403;31;376.7;30;495.1
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201403;31;436.8;31;513.0
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201403;31;372.5;31;489.9
00342;52.32; 8.17;                     BELM;201403;31;383.6;31;-999.9
00368;52.82; 9.92;              BERGEN (BW);201403;31;408.1;31;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201403;31;317.1;30;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201403;31;441.8;31;554.9
00400;52.63;13.50;              BERLIN-BUCH;201403;31;387.5;31;483.9
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201403;31;380.0;31;482.4
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201403;31;413.8;31;498.8
00420;52.54;13.56;           BERLIN-MARZAHN;201403;31;365.7;31;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201403;31;391.1;31;489.3
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201403;31;369.0;31;473.3
00433;52.47;13.40;       BERLIN-TEMP. (WST);201403;31;368.9;31;473.4
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201403;31;387.7;31;477.8
00460;49.26; 6.69;             BERUS (AWST);201403;31;360.2;30;460.7
00535;50.04; 7.31;              BLANKENRATH;201403;31;406.4;31;-999.9
00555;51.48; 7.27;                   BOCHUM;201403;31;362.1;31;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201403;31;403.0;31;492.1
00596;54.00;11.19;        BOLTENHAGEN (WST);201403;31;424.1;31;502.2
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201403;31;347.4;31;-999.9
00617;51.87; 6.89;              BORKEN I.W.;201403;31;365.5;31;-999.9
