#Monatsgradtage VDI 3807; erstellt: DWD, 20190902
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-FEB-2015 bis 28-FEB-2015
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2005-2014
00044;52.93; 8.24;            GROSSENKNETEN;201502;28;493.1;28;504.3
00071;48.22; 8.98;          ALBSTADT-BADKAP;201502;28;610.4;28;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201502;28;577.3;28;565.5
00078;52.49; 7.91;                ALFHAUSEN;201502;28;499.8;28;504.5
00091;50.74; 9.34;             ALSFELD-EIFA;201502;28;543.6;28;543.4
00125;47.83;10.87;          ALTENSTADT (BW);201502;28;648.6;28;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201502;28;540.2;28;557.1
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201502;28;611.1;28;571.7
00150;49.73; 8.12;                    ALZEY;201502;28;513.9;28;-999.9
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201502;28;584.4;28;568.1
00154;48.02;12.29;         AMERANG-PFAFFING;201502;28;610.6;28;581.5
00161;50.42; 7.42;                ANDERNACH;201502;28;480.6;28;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201502;28;525.8;28;548.6
00167;53.84;13.68;                   ANKLAM;201502;28;528.9;28;544.3
00183;54.68;13.43;            ARKONA (WEWA);201502;28;501.8;28;536.9
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201502;28;542.4;28;538.4
00198;51.37;11.29;            ARTERN (WEWA);201502;28;526.0;28;539.5
00217;47.88;11.36;                 ATTENKAM;201502;28;610.0;28;572.0
00222;50.59;12.71;                      AUE;201502;28;546.2;28;560.9
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201502;28;598.3;28;568.7
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201502;28;535.6;28;503.2
00259;47.81; 7.64;                MUELLHEIM;201502;28;521.8;28;501.8
00282;49.87;10.92;            BAMBERG (WST);201502;28;548.2;28;544.1
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201502;28;493.8;28;503.9
00298;54.34;12.71;             BARTH (AWST);201502;28;514.4;28;537.6
00303;52.06;13.50;            BARUTH (AWST);201502;28;520.0;28;538.4
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201502;28;513.4;28;-999.9
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201502;28;572.9;28;564.1
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201502;28;567.1;28;547.3
00342;52.32; 8.17;                     BELM;201502;28;502.5;28;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201502;28;511.6;28;491.8
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201502;28;596.4;28;591.4
00400;52.63;13.50;              BERLIN-BUCH;201502;28;510.6;28;531.9
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201502;28;512.1;28;530.8
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201502;28;527.4;28;542.8
00420;52.54;13.56;           BERLIN-MARZAHN;201502;28;503.7;28;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201502;28;519.8;28;537.7
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201502;28;500.7;28;522.0
00433;52.47;13.40;       BERLIN-TEMP. (WST);201502;28;501.4;28;523.5
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201502;28;517.1;28;530.4
00460;49.26; 6.69;             BERUS (AWST);201502;28;535.1;28;517.7
00535;50.04; 7.31;              BLANKENRATH;201502;28;553.2;28;539.3
00555;51.48; 7.27;                   BOCHUM;201502;28;478.4;28;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201502;28;507.0;28;526.3
00596;54.00;11.19;        BOLTENHAGEN (WST);201502;28;505.6;28;521.0
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201502;28;486.2;28;-999.9
00617;51.87; 6.89;              BORKEN I.W.;201502;28;486.7;28;480.5
00656;51.72;10.60;         BRAUNLAGE (AWST);201502;28;587.8;28;606.9
