#Monatsgradtage VDI 3807; erstellt: DWD, 20190903
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-AUG-2015 bis 31-AUG-2015
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2005-2014
00044;52.93; 8.24;            GROSSENKNETEN;201508;31;  0.0;0; 45.4
00071;48.22; 8.98;          ALBSTADT-BADKAP;201508;31; 44.6;7;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201508;31;  0.0;0; 32.6
00078;52.49; 7.91;                ALFHAUSEN;201508;31;  5.7;1; 50.4
00091;50.74; 9.34;             ALSFELD-EIFA;201508;31; 11.8;2; 57.8
00125;47.83;10.87;          ALTENSTADT (BW);201508;31; 45.3;7;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201508;31; 11.6;2; 46.0
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201508;31;  5.7;1; 50.8
00150;49.73; 8.12;                    ALZEY;201508;31;  0.0;0; 21.1
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201508;31;  0.0;0; 46.2
00154;48.02;12.29;         AMERANG-PFAFFING;201508;31; 10.3;2; 66.7
00161;50.42; 7.42;                ANDERNACH;201508;31;  5.5;1;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201508;31;  0.0;0; 24.9
00167;53.84;13.68;                   ANKLAM;201508;31;  5.9;1; 23.1
00183;54.68;13.43;            ARKONA (WEWA);201508;31;  5.9;1; 20.1
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201508;31; 15.6;3; 36.4
00198;51.37;11.29;            ARTERN (WEWA);201508;31;  0.0;0; 26.0
00217;47.88;11.36;                 ATTENKAM;201508;31; 34.4;6; 73.5
00222;50.59;12.71;                      AUE;201508;31; 12.0;2; 58.5
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201508;31; 10.8;2; 53.8
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201508;31;  5.3;1; 28.5
00259;47.81; 7.64;                MUELLHEIM;201508;31;  0.0;0; 24.1
00282;49.87;10.92;            BAMBERG (WST);201508;31;  5.3;1; 36.3
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201508;31;  5.2;1; 32.9
00298;54.34;12.71;             BARTH (AWST);201508;31;  7.2;1; 29.7
00303;52.06;13.50;            BARUTH (AWST);201508;31;  0.0;0; 29.6
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201508;31;  5.2;1; 25.2
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201508;31; 20.8;4; 61.6
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201508;31; 28.7;5; 61.4
00342;52.32; 8.17;                     BELM;201508;31;  5.7;1;-999.9
00368;52.82; 9.92;              BERGEN (BW);201508;31;  0.0;0;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201508;31;  0.0;0; 18.1
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201508;31; 50.7;7;133.1
00400;52.63;13.50;              BERLIN-BUCH;201508;31;  0.0;0; 23.4
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201508;31;  0.0;0; 22.6
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201508;31;  0.0;0; 30.4
00420;52.54;13.56;           BERLIN-MARZAHN;201508;31;  0.0;0;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201508;31;  0.0;0; 21.1
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201508;31;  0.0;0; 18.2
00433;52.47;13.40;       BERLIN-TEMP. (WST);201508;31;  0.0;0; 14.3
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201508;31;  0.0;0; 21.8
00460;49.26; 6.69;             BERUS (AWST);201508;31; 17.9;3; 46.9
00535;50.04; 7.31;              BLANKENRATH;201508;31; 39.6;6; 71.3
00555;51.48; 7.27;                   BOCHUM;201508;31; 12.1;2;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201508;31;  5.2;1; 34.7
00596;54.00;11.19;        BOLTENHAGEN (WST);201508;31;  6.4;1; 31.1
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201508;31; 17.8;3;-999.9
00617;51.87; 6.89;              BORKEN I.W.;201508;31; 11.9;2; 36.4
00656;51.72;10.60;         BRAUNLAGE (AWST);201508;31; 58.1;9;142.7
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201508;31;  5.1;1; 33.7
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201508;31;  0.0;0; 42.4
00701;53.53; 8.58;        BREMERHAVEN (WST);201508;31;  0.0;0; 20.6
00704;53.45; 9.14;      BREMERVOERDE (AWST);201508;31;  5.8;1; 47.5
00722;51.80;10.62;           BROCKEN (WEWA);201508;31;138.7;17;267.1
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201508;31; 21.3;4; 50.6
00757;47.96; 8.00;               BUCHENBACH;201508;31; 11.2;2; 46.9
00766;50.17; 7.06;             BUECHEL (BW);201508;31; 40.7;6;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201508;31; 11.7;2; 56.3
00840;50.43;12.61;         CARLSFELD (AWST);201508;31; 71.4;10;176.4
00853;50.79;12.87;          CHEMNITZ (WEWA);201508;31; 12.6;2; 55.4
00856;47.88;12.54;           CHIEMING (WST);201508;31;  5.2;1; 55.8
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);201508;31; 28.3;5; 54.9
00880;51.78;14.32;           COTTBUS (WEWA);201508;31;  0.0;0; 19.5
00891;53.87; 8.71;          CUXHAVEN (WEWA);201508;31;  0.0;0; 21.8
00896;51.08;10.86;                  DACHWIG;201508;31;  0.0;0; 22.7
00917;49.88; 8.68;                DARMSTADT;201508;31;  0.0;0; 26.0
00953;49.76; 7.05;        DEUSELBACH (AWST);201508;31; 40.9;6; 78.4
00963;52.59; 8.34;           DIEPHOLZ(WEWA);201508;31;  5.2;1; 39.9
00979;50.74; 8.27;               DILLENBURG;201508;31; 24.4;4; 63.1
00983;48.56;10.56; DILLINGEN/DONAU-FRISTIN.;201508;31;  0.0;0;-999.9
