#Monatsgradtage VDI 3807; erstellt: DWD, 20190830
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-OCT-2016 bis 31-OCT-2016
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2006-2015
00044;52.93; 8.24;            GROSSENKNETEN;201610;31;342.3;31;289.5
00071;48.22; 8.98;          ALBSTADT-BADKAP;201610;31;393.4;31;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201610;31;353.2;30;336.2
00078;52.49; 7.91;                ALFHAUSEN;201610;31;354.2;31;298.9
00091;50.74; 9.34;             ALSFELD-EIFA;201610;31;368.3;31;329.9
00102;53.86; 8.13;        ALTE WESER (AWST);201610;31;284.3;31;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201610;31;396.2;31;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201610;31;364.1;31;321.7
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201610;31;367.2;30;335.5
00150;49.73; 8.12;                    ALZEY;201610;31;335.9;31;283.4
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201610;31;370.6;30;350.7
00154;48.02;12.29;         AMERANG-PFAFFING;201610;31;364.3;31;343.6
00161;50.42; 7.42;                ANDERNACH;201610;31;319.3;31;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201610;31;365.7;31;321.7
00167;53.84;13.68;                   ANKLAM;201610;31;355.1;31;316.8
00183;54.68;13.43;            ARKONA (WEWA);201610;31;310.9;31;291.0
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201610;31;355.6;31;330.1
00198;51.37;11.29;            ARTERN (WEWA);201610;31;345.3;31;312.2
00217;47.88;11.36;                 ATTENKAM;201610;31;367.2;30;327.7
00222;50.59;12.71;                      AUE;201610;31;360.1;30;331.8
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201610;31;368.8;30;335.1
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201610;31;338.1;31;279.1
00259;47.81; 7.64;                MUELLHEIM;201610;31;339.3;30;268.5
00282;49.87;10.92;            BAMBERG (WST);201610;31;359.0;31;329.0
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201610;31;337.4;31;278.4
00298;54.34;12.71;             BARTH (AWST);201610;31;342.1;31;315.1
00303;52.06;13.50;            BARUTH (AWST);201610;31;355.8;31;320.2
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201610;31;335.5;29;302.9
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201610;31;357.3;30;351.3
00342;52.32; 8.17;                     BELM;201610;31;349.5;31;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201610;31;309.0;31;255.4
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201610;31;421.9;31;381.1
00400;52.63;13.50;              BERLIN-BUCH;201610;31;354.4;31;312.4
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201610;31;350.0;31;314.0
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201610;31;361.6;31;334.7
00420;52.54;13.56;           BERLIN-MARZAHN;201610;31;346.7;31;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201610;31;349.6;31;311.4
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201610;31;342.1;31;291.0
00433;52.47;13.40;       BERLIN-TEMP. (WST);201610;31;338.6;31;291.3
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201610;31;328.2;31;297.9
00460;49.26; 6.69;             BERUS (AWST);201610;31;351.5;31;295.8
00535;50.04; 7.31;              BLANKENRATH;201610;31;379.3;31;322.4
00555;51.48; 7.27;                   BOCHUM;201610;31;326.6;31;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201610;31;346.2;31;302.5
00596;54.00;11.19;        BOLTENHAGEN (WST);201610;31;320.4;31;291.1
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201610;31;329.8;31;266.2
00617;51.87; 6.89;              BORKEN I.W.;201610;31;329.6;31;271.4
00656;51.72;10.60;         BRAUNLAGE (AWST);201610;31;432.4;31;389.3
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201610;31;332.5;31;290.1
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201610;31;329.5;31;288.8
00701;53.53; 8.58;        BREMERHAVEN (WST);201610;31;313.6;31;269.2
00704;53.45; 9.14;      BREMERVOERDE (AWST);201610;31;328.9;31;294.0
00722;51.80;10.62;           BROCKEN (WEWA);201610;31;534.9;31;471.8
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201610;31;367.7;31;338.4
00757;47.96; 8.00;               BUCHENBACH;201610;31;342.9;31;285.8
00766;50.17; 7.06;             BUECHEL (BW);201610;31;381.3;31;-999.9
00769;52.28; 9.09;          BUECKEBURG (BW);201610;31;332.3;31;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201610;31;370.2;31;343.5
00840;50.43;12.61;         CARLSFELD (AWST);201610;31;469.8;31;432.4
00850;52.60;10.03;  CELLE-WIETZENBRUCH (BW);201610;31;348.4;31;-999.9
00853;50.79;12.87;          CHEMNITZ (WEWA);201610;31;366.5;30;326.7
00856;47.88;12.54;           CHIEMING (WST);201610;31;345.0;30;324.3
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);201610;31;354.9;31;339.6
00880;51.78;14.32;           COTTBUS (WEWA);201610;31;339.6;30;311.5
00891;53.87; 8.71;          CUXHAVEN (WEWA);201610;31;301.7;31;265.1
00896;51.08;10.86;                  DACHWIG;201610;31;346.5;31;314.4
00917;49.88; 8.68;                DARMSTADT;201610;31;340.7;31;292.9
