#Monatsgradtage VDI 3807; erstellt: DWD, 20190830
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-NOV-2016 bis 30-NOV-2016
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2006-2015
00044;52.93; 8.24;            GROSSENKNETEN;201611;30;470.4;30;-999.9
00071;48.22; 8.98;          ALBSTADT-BADKAP;201611;30;505.7;30;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201611;30;497.6;30;457.7
00078;52.49; 7.91;                ALFHAUSEN;201611;30;466.9;30;402.9
00091;50.74; 9.34;             ALSFELD-EIFA;201611;30;493.5;30;435.9
00102;53.86; 8.13;        ALTE WESER (AWST);201611;30;414.6;30;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201611;30;512.6;30;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201611;30;494.1;30;434.6
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201611;30;497.2;30;467.2
00150;49.73; 8.12;                    ALZEY;201611;30;449.7;30;406.1
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201611;30;518.2;30;464.4
00154;48.02;12.29;         AMERANG-PFAFFING;201611;30;482.6;30;469.9
00161;50.42; 7.42;                ANDERNACH;201611;30;429.0;30;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201611;30;498.2;30;435.2
00167;53.84;13.68;                   ANKLAM;201611;30;492.1;30;427.9
00183;54.68;13.43;            ARKONA (WEWA);201611;30;448.7;30;400.8
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201611;30;490.1;30;436.4
00198;51.37;11.29;            ARTERN (WEWA);201611;30;480.8;30;430.0
00217;47.88;11.36;                 ATTENKAM;201611;30;473.8;30;456.9
00222;50.59;12.71;                      AUE;201611;30;492.8;30;440.9
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201611;30;499.5;30;463.2
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201611;30;442.2;30;401.5
00259;47.81; 7.64;                MUELLHEIM;201611;30;431.3;30;396.6
00282;49.87;10.92;            BAMBERG (WST);201611;30;498.2;30;441.6
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201611;30;456.9;30;392.9
00298;54.34;12.71;             BARTH (AWST);201611;30;479.7;30;414.9
00303;52.06;13.50;            BARUTH (AWST);201611;30;495.5;30;426.2
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201611;30;477.8;30;416.5
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201611;30;505.5;30;458.6
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201611;30;485.6;30;444.0
00342;52.32; 8.17;                     BELM;201611;30;461.5;30;-999.9
00368;52.82; 9.92;              BERGEN (BW);201611;30;496.7;30;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201611;30;427.7;30;393.2
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201611;30;534.5;30;485.1
00400;52.63;13.50;              BERLIN-BUCH;201611;30;488.0;30;421.6
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201611;30;485.3;30;423.3
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201611;30;507.2;30;437.5
00420;52.54;13.56;           BERLIN-MARZAHN;201611;30;477.4;30;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201611;30;489.3;30;426.3
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201611;30;475.4;30;407.4
00433;52.47;13.40;       BERLIN-TEMP. (WST);201611;30;472.4;30;409.1
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201611;30;471.1;30;416.1
00460;49.26; 6.69;             BERUS (AWST);201611;30;456.4;30;421.0
00535;50.04; 7.31;              BLANKENRATH;201611;30;477.2;30;437.4
00555;51.48; 7.27;                   BOCHUM;201611;30;435.8;30;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201611;30;501.2;30;419.1
00596;54.00;11.19;        BOLTENHAGEN (WST);201611;30;471.1;30;405.1
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201611;30;430.1;30;381.5
00617;51.87; 6.89;              BORKEN I.W.;201611;30;443.6;30;380.3
00656;51.72;10.60;         BRAUNLAGE (AWST);201611;30;548.9;30;488.0
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201611;30;468.9;30;403.5
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201611;30;468.5;30;400.5
00701;53.53; 8.58;        BREMERHAVEN (WST);201611;30;456.2;30;385.8
00704;53.45; 9.14;      BREMERVOERDE (AWST);201611;30;478.4;30;404.0
00722;51.80;10.62;           BROCKEN (WEWA);201611;30;620.9;30;549.6
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201611;30;494.9;30;449.3
00757;47.96; 8.00;               BUCHENBACH;201611;30;448.1;30;416.4
00766;50.17; 7.06;             BUECHEL (BW);201611;30;491.7;30;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201611;30;500.8;30;442.0
00840;50.43;12.61;         CARLSFELD (AWST);201611;30;583.3;30;530.8
00850;52.60;10.03;  CELLE-WIETZENBRUCH (BW);201611;30;493.5;30;-999.9
