#Monatsgradtage VDI 3807; erstellt: DWD, 20190710
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-JUN-2017 bis 30-JUN-2017
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2007-2016
00044;52.93; 8.24;            GROSSENKNETEN;201706;30; 13.5;2; 90.4
00071;48.22; 8.98;          ALBSTADT-BADKAP;201706;30; 48.5;7;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201706;30; 18.2;3; 46.1
00078;52.49; 7.91;                ALFHAUSEN;201706;30; 18.2;3; 90.7
00091;50.74; 9.34;             ALSFELD-EIFA;201706;30; 42.5;7; 95.4
00102;53.86; 8.13;        ALTE WESER (AWST);201706;30; 69.6;12;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201706;30; 49.6;7;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201706;30; 28.7;5; 82.2
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201706;30; 27.4;4; 75.3
00150;49.73; 8.12;                    ALZEY;201706;30; 13.3;2; 44.0
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201706;30; 19.1;3; 58.4
00154;48.02;12.29;         AMERANG-PFAFFING;201706;30; 20.8;3; 78.7
00161;50.42; 7.42;                ANDERNACH;201706;30; 11.8;2;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201706;30; 11.9;2; 63.0
00167;53.84;13.68;                   ANKLAM;201706;30; 28.4;5; 68.4
00183;54.68;13.43;            ARKONA (WEWA);201706;30; 83.4;14;116.3
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201706;30; 29.4;5; 62.3
00198;51.37;11.29;            ARTERN (WEWA);201706;30;  6.7;1; 57.2
00217;47.88;11.36;                 ATTENKAM;201706;30; 32.9;5;102.6
00222;50.59;12.71;                      AUE;201706;30; 29.8;5; 92.9
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201706;30; 27.2;4; 74.5
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201706;30; 19.5;3; 43.5
00259;47.81; 7.64;                MUELLHEIM;201706;30; 13.1;2; 38.3
00282;49.87;10.92;            BAMBERG (WST);201706;30; 24.0;4; 57.7
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201706;30; 12.3;2; 68.9
00298;54.34;12.71;             BARTH (AWST);201706;30; 40.6;7;101.5
00303;52.06;13.50;            BARUTH (AWST);201706;30;  5.5;1; 54.4
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201706;30;  5.6;1; 64.9
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201706;30; 30.8;5; 76.7
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201706;30; 33.2;5; 88.5
00342;52.32; 8.17;                     BELM;201706;30;  7.8;1;-999.9
00368;52.82; 9.92;              BERGEN (BW);201706;30; 19.1;3; 84.3
00377;49.11; 8.00;           BERGZABERN,BAD;201706;30; 12.5;2; 30.3
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201706;30; 91.1;13;162.5
00400;52.63;13.50;              BERLIN-BUCH;201706;30; 10.2;2; 48.2
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201706;30;  5.7;1; 50.4
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201706;30;  5.2;1; 54.1
00420;52.54;13.56;           BERLIN-MARZAHN;201706;30;  5.2;1;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201706;30;  5.2;1; 42.7
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201706;30;  0.0;0; 42.6
00433;52.47;13.40;       BERLIN-TEMP. (WST);201706;30;  5.1;1; 36.1
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201706;30;  6.1;1; 54.2
00460;49.26; 6.69;             BERUS (AWST);201706;30; 29.1;4; 72.9
00535;50.04; 7.31;              BLANKENRATH;201706;30; 39.7;6;-999.9
00555;51.48; 7.27;                   BOCHUM;201706;30;  6.5;1;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201706;30; 29.8;5; 77.4
00596;54.00;11.19;        BOLTENHAGEN (WST);201706;30; 30.5;5; 97.5
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201706;30;  6.5;1; 65.0
00617;51.87; 6.89;              BORKEN I.W.;201706;30;  6.5;1; 70.7
00656;51.72;10.60;         BRAUNLAGE (AWST);201706;30;125.4;18;175.6
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201706;30; 12.1;2; 69.9
