#Monatsgradtage VDI 3807; erstellt: DWD, 20190702
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-JAN-2018 bis 31-JAN-2018
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2008-2017
00044;52.93; 8.24;            GROSSENKNETEN;201801;31;492.5;31;566.6
00071;48.22; 8.98;          ALBSTADT-BADKAP;201801;31;520.3;31;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201801;31;517.9;31;648.1
00078;52.49; 7.91;                ALFHAUSEN;201801;31;488.7;31;568.7
00091;50.74; 9.34;             ALSFELD-EIFA;201801;31;497.6;31;609.2
00102;53.86; 8.13;        ALTE WESER (AWST);201801;31;490.7;31;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201801;31;532.6;31;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201801;31;508.3;31;629.6
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201801;31;509.2;31;637.5
00150;49.73; 8.12;                    ALZEY;201801;31;446.8;31;571.1
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201801;31;518.4;31;638.6
00154;48.02;12.29;         AMERANG-PFAFFING;201801;31;521.7;31;650.6
00161;50.42; 7.42;                ANDERNACH;201801;31;426.9;31;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201801;31;532.4;31;631.2
00167;53.84;13.68;                   ANKLAM;201801;31;536.8;31;618.6
00183;54.68;13.43;            ARKONA (WEWA);201801;31;531.1;31;586.7
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201801;31;474.4;31;607.4
00198;51.37;11.29;            ARTERN (WEWA);201801;31;496.5;31;610.9
00217;47.88;11.36;                 ATTENKAM;201801;31;511.8;31;631.2
00222;50.59;12.71;                      AUE;201801;31;504.4;31;624.0
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201801;31;497.0;31;628.7
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201801;31;432.8;31;562.9
00259;47.81; 7.64;                MUELLHEIM;201801;31;420.0;31;556.1
00282;49.87;10.92;            BAMBERG (WST);201801;31;489.1;31;611.9
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201801;31;483.1;31;567.6
00298;54.34;12.71;             BARTH (AWST);201801;31;538.0;31;603.1
00303;52.06;13.50;            BARUTH (AWST);201801;31;509.9;31;616.4
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201801;31;510.5;31;625.4
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201801;31;506.6;31;638.8
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201801;31;498.9;31;614.6
00342;52.32; 8.17;                     BELM;201801;31;483.5;31;-999.9
00368;52.82; 9.92;              BERGEN (BW);201801;31;516.7;31;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201801;31;428.2;31;556.4
00379;50.91;11.27;    BERKA,BAD (FLUGPLATZ);201801;31;517.1;31;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201801;31;566.3;31;656.1
00400;52.63;13.50;              BERLIN-BUCH;201801;31;513.6;31;612.8
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201801;31;512.4;31;613.6
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201801;31;523.4;31;625.8
00420;52.54;13.56;           BERLIN-MARZAHN;201801;31;511.6;31;608.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201801;31;517.6;31;619.3
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201801;31;506.8;31;602.5
00433;52.47;13.40;       BERLIN-TEMP. (WST);201801;31;504.1;31;603.0
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201801;31;495.5;31;601.7
00460;49.26; 6.69;             BERUS (AWST);201801;31;470.6;31;584.7
00535;50.04; 7.31;              BLANKENRATH;201801;31;494.8;31;605.6
00555;51.48; 7.27;                   BOCHUM;201801;31;451.1;31;537.4
00591;53.39;10.69;         BOIZENBURG (WST);201801;31;522.0;31;595.4
00596;54.00;11.19;        BOLTENHAGEN (WST);201801;31;515.2;31;584.2
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201801;31;443.5;31;545.1
00617;51.87; 6.89;              BORKEN I.W.;201801;31;452.9;31;541.2
00656;51.72;10.60;         BRAUNLAGE (AWST);201801;31;595.7;31;674.1
