#Monatsgradtage VDI 3807; erstellt: DWD, 20190702
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-JUL-2018 bis 31-JUL-2018
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2008-2017
00044;52.93; 8.24;            GROSSENKNETEN;201807;31;  5.4;1; 31.5
00071;48.22; 8.98;          ALBSTADT-BADKAP;201807;31; 17.9;3;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201807;31;  0.0;0; 17.0
00078;52.49; 7.91;                ALFHAUSEN;201807;31;  5.5;1; 33.6
00091;50.74; 9.34;             ALSFELD-EIFA;201807;31; 11.1;2; 39.7
00102;53.86; 8.13;        ALTE WESER (AWST);201807;31;  0.0;0;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);201807;31; 11.4;2;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201807;31; 23.3;4; 29.0
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201807;31;  5.2;1; 31.8
00150;49.73; 8.12;                    ALZEY;201807;31;  0.0;0; 10.8
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201807;31;  6.5;1; 24.5
00154;48.02;12.29;         AMERANG-PFAFFING;201807;31;  0.0;0; 35.9
00161;50.42; 7.42;                ANDERNACH;201807;31;  0.0;0;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201807;31;  0.0;0; 11.4
00167;53.84;13.68;                   ANKLAM;201807;31;  0.0;0; 12.3
00183;54.68;13.43;            ARKONA (WEWA);201807;31;  0.0;0; 19.2
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201807;31;  0.0;0; 18.6
00198;51.37;11.29;            ARTERN (WEWA);201807;31;  0.0;0; 16.2
00217;47.88;11.36;                 ATTENKAM;201807;31;  5.1;1; 44.6
00222;50.59;12.71;                      AUE;201807;31; 31.0;5; 35.4
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201807;31;  6.1;1; 31.3
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201807;31;  0.0;0; 14.7
00259;47.81; 7.64;                MUELLHEIM;201807;31;  0.0;0;  9.6
00282;49.87;10.92;            BAMBERG (WST);201807;31;  0.0;0; 19.5
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201807;31; 12.6;2; 24.0
00298;54.34;12.71;             BARTH (AWST);201807;31;  0.0;0; 18.2
00303;52.06;13.50;            BARUTH (AWST);201807;31;  5.1;1; 13.0
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201807;31; 16.6;3; 17.3
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201807;31;  6.5;1; 34.2
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;201807;31;  6.3;1;-999.9
00342;52.32; 8.17;                     BELM;201807;31; 11.1;2;-999.9
00368;52.82; 9.92;              BERGEN (BW);201807;31; 12.5;2;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201807;31;  0.0;0;  7.3
00379;50.91;11.27;    BERKA,BAD (FLUGPLATZ);201807;31; 16.5;3;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201807;31; 16.6;2; 93.0
00400;52.63;13.50;              BERLIN-BUCH;201807;31;  0.0;0;  7.7
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201807;31;  0.0;0; 10.5
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201807;31;  5.4;1;  9.5
00420;52.54;13.56;           BERLIN-MARZAHN;201807;31;  0.0;0;  5.3
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201807;31;  0.0;0;  8.6
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201807;31;  0.0;0;  5.8
00433;52.47;13.40;       BERLIN-TEMP. (WST);201807;31;  0.0;0;  5.1
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201807;31;  0.0;0; 14.5
00460;49.26; 6.69;             BERUS (AWST);201807;31;  0.0;0; 29.9
00535;50.04; 7.31;              BLANKENRATH;201807;31; 10.5;2; 52.8
00555;51.48; 7.27;                   BOCHUM;201807;31;  5.4;1; 26.4
00591;53.39;10.69;         BOIZENBURG (WST);201807;31;  0.0;0; 23.8
00596;54.00;11.19;        BOLTENHAGEN (WST);201807;31;  0.0;0; 22.3
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201807;31;  0.0;0; 23.4
00617;51.87; 6.89;              BORKEN I.W.;201807;31;  0.0;0; 24.6
00656;51.72;10.60;         BRAUNLAGE (AWST);201807;31; 43.7;7;103.3
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201807;31;  6.1;1; 22.1
00691;53.05; 8.80;        BREMEN (FLUGWEWA);201807;31;  0.0;0; 21.9
00701;53.53; 8.58;        BREMERHAVEN (WST);201807;31;  0.0;0; 13.2
00722;51.80;10.62;           BROCKEN (WEWA);201807;31;136.0;16;221.8
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;201807;31;  0.0;0; 28.2
00757;47.96; 8.00;               BUCHENBACH;201807;31;  5.4;1; 28.5
00760;53.36; 9.94;      ROSENGARTEN-KLECKEN;201807;31; 10.8;2;-999.9
00766;50.17; 7.06;             BUECHEL (BW);201807;31; 11.9;2;-999.9
00769;52.28; 9.09;          BUECKEBURG (BW);201807;31; 12.0;2;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;201807;31; 11.4;2; 35.9
00840;50.43;12.61;         CARLSFELD (AWST);201807;31; 72.1;9;124.7
00850;52.60;10.03;  CELLE-WIETZENBRUCH (BW);201807;31;  6.7;1;-999.9
00853;50.79;12.87;          CHEMNITZ (WEWA);201807;31; 24.5;4; 36.8
00856;47.88;12.54;           CHIEMING (WST);201807;31;  0.0;0; 29.1
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);201807;31;  6.0;1;-999.9
00880;51.78;14.32;           COTTBUS (WEWA);201807;31; 10.9;2; 10.7
00891;53.87; 8.71;          CUXHAVEN (WEWA);201807;31;  0.0;0; 16.0
00896;51.08;10.86;                  DACHWIG;201807;31;  0.0;0; 13.7
00917;49.88; 8.68;                DARMSTADT;201807;31;  0.0;0;  9.0
00953;49.76; 7.05;        DEUSELBACH (AWST);201807;31; 11.4;2; 54.7
00954;54.18; 7.46; UFS DEUTSCHE BUCHT(AWST);201807;31;  0.0;0;-999.9
00963;52.59; 8.34;           DIEPHOLZ(WEWA);201807;31;  5.4;1; 23.1
00979;50.74; 8.27;               DILLENBURG;201807;31; 10.9;2; 42.1
00983;48.56;10.56; DILLINGEN/DONAU-FRISTIN.;201807;31;  0.0;0; 21.9
00991;50.91;13.71;  DIPPOLDISWALDE-REINBERG;201807;31; 35.4;5; 34.3
01001;51.65;13.57; DOBERLUG-KIRCHHAIN(AWST);201807;31;  5.4;1; 14.4
01048;51.13;13.75; DRESDEN-KLOTZ.(FLUGWEWA);201807;31;  6.0;1; 16.5
01050;51.02;13.85;       DRESDEN-HOSTERWITZ;201807;31;  5.2;1;-999.9
01051;51.02;13.77;         DRESDEN-STREHLEN;201807;31;  0.0;0;  8.0
01052;52.22;12.16;         DREWITZ,BEI BURG;201807;31;  0.0;0; 12.9
01072;49.47; 8.19;            DUERKHEIM,BAD;201807;31;  0.0;0;  1.8
01078;51.30; 6.77;   DUESSELDORF (FLUGWEWA);201807;31;  0.0;0; 14.0
01107;49.85;10.50;                   EBRACH;201807;31;  5.4;1; 36.6
01161;48.88;11.23;  EICHSTAETT-LANDERSHOFEN;201807;31;  6.1;1; 26.0
01197;48.99;10.13;     ELLWANGEN-RINDELBACH;201807;31;  5.5;1; 33.5
01200;54.07; 9.01;     ELPERSBUETTEL (AWST);201807;31;  0.0;0; 28.6
01207;50.27;12.27;          ELSTER,BAD-SOHL;201807;31; 34.1;5; 65.0
01214;48.20; 8.11;          ELZACH-FISNACHT;201807;31;  5.4;1; 34.9
01224;48.14; 7.84;    EMMENDINGEN-MUNDINGEN;201807;31;  0.0;0;  7.4
01246;51.84; 8.06;    ENNIGERLOH-OSTENFELDE;201807;31; 11.1;2;-999.9
01255;49.17; 8.85;          EPPINGEN-ELSENZ;201807;31;  0.0;0; 12.5
01262;48.35;11.81;       MUENCHEN-FLUGHAFEN;201807;31;  0.0;0; 19.3
01266;54.30; 9.32;                    ERFDE;201807;31;  5.5;1; 30.4
01270;50.98;10.96;            ERFURT-WEIMAR;201807;31; 10.7;2; 33.9
01279;49.65;11.01; MOEHRENDORF-KLEINSEEBACH;201807;31;  0.0;0; 16.4
01297;51.20;10.01;                 ESCHWEGE;201807;31;  0.0;0; 22.9
01300;51.25; 8.16;                   ESLOHE;201807;31; 14.3;2;-999.9
01303;51.40; 6.97;    ESSEN-BREDENEY (AWST);201807;31;  0.0;0; 29.4
01327;50.71; 6.79;    WEILERSWIST-LOMMERSUM;201807;31;  0.0;0; 21.7
01332;48.48;12.72; FALKENBERG,KR.ROTTAL-INN;201807;31;  0.0;0; 25.9
01339;52.92;10.19;            FASSBERG (BW);201807;31; 12.5;2;-999.9
01346;47.87; 8.00;    FELDBERG/SCHW. (WEWA);201807;31;127.6;17;220.6
01357;49.98;11.84; FICHTELB./OFR-HUETTSTADL;201807;31; 31.7;5; 76.2
01358;50.43;12.95;       FICHTELBERG (WEWA);201807;31;129.2;16;182.8
01411;50.53;10.05;               BIRX/RHOEN;201807;31; 27.2;4; 92.7
01420;50.03; 8.52;  FRANKFURT/M. (FLUGWEWA);201807;31;  0.0;0;  2.6
01424;50.13; 8.67;   FRANKFURT/MAIN-WESTEND;201807;31;  0.0;0;-999.9
01443;48.02; 7.83;    FREIBURG I.BR. (AWST);201807;31;  0.0;0;  5.8
01451;53.83; 9.25;            FREIBURG/ELBE;201807;31;  0.0;0; 24.2
01468;48.45; 8.41;      FREUDENSTADT (WEWA);201807;31; 13.1;2; 80.0
01473;49.19;11.31;     FREYSTADT-MICHELBACH;201807;31;  6.5;1; 32.0
01503;53.06; 7.90;    FRIESOYTHE-ALTENOYTHE;201807;31;  5.3;1;-999.9
01504;51.12; 9.28;            FRITZLAR (BW);201807;31;  5.7;1;-999.9
01526;50.57; 9.65;              FULDA-HORAS;201807;31;  0.0;0;-999.9
01544;52.51;11.39;         GARDELEGEN (WST);201807;31;  0.0;0; 17.2
01550;47.48;11.06; GARMISCH-PARTENK. (AWST);201807;31; 10.8;2; 52.6
01580;49.99; 7.95;        GEISENHEIM (AMBF);201807;31;  0.0;0;  4.7
01584;47.92; 8.65;                GEISINGEN;201807;31;  6.7;1;-999.9
01587;48.95;11.43;         GELBELSEE (AWST);201807;31;  6.5;1; 35.3
