#Monatsgradtage VDI 3807; erstellt: DWD, 20200504
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-APR-2020 bis 30-APR-2020
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2010-2019
00044;52.93; 8.24;            GROSSENKNETEN;202004;30;292.0;30;308.4
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;202004;30;271.9;30;291.5
00078;52.49; 7.91;                ALFHAUSEN;202004;30;281.4;29;309.9
00091;50.74; 9.34;             ALSFELD-EIFA;202004;30;304.8;30;320.3
00096;52.94;12.85;     NEURUPPIN-ALT RUPPIN;202004;30;299.6;30;-999.9
00102;53.86; 8.13;        ALTE WESER (AWST);202004;30;334.1;30;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);202004;30;304.5;30;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;202004;30;287.7;29;312.4
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;202004;30;258.0;28;304.6
00150;49.73; 8.12;                    ALZEY;202004;30;196.4;22;263.7
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;202004;30;287.0;30;306.4
00154;48.02;12.29;         AMERANG-PFAFFING;202004;30;278.8;30;314.3
00161;50.42; 7.42;                ANDERNACH;202004;30;214.4;25;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);202004;30;309.2;30;304.6
00167;53.84;13.68;                   ANKLAM;202004;30;330.5;30;337.5
00183;54.68;13.43;            ARKONA (WEWA);202004;30;359.5;30;391.3
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;202004;30;290.9;30;304.3
00198;51.37;11.29;            ARTERN (WEWA);202004;30;288.4;30;291.8
00217;47.88;11.36;                 ATTENKAM;202004;30;267.6;28;324.1
00222;50.59;12.71;                      AUE;202004;30;306.5;29;327.2
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);202004;30;285.1;29;315.7
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;202004;30;191.9;23;274.8
00259;47.81; 7.64;                MUELLHEIM;202004;30;189.2;22;274.0
00282;49.87;10.92;            BAMBERG (WST);202004;30;289.0;29;295.8
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;202004;30;271.3;29;287.8
00298;54.34;12.71;             BARTH (AWST);202004;30;365.2;30;362.2
00303;52.06;13.50;            BARUTH (AWST);202004;30;301.9;29;292.9
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;202004;30;262.5;26;291.6
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;202004;30;323.9;30;327.9
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;202004;30;203.1;22;295.5
