Provincias;Tipo de dato;Periodo;Total
28 Madrid;Variación anual;2019M12;0,9
28 Madrid;Variación anual;2019M11;0,6
28 Madrid;Variación anual;2019M10;0,3
28 Madrid;Variación anual;2019M09;0,4
28 Madrid;Variación anual;2019M08;0,7
28 Madrid;Variación anual;2019M07;0,8
28 Madrid;Variación anual;2019M06;0,7
28 Madrid;Variación anual;2019M05;1,1
28 Madrid;Variación anual;2019M04;1,8
28 Madrid;Variación anual;2019M03;1,6
28 Madrid;Variación anual;2019M02;1,5
28 Madrid;Variación anual;2019M01;1,3
28 Madrid;Variación anual;2018M12;1,4
28 Madrid;Variación anual;2018M11;1,9
28 Madrid;Variación anual;2018M10;2,3
28 Madrid;Variación anual;2018M09;2,1
28 Madrid;Variación anual;2018M08;2,1
28 Madrid;Variación anual;2018M07;2,2
28 Madrid;Variación anual;2018M06;2,1
28 Madrid;Variación anual;2018M05;2,0
28 Madrid;Variación anual;2018M04;1,0
28 Madrid;Variación anual;2018M03;1,4
28 Madrid;Variación anual;2018M02;1,1
28 Madrid;Variación anual;2018M01;0,7
28 Madrid;Variación anual;2017M12;1,2
28 Madrid;Variación anual;2017M11;1,5
28 Madrid;Variación anual;2017M10;1,5
28 Madrid;Variación anual;2017M09;1,8
28 Madrid;Variación anual;2017M08;1,4
28 Madrid;Variación anual;2017M07;1,3
28 Madrid;Variación anual;2017M06;1,4
28 Madrid;Variación anual;2017M05;1,8
28 Madrid;Variación anual;2017M04;2,5
28 Madrid;Variación anual;2017M03;1,9
28 Madrid;Variación anual;2017M02;2,6
28 Madrid;Variación anual;2017M01;2,7
28 Madrid;Variación anual;2016M12;1,4
28 Madrid;Variación anual;2016M11;0,5
28 Madrid;Variación anual;2016M10;0,5
28 Madrid;Variación anual;2016M09;0,0
28 Madrid;Variación anual;2016M08;-0,2
28 Madrid;Variación anual;2016M07;-0,6
28 Madrid;Variación anual;2016M06;-0,8
28 Madrid;Variación anual;2016M05;-1,0
28 Madrid;Variación anual;2016M04;-1,1
28 Madrid;Variación anual;2016M03;-0,8
28 Madrid;Variación anual;2016M02;-0,8
28 Madrid;Variación anual;2016M01;-0,2
28 Madrid;Variación anual;2015M12;0,0
28 Madrid;Variación anual;2015M11;-0,2
28 Madrid;Variación anual;2015M10;-0,8
28 Madrid;Variación anual;2015M09;-0,9
28 Madrid;Variación anual;2015M08;-0,5
28 Madrid;Variación anual;2015M07;0,0
28 Madrid;Variación anual;2015M06;0,1
28 Madrid;Variación anual;2015M05;-0,1
28 Madrid;Variación anual;2015M04;-0,5
28 Madrid;Variación anual;2015M03;-0,5
28 Madrid;Variación anual;2015M02;-0,9
28 Madrid;Variación anual;2015M01;-1,3
28 Madrid;Variación anual;2014M12;-1,1
28 Madrid;Variación anual;2014M11;-0,4
28 Madrid;Variación anual;2014M10;0,0
28 Madrid;Variación anual;2014M09;-0,1
28 Madrid;Variación anual;2014M08;-0,3
28 Madrid;Variación anual;2014M07;-0,3
28 Madrid;Variación anual;2014M06;0,0
28 Madrid;Variación anual;2014M05;0,2
28 Madrid;Variación anual;2014M04;0,2
28 Madrid;Variación anual;2014M03;-0,3
28 Madrid;Variación anual;2014M02;-0,1
28 Madrid;Variación anual;2014M01;0,2
28 Madrid;Variación anual;2013M12;0,2
28 Madrid;Variación anual;2013M11;0,2
28 Madrid;Variación anual;2013M10;-0,2
28 Madrid;Variación anual;2013M09;0,3
28 Madrid;Variación anual;2013M08;1,4
28 Madrid;Variación anual;2013M07;1,7
28 Madrid;Variación anual;2013M06;1,9
28 Madrid;Variación anual;2013M05;1,5
28 Madrid;Variación anual;2013M04;1,3
28 Madrid;Variación anual;2013M03;2,4
28 Madrid;Variación anual;2013M02;2,5
28 Madrid;Variación anual;2013M01;2,4
28 Madrid;Variación anual;2012M12;2,5
28 Madrid;Variación anual;2012M11;2,8
28 Madrid;Variación anual;2012M10;3,4
28 Madrid;Variación anual;2012M09;3,2
28 Madrid;Variación anual;2012M08;2,5
28 Madrid;Variación anual;2012M07;2,2
28 Madrid;Variación anual;2012M06;2,0
28 Madrid;Variación anual;2012M05;2,0
28 Madrid;Variación anual;2012M04;2,0
28 Madrid;Variación anual;2012M03;1,9
28 Madrid;Variación anual;2012M02;2,0
28 Madrid;Variación anual;2012M01;2,0
28 Madrid;Variación anual;2011M12;2,5
28 Madrid;Variación anual;2011M11;2,9
28 Madrid;Variación anual;2011M10;3,0
28 Madrid;Variación anual;2011M09;3,1
28 Madrid;Variación anual;2011M08;2,9
28 Madrid;Variación anual;2011M07;2,9
28 Madrid;Variación anual;2011M06;3,0
28 Madrid;Variación anual;2011M05;3,3
28 Madrid;Variación anual;2011M04;3,6
28 Madrid;Variación anual;2011M03;3,4
28 Madrid;Variación anual;2011M02;3,4
28 Madrid;Variación anual;2011M01;3,1
28 Madrid;Variación anual;2010M12;3,0
28 Madrid;Variación anual;2010M11;2,3
28 Madrid;Variación anual;2010M10;2,3
28 Madrid;Variación anual;2010M09;2,1
28 Madrid;Variación anual;2010M08;1,8
28 Madrid;Variación anual;2010M07;1,9
28 Madrid;Variación anual;2010M06;1,5
28 Madrid;Variación anual;2010M05;1,9
28 Madrid;Variación anual;2010M04;1,6
28 Madrid;Variación anual;2010M03;1,6
28 Madrid;Variación anual;2010M02;0,9
28 Madrid;Variación anual;2010M01;1,1
28 Madrid;Variación anual;2009M12;0,9
28 Madrid;Variación anual;2009M11;0,5
28 Madrid;Variación anual;2009M10;-0,4
28 Madrid;Variación anual;2009M09;-0,7
28 Madrid;Variación anual;2009M08;-0,5
28 Madrid;Variación anual;2009M07;-1,0
28 Madrid;Variación anual;2009M06;-0,7
28 Madrid;Variación anual;2009M05;-0,7
28 Madrid;Variación anual;2009M04;0,1
28 Madrid;Variación anual;2009M03;0,0
28 Madrid;Variación anual;2009M02;0,8
28 Madrid;Variación anual;2009M01;1,0
