Provincias	Tipo de dato	Periodo	Total
28 Madrid	Variación mensual	2020M10	0,1
28 Madrid	Variación mensual	2020M09	0,2
28 Madrid	Variación mensual	2020M08	0,0
28 Madrid	Variación mensual	2020M07	-0,9
28 Madrid	Variación mensual	2020M06	0,5
28 Madrid	Variación mensual	2020M05	-0,1
28 Madrid	Variación mensual	2020M04	0,2
28 Madrid	Variación mensual	2020M03	-0,2
28 Madrid	Variación mensual	2020M02	-0,1
28 Madrid	Variación mensual	2020M01	-0,9
28 Madrid	Variación mensual	2019M12	0,0
28 Madrid	Variación mensual	2019M11	0,1
28 Madrid	Variación mensual	2019M10	0,7
28 Madrid	Variación mensual	2019M09	0,2
28 Madrid	Variación mensual	2019M08	-0,1
28 Madrid	Variación mensual	2019M07	-0,4
28 Madrid	Variación mensual	2019M06	-0,2
28 Madrid	Variación mensual	2019M05	0,1
28 Madrid	Variación mensual	2019M04	0,8
28 Madrid	Variación mensual	2019M03	0,3
28 Madrid	Variación mensual	2019M02	0,3
28 Madrid	Variación mensual	2019M01	-1,0
28 Madrid	Variación mensual	2018M12	-0,3
28 Madrid	Variación mensual	2018M11	-0,1
28 Madrid	Variación mensual	2018M10	0,8
28 Madrid	Variación mensual	2018M09	0,4
28 Madrid	Variación mensual	2018M08	0,0
28 Madrid	Variación mensual	2018M07	-0,5
28 Madrid	Variación mensual	2018M06	0,2
28 Madrid	Variación mensual	2018M05	0,8
28 Madrid	Variación mensual	2018M04	0,7
28 Madrid	Variación mensual	2018M03	0,2
28 Madrid	Variación mensual	2018M02	0,1
28 Madrid	Variación mensual	2018M01	-0,8
28 Madrid	Variación mensual	2017M12	0,2
28 Madrid	Variación mensual	2017M11	0,3
28 Madrid	Variación mensual	2017M10	0,6
28 Madrid	Variación mensual	2017M09	0,4
28 Madrid	Variación mensual	2017M08	0,2
28 Madrid	Variación mensual	2017M07	-0,6
28 Madrid	Variación mensual	2017M06	0,1
28 Madrid	Variación mensual	2017M05	-0,2
28 Madrid	Variación mensual	2017M04	1,0
28 Madrid	Variación mensual	2017M03	-0,1
28 Madrid	Variación mensual	2017M02	-0,3
28 Madrid	Variación mensual	2017M01	-0,4
28 Madrid	Variación anual	2020M10	-1,1
28 Madrid	Variación anual	2020M09	-0,5
28 Madrid	Variación anual	2020M08	-0,5
28 Madrid	Variación anual	2020M07	-0,6
28 Madrid	Variación anual	2020M06	-0,1
