X,Y,FID,NOMBRE,NOMBRE_VIA,NUM,LOCALIDAD,CODIGO_POSTAL,BARRIO,DISTRITO,TELEFONO,EMAIL
-3.69747424299993,40.4143664150001,1,Casa Museo Lope de Vega,CERVANTES,11,MADRID,28014,CORTES,CENTRO,914 299 216,
-3.70425192899995,40.4189289500001,2,Casita - Museo del Ratón Pérez,ARENAL,8,MADRID,28013,SOL,CENTRO,915 226 968,info@casamuseoratonperez.es
-3.59327866299998,40.4583626090001,3,Castillo de la Alameda,ANTONIO SANCHA,1,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,"913 667 415                                                                         
",castilloalameda@madrid.es
-3.68795543199997,40.417144179,4,Casón del Buen Retiro,ALFONSO XII,28,MADRID,28014,LOS JERONIMOS,RETIRO,913 304 016 / 913 302 821,biblioteca@museodelprado.es
-3.69977978799994,40.405956045,5,Centro Social y Cultural La Casa Encendida,VALENCIA,2,MADRID,28012,EMBAJADORES,CENTRO,"902 430 322                                                                 
",lacasaencendida@montemadrid.es
-3.72571402099993,40.4252647070001,6,Ermita de San Antonio de la Florida (Museo),SAN ANTONIO DE LA FLORIDA,5,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,915 420 722,sanantonio@madrid.es
-3.70032629,40.422295149,7,Espacio Fundación Telefónica,FUENCARRAL,3,MADRID,28004,UNIVERSIDAD,CENTRO,915 808 700 (información general) / 915 226 645 (visitas guiadas y talleres),
-3.77057182799996,40.4554608240001,8,Fundación AMYC (Arte Moderno y Contemporáneo). Casa - Museo Fuente del Rey,FUENTE DEL REY,11,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,913 579 116,info@fundacionamyc.org
-3.70493617599993,40.4201139730001,9,Monasterio de las Descalzas Reales,DESCALZAS,3,MADRID,28013,SOL,CENTRO,"914 548 700                                                             
",
-3.70827391899996,40.4292827830001,10,Museo ABC,AMANIEL,29,MADRID,28015,UNIVERSIDAD,CENTRO,917 588 379,info_museo@abc.es
-3.65149172299994,40.449463592,11,Museo Africano Mundo Negro,ARTURO SORIA,101,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,914 152 412,info@museoafricano.es
-3.68714106399995,40.4251490500001,12,Museo Arqueológico Nacional,SERRANO,13,MADRID,28001,RECOLETOS,SALAMANCA,"915 777 912                                                                     
                                                                                     
",
-3.66915020099998,40.4225969130001,13,Museo Casa de la Moneda,DOCTOR ESQUERDO,36,MADRID,28028,GOYA,SALAMANCA,"915 666 544                                 
",museo@fnmt.es
-3.71460534099998,40.423775343,14,Museo Cerralbo,VENTURA RODRIGUEZ,17,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,915 473 646 / 47,museo.cerralbo@mecd.es
-3.68315954,40.4801725510001,15,Museo EMT,MAURICIO LEGENDRE,40,MADRID,28046,CASTILLA,CHAMARTIN,914 068 810,
-3.69967046399995,40.4420468910001,16,Museo Geominero,RIOS ROSAS,23,MADRID,28003,RIOS ROSAS,CHAMBERI,913 495 759,m.geominero@igme.es
-3.69645745499997,40.4186338230001,17,Museo ICO,ZORRILLA,3,MADRID,28014,CORTES,CENTRO,914 201 242,museoico@ico.es
-3.70792520399993,40.4196362490001,18,Museo Los Caños del Peral. Estación de Metro Ópera,ISABEL II,1,MADRID,28013,PALACIO,CENTRO,902 444 403 / 917 796 399 ,
-3.68618621699994,40.436749338,19,Museo Lázaro Galdiano,SERRANO,122,MADRID,28006,CASTELLANA,SALAMANCA,915 616 084,
-3.69403164599993,40.408540255,20,Museo Nacional Centro de Arte Reina Sofía (MNCARS),SANTA ISABEL,52,MADRID,28012,EMBAJADORES,CENTRO,"917 741 000                                                                                         
",
-3.69474491799997,40.4160134850001,21,Museo Nacional Thyssen-Bornemisza,PRADO,8,MADRID,28014,CORTES,CENTRO,"917 911 370                                                                                                                                                                                                                        
",cav@museothyssen.org
-3.68886291899997,40.407886477,22,Museo Nacional de Antropología,ALFONSO XII,68,MADRID,28014,LOS JERONIMOS,RETIRO,915 306 418 /915 395 995,antropologico@mecd.es
-3.68975468,40.4178902190001,23,Museo Nacional de Artes Decorativas,MONTALBAN,12,MADRID,28014,LOS JERONIMOS,RETIRO,915 326 499 / 915 326 845 / 910 505 755 (Reserva actividades infantiles) / 910 505 768 (Biblioteca) 910 505 763 (Atención a investigadores),mnad@mecd.es
-3.69022071099994,40.440419015,24,Museo Nacional de Ciencias Naturales,JOSE GUTIERREZ ABASCAL,2,MADRID,28006,EL VISO,CHAMARTIN,914 111 328 (centralita),
-3.69149099599997,40.4193933660001,25,Museo Naval,PRADO,5,MADRID,28014,LOS JERONIMOS,RETIRO,915 238 516 (martes y viernes de 9 a 14 horas) ,ohculturanaval@fn.mde.es
-3.7677960299999,40.469587313,26,Museo Postal y Telegráfico,TAPIA DE CASARIEGO,6,MADRID,28023,VALDEMARIN,MONCLOA-ARAVACA,917 401 440 (Museo) / 917 400 664 (Biblioteca),museopostaltelegrafico@correos.com
-3.69231711899994,40.435586657,27,Museo Sorolla,GENERAL MARTINEZ CAMPOS,37,MADRID,28010,ALMAGRO,CHAMBERI,913 101 584,museo.sorolla@mecd.es
-3.66287286399995,40.43157905,28,Museo Taurino de la Plaza de las Ventas,ALCALA,237,MADRID,28028,GUINDALERA,SALAMANCA,"912 761 287                 
",museotaurinolasventas@madrid.org
-3.69891823699993,40.4570784430001,29,Museo Tiflológico,LA CORUÑA,18,MADRID,28020,CUATRO CAMINOS,TETUAN,915 894 219,museo@once.es
-3.79692648099996,40.3751829870001,30,Museo de Aeronáutica y Astronáutica,A-5,10700,MADRID,28024,CUATRO VIENTOS,LATINA,915 091 690 (centralita),museodelaire@ea.mde.es 
-3.72186493499993,40.4379284500001,31,Museo de América,REYES CATOLICOS,6,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,915 439 437 / 915 492 641,museo.america@mecd.es
