;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
Ciudad de Madrid;;;;;;;;;;;
     Instalaciones deportivas;505;559;558;558;541;542;542;544;553;555;575
     Unidades deportivas;1.798;170.613;1.912;1.912;2.053;2.119;2.137;2.148;2.189;2.218;2.261
     Superficie deportiva (m2);3.566.344;3.673.544;3.671.516;3.671.516;3.671.516;3.671.516;3.671.516;3.671.516;3.671.516;3.671.516;3.671.516
;;;;;;;;;;;
;;;;;;;;;;;
FUENTE: Ayuntamiento de Madrid. Dirección General de Deportes;;;;;;;;;;;
Deporte;;;;;;;;;;;
 Infraestructura de los centros municipales;;;;;;;;;;;
;;;;;;;;;;;
3.1.1 C. Instalaciones, unidades y superficie deportivas por Distrito y Tipo de instalación y de gestión;;;;;;;;;;;
;;;;;;;;;;;
