TIPO DE TRANSPORTE	Ciudad	Viajeros y tasas	Periodo	
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M09	10.913
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M08	7.453
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M07	9.979
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M06	7.240
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M05	3.251
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M04	1.270
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M03	9.162
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M02	19.035
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2020M01	18.531
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M12	17.572
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M11	19.025
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M10	20.476
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M09	18.571
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M08	13.952
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M07	19.917
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M06	19.315
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M05	20.844
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M04	18.950
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M03	20.049
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M02	18.138
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2019M01	18.675
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M12	16.895
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M11	19.262
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M10	20.709
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M09	17.341
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M08	13.564
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M07	18.692
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M06	19.449
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M05	19.893
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M04	18.592
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M03	18.016
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M02	16.927
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2018M01	17.870
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M12	15.621
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M11	18.669
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M10	18.531
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M09	17.116
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M08	13.060
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M07	18.239
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M06	19.131
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M05	20.405
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M04	16.758
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M03	19.696
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M02	16.861
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2017M01	16.664
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M12	16.130
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M11	18.196
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M10	18.216
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M09	17.868
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M08	12.421
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M07	16.985
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M06	18.274
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M05	18.653
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M04	17.826
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M03	16.768
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M02	15.967
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2016M01	15.558
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M12	16.288
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M11	17.571
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M10	18.278
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M09	15.951
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M08	11.426
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M07	17.033
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M06	16.956
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M05	17.688
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M04	16.518
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M03	16.953
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M02	15.207
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2015M01	15.358
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M12	15.395
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M11	16.080
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M10	18.621
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M09	15.502
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M08	10.940
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M07	16.530
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M06	16.101
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M05	17.580
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M04	16.203
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M03	17.027
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M02	15.636
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2014M01	15.910
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M12	15.083
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M11	16.270
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M10	18.587
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M09	14.956
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M08	10.942
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M07	16.546
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M06	16.305
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M05	17.405
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M04	17.019
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M03	15.587
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M02	14.905
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2013M01	16.125
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M12	14.275
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M11	14.795
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M10	15.907
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M09	14.518
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M08	11.362
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M07	16.233
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M06	17.451
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M05	17.815
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M04	15.118
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M03	17.145
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M02	15.675
Transporte urbano regular por autobús	08019 Barcelona	Viajeros transportados	2012M01	16.128
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M09	-41,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M08	-46,6
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M07	-49,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M06	-62,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M05	-84,4
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M04	-93,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M03	-54,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M02	4,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2020M01	-0,8
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M12	4
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M11	-1,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M10	-1,1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M09	7,1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M08	2,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M07	6,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M06	-0,7
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M05	4,8
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M04	1,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M03	11,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M02	7,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2019M01	4,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M12	8,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M11	3,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M10	11,8
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M09	1,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M08	3,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M07	2,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M06	1,7
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M05	-2,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M04	10,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M03	-8,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M02	0,4
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2018M01	7,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M12	-3,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M11	2,6
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M10	1,7
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M09	-4,2
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M08	5,1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M07	7,4
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M06	4,7
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M05	9,4
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M04	-6
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M03	17,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M02	5,6
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2017M01	7,1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M12	-1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M11	3,6
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M10	-0,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M09	12
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M08	8,7
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M07	-0,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M06	7,8
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M05	5,5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M04	7,9
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M03	-1,1
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M02	5
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2016M01	1,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2015M12	5,8
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2015M11	9,3
Transporte urbano regular por autobús	08019 Barcelona	Variación anual	2015M10	-1,8
