"Año";"Periodo";"Número de habitantes"
"2000";"Año";"2.882.860"
"2001";"Año";"2.957.058"
"2002";"Año";"3.016.788"
"2003";"Año";"3.092.759"
"2004";"Año";"3.099.834"
"2005";"Año";"3.155.359"
"2006";"Año";"3.128.600"
"2007";"Año";"3.132.463"
"2008";"Año";"3.213.271"
"2009";"Año";"3.255.944"
"2010";"Año";"3.273.049"
"2011";"Año";"3.265.038"
"2012";"Año";"3.233.527"
"2013";"Año";"3.207.247"
"2014";"Año";"3.165.235"
"2015";"Año";"3.141.991"
"2016";"Año";"3.165.541"
"2017";"Año";"3.182.981"
"2018";"Año";"3.223.334"
"2019";"Año";"3.266.126"
;;
;;
"Métrica":"Número de habitantes"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-cambiado-poblacion-municipio/4fa4a7b4-1875-4d3b-b922-d27dbf010a11/madrid/4245"
"Titulo":"Así ha cambiado la población en Madrid﻿ "
"Subtitulo":""
