,Unnamed: 0,tem_media
1,     Enero,6.3
2,     Febrero,7.9
3,     Marzo,11.2
4,     Abril,12.8
5,     Mayo,16.6
6,     Junio,22.1
7,     Julio,25.3
8,     Agosto,24.9
9,     Septiembre,20.9
10,     Octubre,15.0
11,     Noviembre,9.8
12,     Diciembre,6.9
14,     Enero,6.3
15,     Febrero,7.9
16,     Marzo,11.3
17,     Abril,12.8
18,     Mayo,16.7
19,     Junio,22.1
20,     Julio,25.4
21,     Agosto,25.1
22,     Septiembre,20.9
23,     Octubre,15.1
24,     Noviembre,9.9
25,     Diciembre,6.8
27,     Enero,6.3
28,     Febrero,7.9
29,     Marzo,11.2
30,     Abril,12.9
31,     Mayo,16.7
32,     Junio,22.2
33,     Julio,25.6
34,     Agosto,25.1
35,     Septiembre,20.9
36,     Octubre,15.1
37,     Noviembre,9.9
38,     Diciembre,6.9
40,     Enero,6.3
41,     Febrero,7.9
42,     Marzo,11.2
43,     Abril,13.1
44,     Mayo,16.9
45,     Junio,22.2
46,     Julio,25.6
47,     Agosto,25.1
48,     Septiembre,21.0
49,     Octubre,15.1
50,     Noviembre,9.9
51,     Diciembre,6.8
53,     Enero,6.2
54,     Febrero,7.8
55,     Marzo,11.2
56,     Abril,13.0
57,     Mayo,16.9
58,     Junio,22.3
59,     Julio,25.7
60,     Agosto,25.2
61,     Septiembre,21.0
62,     Octubre,15.2
63,     Noviembre,9.9
64,     Diciembre,6.8
66,     Enero,6.2
67,     Febrero,7.9
68,     Marzo,11.1
69,     Abril,13.1
70,     Mayo,17.0
71,     Junio,22.2
72,     Julio,25.7
73,     Agosto,25.4
74,     Septiembre,21.0
75,     Octubre,15.1
76,     Noviembre,9.8
77,     Diciembre,6.8
79,     Enero,6.3
80,     Febrero,7.9
81,     Marzo,11.2
82,     Abril,13.1
83,     Mayo,17.2
84,     Junio,22.3
85,     Julio,25.7
86,     Agosto,25.5
87,     Septiembre,21.1
88,     Octubre,15.3
89,     Noviembre,9.8
90,     Diciembre,6.8
92,     Enero,6.3
93,     Febrero,7.8
94,     Marzo,11.3
95,     Abril,13.2
96,     Mayo,17.4
97,     Junio,22.4
98,     Julio,25.8
99,     Agosto,25.5
100,     Septiembre,20.9
101,     Octubre,15.2
102,     Noviembre,10.0
103,     Diciembre,7.0
105,     Enero,6.5
106,     Febrero,7.9
107,     Marzo,11.3
108,     Abril,13.3
109,     Mayo,17.3
110,     Junio,22.4
111,     Julio,25.9
112,     Agosto,25.6
113,     Septiembre,21.0
114,     Octubre,15.3
115,     Noviembre,10.0
116,     Diciembre,7.0
118,     Enero,6.5
119,     Febrero,8.0
120,     Marzo,11.3
121,     Abril,13.4
122,     Mayo,17.4
123,     Junio,22.6
124,     Julio,26.0
125,     Agosto,25.6
126,     Septiembre,20.9
127,     Octubre,15.5
128,     Noviembre,10.0
129,     Diciembre,7.0
131,     Enero,6.5
132,     Febrero,7.9
133,     Marzo,11.2
134,     Abril,13.4
135,     Mayo,17.4
136,     Junio,22.7
137,     Julio,26.1
138,     Agosto,25.7
139,     Septiembre,21.0
140,     Octubre,15.5
141,     Noviembre,10.0
142,     Diciembre,7.0
