Mes;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
     Enero;6,3;6,3;6,3;6,3;6,2;6,2;6,3;6,3;6,5;6,5;6,5
     Febrero;7,9;7,9;7,9;7,9;7,8;7,9;7,9;7,8;7,9;8;7,9
     Marzo;11,2;11,3;11,2;11,2;11,2;11,1;11,2;11,3;11,3;11,3;11,2
     Abril;12,8;12,8;12,9;13,1;13;13,1;13,1;13,2;13,3;13,4;13,4
     Mayo;16,6;16,7;16,7;16,9;16,9;17;17,2;17,4;17,3;17,4;17,4
     Junio;22,1;22,1;22,2;22,2;22,3;22,2;22,3;22,4;22,4;22,6;22,7
     Julio;25,3;25,4;25,6;25,6;25,7;25,7;25,7;25,8;25,9;26;26,1
     Agosto;24,9;25,1;25,1;25,1;25,2;25,4;25,5;25,5;25,6;25,6;25,7
     Septiembre;20,9;20,9;20,9;21;21;21;21,1;20,9;21;20,9;21
     Octubre;15;15,1;15,1;15,1;15,2;15,1;15,3;15,2;15,3;15,5;15,5
     Noviembre;9,8;9,9;9,9;9,9;9,9;9,8;9,8;10;10;10;10
     Diciembre;6,9;6,8;6,9;6,8;6,8;6,8;6,8;7;7;7;7
