,Provincias,Tipo de dato,Total,Year,Month
0,28 Madrid,Variaci髇 anual,0.9,2019,12
1,28 Madrid,Variaci髇 anual,0.6,2019,11
2,28 Madrid,Variaci髇 anual,0.3,2019,10
3,28 Madrid,Variaci髇 anual,0.4,2019,09
4,28 Madrid,Variaci髇 anual,0.7,2019,08
5,28 Madrid,Variaci髇 anual,0.8,2019,07
6,28 Madrid,Variaci髇 anual,0.7,2019,06
7,28 Madrid,Variaci髇 anual,1.1,2019,05
8,28 Madrid,Variaci髇 anual,1.8,2019,04
9,28 Madrid,Variaci髇 anual,1.6,2019,03
10,28 Madrid,Variaci髇 anual,1.5,2019,02
11,28 Madrid,Variaci髇 anual,1.3,2019,01
12,28 Madrid,Variaci髇 anual,1.4,2018,12
13,28 Madrid,Variaci髇 anual,1.9,2018,11
14,28 Madrid,Variaci髇 anual,2.3,2018,10
15,28 Madrid,Variaci髇 anual,2.1,2018,09
16,28 Madrid,Variaci髇 anual,2.1,2018,08
17,28 Madrid,Variaci髇 anual,2.2,2018,07
18,28 Madrid,Variaci髇 anual,2.1,2018,06
19,28 Madrid,Variaci髇 anual,2.0,2018,05
20,28 Madrid,Variaci髇 anual,1.0,2018,04
21,28 Madrid,Variaci髇 anual,1.4,2018,03
22,28 Madrid,Variaci髇 anual,1.1,2018,02
23,28 Madrid,Variaci髇 anual,0.7,2018,01
24,28 Madrid,Variaci髇 anual,1.2,2017,12
25,28 Madrid,Variaci髇 anual,1.5,2017,11
26,28 Madrid,Variaci髇 anual,1.5,2017,10
27,28 Madrid,Variaci髇 anual,1.8,2017,09
28,28 Madrid,Variaci髇 anual,1.4,2017,08
29,28 Madrid,Variaci髇 anual,1.3,2017,07
30,28 Madrid,Variaci髇 anual,1.4,2017,06
31,28 Madrid,Variaci髇 anual,1.8,2017,05
32,28 Madrid,Variaci髇 anual,2.5,2017,04
33,28 Madrid,Variaci髇 anual,1.9,2017,03
34,28 Madrid,Variaci髇 anual,2.6,2017,02
35,28 Madrid,Variaci髇 anual,2.7,2017,01
36,28 Madrid,Variaci髇 anual,1.4,2016,12
37,28 Madrid,Variaci髇 anual,0.5,2016,11
38,28 Madrid,Variaci髇 anual,0.5,2016,10
39,28 Madrid,Variaci髇 anual,0.0,2016,09
40,28 Madrid,Variaci髇 anual,-0.2,2016,08
41,28 Madrid,Variaci髇 anual,-0.6,2016,07
42,28 Madrid,Variaci髇 anual,-0.8,2016,06
43,28 Madrid,Variaci髇 anual,-1.0,2016,05
44,28 Madrid,Variaci髇 anual,-1.1,2016,04
45,28 Madrid,Variaci髇 anual,-0.8,2016,03
46,28 Madrid,Variaci髇 anual,-0.8,2016,02
47,28 Madrid,Variaci髇 anual,-0.2,2016,01
48,28 Madrid,Variaci髇 anual,0.0,2015,12
49,28 Madrid,Variaci髇 anual,-0.2,2015,11
50,28 Madrid,Variaci髇 anual,-0.8,2015,10
51,28 Madrid,Variaci髇 anual,-0.9,2015,09
52,28 Madrid,Variaci髇 anual,-0.5,2015,08
53,28 Madrid,Variaci髇 anual,0.0,2015,07
54,28 Madrid,Variaci髇 anual,0.1,2015,06
55,28 Madrid,Variaci髇 anual,-0.1,2015,05
56,28 Madrid,Variaci髇 anual,-0.5,2015,04
57,28 Madrid,Variaci髇 anual,-0.5,2015,03
58,28 Madrid,Variaci髇 anual,-0.9,2015,02
59,28 Madrid,Variaci髇 anual,-1.3,2015,01
60,28 Madrid,Variaci髇 anual,-1.1,2014,12
61,28 Madrid,Variaci髇 anual,-0.4,2014,11
62,28 Madrid,Variaci髇 anual,0.0,2014,10
63,28 Madrid,Variaci髇 anual,-0.1,2014,09
64,28 Madrid,Variaci髇 anual,-0.3,2014,08
65,28 Madrid,Variaci髇 anual,-0.3,2014,07
66,28 Madrid,Variaci髇 anual,0.0,2014,06
67,28 Madrid,Variaci髇 anual,0.2,2014,05
68,28 Madrid,Variaci髇 anual,0.2,2014,04
69,28 Madrid,Variaci髇 anual,-0.3,2014,03
70,28 Madrid,Variaci髇 anual,-0.1,2014,02
71,28 Madrid,Variaci髇 anual,0.2,2014,01
72,28 Madrid,Variaci髇 anual,0.2,2013,12
73,28 Madrid,Variaci髇 anual,0.2,2013,11
74,28 Madrid,Variaci髇 anual,-0.2,2013,10
75,28 Madrid,Variaci髇 anual,0.3,2013,09
76,28 Madrid,Variaci髇 anual,1.4,2013,08
77,28 Madrid,Variaci髇 anual,1.7,2013,07
78,28 Madrid,Variaci髇 anual,1.9,2013,06
79,28 Madrid,Variaci髇 anual,1.5,2013,05
80,28 Madrid,Variaci髇 anual,1.3,2013,04
81,28 Madrid,Variaci髇 anual,2.4,2013,03
82,28 Madrid,Variaci髇 anual,2.5,2013,02
83,28 Madrid,Variaci髇 anual,2.4,2013,01
