;Teatro Español;Las Naves del Español
2008;;
     Total Actividades;56;7
     Obras de teatro;24;6
     Danza;5;0
     Actos musicales;9;1
     Exposiciones;3;0
     Conferencias;0;0
     Otras actividades;15;0
     Visitas guiadas;-;-
2009;;
     Total Actividades;78;19
     Obras de teatro;20;7
     Danza;4;2
     Actos musicales;19;0
     Exposiciones;1;1
     Conferencias;13;6
     Otras actividades;21;3
     Visitas guiadas;-;-
2010;;
     Total Actividades;80;19
     Obras de teatro;32;16
     Danza;1;0
     Actos musicales;12;0
     Exposiciones;1;1
     Conferencias;0;0
     Otras actividades;34;2
     Visitas guiadas;-;-
2011;;
     Total Actividades;83;56
     Obras de teatro;23;29
     Danza;3;3
     Actos musicales;9;0
     Exposiciones;0;1
     Conferencias;3;0
     Otras actividades;45;23
     Visitas guiadas;-;-
2012;;
     Total Actividades;50;25
     Obras de teatro;18;12
     Danza;1;5
     Actos musicales;2;0
     Exposiciones;1;0
     Conferencias;5;0
     Otras actividades;23;8
     Visitas guiadas;-;-
2013;;
     Total Actividades;133;42
     Obras de teatro;19;14
     Danza;0;3
     Actos musicales;4;2
     Exposiciones;2;0
     Conferencias;2;1
     Otras actividades;19;22
     Visitas guiadas;87;-
2014;;
     Total Actividades;113;41
     Obras de teatro;19;16
     Danza;1;3
     Actos musicales;5;1
     Exposiciones;1;-
     Conferencias;6;-
     Otras actividades;29;21
     Visitas guiadas;52;-
2015;;
     Total Actividades;97;42
     Obras de teatro;17;15
     Danza;1;2
     Actos musicales;0;2
     Exposiciones;2;0
     Conferencias;6;-
     Otras actividades;20;23
     Visitas guiadas;51;-
2016;;
     Total Actividades;95;45
     Obras de teatro;16;15
     Danza;0;0
     Actos musicales;0;0
     Exposiciones;3;0
     Conferencias;3;1
     Otras actividades;26;29
     Visitas guiadas;47;0
2017;;
     Total Actividades;93;67
     Obras de teatro;53;28
     Danza;1;3
     Actos musicales;1;7
     Exposiciones;2;23
     Conferencias;1;5
     Otras actividades;30;1
     Visitas guiadas;5;0
2018;;
     Total Actividades;124;91
     Obras de teatro;39;19
     Danza;0;3
     Actos musicales;0;25
     Exposiciones;0;13
     Conferencias;8;5
     Otras actividades;47;17
     Visitas guiadas;30;9
2019;;
     Total Actividades;70;61
     Obras de teatro;31;32
     Danza;0;1
     Actos musicales;4;4
     Exposiciones;0;18
     Conferencias;0;1
     Otras actividades;7;5
     Visitas guiadas;28;0
;;
;;
FUENTE: Área de Gobierno de Las Artes, Cultura y Deportes. Dirección General de Programas y Actividades Culturales.;;
"OBSERVACIONES: Las Naves del Español son el antiguo Matadero de Legazpi, e inició su actividad cultural el 14 de junio de 2007 con la obra ""Ascenso y caída de la ciudad de Mahagonny"". A partir del 26 de febrero de 2017, fecha en la que finalizó el espectáculo ""el Cartógrafo"", las Naves del Español dejan de ser gestionadas por el Teatro Español y pasan a tener un nuevo Director artístico y gestión propia bajo el nuevo nombre Naves Matadero-Centro Internacional de Artes Vivas";;
Ocio;;
 Teatro;;
;;
1.2. B. Actividades del Teatro Español y de Las Naves del Español;;
;;
