;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Retiro;;;;;;;;;;;
     Enero;11;11;10;5;9;1,5;5;13;-;6;5
     Febrero;5;17;8;2;9;1,2;5;10;10;4;1
     Marzo;6;10;14;1;20;6;7;12;6;19;2
     Abril;12;9;8;17;9;10;5;14;6;13;13
     Mayo;4;6;11;7;9;7;2;9;5;15;1
     Junio;7;12;5;2;3;5;7;2;6;10;1
     Julio;2;3;0;3;4;2;2;3;4;0;3
     Agosto;2;2;7;2;3;0;3;0;3;0;4
     Septiembre;7;5;2;7;6;11;6;3;0;5;5
     Octubre;4;8;4;10;7;7;12;13;2;15;10
     Noviembre;4;8;13;11;0,4;18;5;14;5;17;17
     Diciembre;15;15;4;8;0,8;3;4;5;4;5;12
Barajas;;;;;;;;;;;
     Enero;10;12;9;2;8;1,5;3;11;4;8;4
     Febrero;6;16;8;1;9;1,2;6;9;10;4;1
     Marzo;6;12;13;2;20;5;7;8;4;20;2
     Abril;10;11;8;20;11;7;9;15;7;14;12
     Mayo;5;6;15;5;11;8;2;11;8;15;3
     Junio;7;11;3;3;0;6;7;4;5;11;1
     Julio;2;3;0;3;2;1;2;3;3;0;5
     Agosto;1;2;6;0;6;0;4;0;2;1;4
     Septiembre;7;4;2;7;5;8;6;1;2;5;4
     Octubre;4;9;5;11;9;7;11;-;2;15;9
     Noviembre;5;9;18;10;0,3;17;6;12;5;19;16
     Diciembre;14;13;4;8;0,8;7;5;5;4;5;12
Cuatro Vientos;;;;;;;;;;;
     Enero;13;16;11;4;10;1,7;3;14;6;5;5
     Febrero;5;15;8;3;9;1,3;8;10;10;4;1
     Marzo;7;13;13;1;20;8;7;14;7;20;2
     Abril;12;10;6;18;8;9;9;14;6;16;12
     Mayo;5;9;13;6;11;7;1;13;7;13;1
     Junio;8;12;3;3;3;7;4;4;6;12;1
     Julio;1;3;1;2;3;2;2;6;4;0;6
     Agosto;2;2;8;0;4;0;2;1;4;1;3
     Septiembre;6;5;3;7;7;11;7;1;0;7;6
     Octubre;5;9;4;12;9;7;12;13;4;15;12
     Noviembre;10;10;15;10;0,4;20;6;14;4;19;19
     Diciembre;16;16;6;9;0,9;6;5;6;8;5;13
;;;;;;;;;;;
;;;;;;;;;;;
FUENTE: AEMET: Agencia Estatal de Meteorología;;;;;;;;;;;
OBSERVACIONES: Ip: Inapreciable, inferior a 0,1 mm;;;;;;;;;;;
N. Territorio, Clima y Medio Ambiente;;;;;;;;;;;
 Climatología días de lluvia;;;;;;;;;;;
