;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Ranking 2018;"Revenue 2018 
(billion euros)"
A. Structure by type of tax;as % of GDP;;;;;;;;;;;;;;
Indirect taxes;12,3;11,6;9,6;8,2;10,0;9,8;10,4;11,2;11,6;12,0;11,8;11,8;11,9;24;143,6
VAT;6,2;5,8;4,7;3,4;5,2;5,1;5,3;5,9;6,2;6,4;6,4;6,5;6,6;24;79,3
Taxes and duties on imports excluding VAT;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,2;0,2;17;2,0
Taxes on products, except VAT and import duties;4,9;4,5;3,6;3,4;3,4;3,2;3,1;3,3;3,3;3,4;3,3;3,4;3,4;18;40,6
Other taxes on production;1,1;1,1;1,1;1,2;1,3;1,4;1,8;1,9;1,9;2,0;1,9;1,8;1,8;11;21,7
Direct taxes;11,9;13,0;10,7;9,5;9,5;9,6;10,4;10,5;10,7;10,5;10,5;10,6;11,0;13;132,8
Personal income taxes;7,0;7,6;7,1;6,7;7,0;7,2;7,5;7,6;7,7;7,4;7,3;7,5;7,8;12;93,2
Corporate income taxes;4,0;4,6;2,8;2,2;1,8;1,8;2,1;2,0;2,0;2,2;2,2;2,2;2,5;17;29,7
Other;0,9;0,9;0,9;0,6;0,6;0,6;0,7;0,9;0,9;1,0;0,9;0,9;0,8;11;9,9
Social contributions;11,8;11,8;11,9;12,0;11,9;11,8;11,7;11,5;11,6;11,4;11,4;11,5;11,7;15;141,2
Employers';8,6;8,7;8,6;8,5;8,4;8,3;8,1;8,1;8,2;8,2;8,2;8,4;8,6;7;103,3
Households';3,2;3,1;3,2;3,6;3,5;3,5;3,6;3,4;3,4;3,2;3,2;3,1;3,2;20;37,9
Less: capital transfers (1);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
Total;36,0;36,5;32,2;29,7;31,3;31,2;32,4;33,2;33,9;33,9;33,7;34,0;34,7;18;417,7
B. Structure by level of government;as % of total taxation;;;;;;;;;;;;;;
Central government;44,9;45,9;40,8;35,5;40,6;39,1;37,3;42,0;42,6;42,9;41,9;41,3;41,8;25;174,8
State government (2);14,6;14,0;14,2;15,8;13,1;14,5;17,9;14,3;13,8;14,1;14,8;15,4;15,3;;63,8
Local government;8,2;8,1;8,5;8,9;9,0;9,1;9,3;9,7;9,8;9,6;9,6;9,5;9,3;10;38,7
Social security funds;31,8;31,6;36,0;39,3;36,8;36,9;35,1;33,7;33,4;32,7;33,0;33,1;33,0;10;137,8
EU institutions;0,4;0,4;0,4;0,4;0,5;0,5;0,4;0,4;0,4;0,7;0,7;0,7;0,6;7;2,7
C. Structure by economic function;as % of GDP;;;;;;;;;;;;;;
Consumption;9,3;8,9;7,6;6,3;8,1;8,0;8,2;9,0;9,3;9,6;9,5;9,5;9,6;26;115,3
Labour;16,0;16,5;16,4;16,4;16,6;16,8;16,8;16,6;16,9;16,3;16,2;16,4;16,8;15;202,1
of which on income from employment;15,2;15,6;15,5;15,1;15,3;15,4;15,2;15,0;15,3;14,9;14,9;15,1;15,5;15;186,3
Paid by employers;8,6;8,7;8,6;8,5;8,4;8,3;8,1;8,1;8,2;8,2;8,2;8,4;8,6;8;103,3
Paid by employees;6,5;7,0;6,8;6,6;6,9;7,1;7,1;6,9;7,1;6,7;6,7;6,7;6,9;24;83,0
Paid by non-employed;0,8;0,8;0,9;1,3;1,4;1,4;1,6;1,7;1,6;1,4;1,3;1,3;1,3;13;15,8
Capital;10,7;11,1;8,1;7,0;6,6;6,5;7,4;7,5;7,7;8,0;7,9;8,0;8,3;7;100,3
Income of corporations;4,0;4,6;2,8;2,2;1,8;1,8;2,1;2,0;2,0;2,2;2,2;2,2;2,5;17;29,7
Income of households;1,1;1,1;0,9;0,8;0,7;0,8;0,8;0,8;0,9;0,9;0,8;0,9;1,0;8;12,1
Income of self-employed;1,7;1,8;1,6;1,5;1,5;1,5;1,6;1,6;1,7;1,6;1,6;1,7;1,7;10;20,2
Stock of capital;3,9;3,6;2,8;2,5;2,5;2,4;2,9;3,0;3,2;3,3;3,2;3,2;3,2;6;38,2
D. Environmental taxes;as % of GDP;;;;;;;;;;;;;;
Environmental taxes;1,8;1,8;1,6;1,6;1,6;1,6;1,6;1,9;1,9;1,9;1,9;1,8;1,8;25;22,1
Energy;1,4;1,4;1,3;1,3;1,3;1,3;1,3;1,6;1,6;1,6;1,5;1,5;1,5;24;18,3
of which transport fuel taxes;1,2;1,2;1,1;1,1;1,1;1,0;1,0;1,2;1,1;1,1;1,1;1,1;1,1;24;
Transport;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;22;2,9
Pollution and resources;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,08;0,07;0,08;0,08;0,08;0,08;12;1,0
E. Property taxes;as % of GDP;;;;;;;;;;;;;;
Taxes on property;3,2;3,0;2,3;2,0;2,1;2,0;2,4;2,6;2,7;2,8;2,7;2,6;2,6;5;31,7
Recurrent taxes on immovable property;0,7;0,7;0,8;0,9;1,0;1,0;1,2;1,2;1,3;1,2;1,2;1,2;1,2;7;14,0
Other taxes on property;2,5;2,3;1,5;1,2;1,1;0,9;1,2;1,3;1,4;1,5;1,5;1,4;1,5;3;17,7
F. Implicit tax rates;%;;;;;;;;;;;;;;
Consumption;13,8;13,2;11,2;9,3;11,7;11,3;11,5;12,8;13,2;13,7;13,7;13,7;13,8;28;
Labour;32,3;33,1;31,6;30,5;31,1;31,9;32,6;32,7;33,3;32,6;33,0;33,6;34,2;14;
G. Payable tax credits;as % of GDP;;;;;;;;;;;;;;
Total payable tax credits;0,1;0,1;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,3;;3,1
Tax expenditure component;0,0;0,0;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1;;1,0
Transfer component;0,0;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,2;;2,2
Total tax revenue adjusted for payable tax credits;36,0;36,3;32,0;29,6;31,2;31,2;32,3;33,1;33,9;33,8;33,5;33,7;34,5;;414,5
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(1) Representing taxes assessed but unlikely to be collected.;;;;;;;;;;;;;;;
(2) This level refers to the Länder in Austria and Germany, the gewesten and gemeenschappen / régions et communautés in Belgium, and the comunidades autónomas in Spain.;;;;;;;;;;;;;;;
Source: European Commission, DG Taxation and Customs Union, based on Eurostat data;;;;;;;;;;;;;;;
Note: EU27 represents EU Member States without UK;;;;;;;;;;;;;;;
Spain;;;;;;;;;;;;;;;
Table ES.1: Tax Revenue;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
