,mean_temp,Year,Month
216,26.3,2000,01
217,26.6,2000,02
218,27.2,2000,03
219,27.5,2000,04
220,28.6,2000,05
221,27.6,2000,06
222,28.1,2000,07
223,27.5,2000,08
224,28.0,2000,09
225,27.8,2000,10
226,27.3,2000,11
227,27.0,2000,12
228,26.5,2001,01
229,27.0,2001,02
230,27.5,2001,03
231,27.7,2001,04
232,28.5,2001,05
233,28.2,2001,06
234,28.4,2001,07
235,28.0,2001,08
236,28.0,2001,09
237,27.6,2001,10
238,27.2,2001,11
239,26.7,2001,12
240,27.0,2002,01
241,27.3,2002,02
242,28.2,2002,03
243,28.6,2002,04
244,28.9,2002,05
245,28.7,2002,06
246,28.4,2002,07
247,28.5,2002,08
248,28.1,2002,09
249,28.7,2002,10
250,27.4,2002,11
251,27.2,2002,12
252,26.7,2003,01
253,27.1,2003,02
254,28.1,2003,03
255,27.9,2003,04
256,29.2,2003,05
257,28.9,2003,06
258,28.1,2003,07
259,28.2,2003,08
260,27.6,2003,09
261,27.6,2003,10
262,27.1,2003,11
263,26.5,2003,12
264,26.9,2004,01
265,27.6,2004,02
266,27.7,2004,03
267,28.9,2004,04
268,28.9,2004,05
269,29.0,2004,06
270,27.3,2004,07
271,28.3,2004,08
272,27.8,2004,09
273,27.8,2004,10
274,27.3,2004,11
275,26.8,2004,12
276,26.6,2005,01
277,28.5,2005,02
278,28.5,2005,03
279,28.7,2005,04
280,28.5,2005,05
281,28.8,2005,06
282,28.0,2005,07
283,28.2,2005,08
284,28.2,2005,09
285,27.6,2005,10
286,27.3,2005,11
287,27.3,2005,12
288,26.5,2006,01
289,27.5,2006,02
290,28.3,2006,03
291,27.6,2006,04
292,28.1,2006,05
293,27.8,2006,06
294,28.4,2006,07
295,28.3,2006,08
296,28.0,2006,09
297,28.3,2006,10
298,27.3,2006,11
299,26.6,2006,12
300,26.5,2007,01
301,27.3,2007,02
302,27.5,2007,03
303,28.1,2007,04
304,28.3,2007,05
305,28.4,2007,06
306,27.7,2007,07
307,27.7,2007,08
308,27.8,2007,09
309,27.8,2007,10
310,26.9,2007,11
311,26.4,2007,12
312,26.8,2008,01
313,26.7,2008,02
314,26.5,2008,03
315,28.1,2008,04
316,28.8,2008,05
317,28.2,2008,06
318,27.8,2008,07
319,27.4,2008,08
320,27.7,2008,09
321,27.6,2008,10
322,27.3,2008,11
323,26.9,2008,12
324,26.8,2009,01
325,27.3,2009,02
326,27.2,2009,03
327,28.5,2009,04
328,28.7,2009,05
329,29.1,2009,06
330,28.3,2009,07
331,28.3,2009,08
332,28.3,2009,09
333,28.2,2009,10
334,27.2,2009,11
335,27.1,2009,12
336,27.5,2010,01
337,28.9,2010,02
338,28.6,2010,03
339,28.6,2010,04
340,29.2,2010,05
341,28.3,2010,06
342,27.7,2010,07
343,27.9,2010,08
344,28.0,2010,09
345,28.3,2010,10
346,27.4,2010,11
347,26.8,2010,12
348,26.3,2011,01
349,27.3,2011,02
350,27.1,2011,03
351,27.9,2011,04
352,28.5,2011,05
353,28.4,2011,06
354,28.7,2011,07
355,27.9,2011,08
356,27.8,2011,09
357,27.3,2011,10
358,27.1,2011,11
359,26.6,2011,12
360,26.7,2012,01
361,27.2,2012,02
362,27.0,2012,03
363,27.6,2012,04
364,28.2,2012,05
365,28.7,2012,06
366,27.7,2012,07
367,27.9,2012,08
368,27.9,2012,09
369,27.7,2012,10
370,27.1,2012,11
371,26.7,2012,12
372,27.1,2013,01
373,26.5,2013,02
374,28.3,2013,03
375,28.2,2013,04
376,28.2,2013,05
377,29.0,2013,06
378,27.8,2013,07
379,27.9,2013,08
380,27.5,2013,09
381,27.7,2013,10
382,27.1,2013,11
383,26.5,2013,12
384,26.2,2014,01
385,27.2,2014,02
386,27.9,2014,03
387,28.2,2014,04
388,28.6,2014,05
389,29.0,2014,06
390,28.7,2014,07
391,27.7,2014,08
392,28.5,2014,09
393,28.4,2014,10
394,27.5,2014,11
395,27.0,2014,12
396,26.9,2015,01
397,27.0,2015,02
398,28.2,2015,03
399,28.6,2015,04
400,28.7,2015,05
401,29.0,2015,06
402,29.1,2015,07
403,28.4,2015,08
404,28.7,2015,09
405,28.7,2015,10
406,28.0,2015,11
407,27.7,2015,12
408,28.3,2016,01
409,27.8,2016,02
410,29.0,2016,03
411,29.4,2016,04
412,29.3,2016,05
413,28.5,2016,06
414,28.4,2016,07
415,28.9,2016,08
416,28.3,2016,09
417,28.3,2016,10
418,27.4,2016,11
419,27.4,2016,12
420,26.9,2017,01
421,26.9,2017,02
422,27.4,2017,03
423,27.8,2017,04
424,28.5,2017,05
425,28.5,2017,06
426,28.3,2017,07
427,28.1,2017,08
428,28.0,2017,09
429,27.9,2017,10
430,27.1,2017,11
431,27.0,2017,12
432,26.1,2018,01
433,27.2,2018,02
434,28.0,2018,03
435,28.5,2018,04
436,28.7,2018,05
437,28.4,2018,06
438,28.5,2018,07
439,28.5,2018,08
440,28.0,2018,09
441,27.9,2018,10
442,27.3,2018,11
443,27.6,2018,12
444,28.0,2019,01
445,28.2,2019,02
446,28.7,2019,03
447,28.6,2019,04
448,29.3,2019,05
449,28.4,2019,06
450,29.0,2019,07
451,29.1,2019,08
452,29.0,2019,09
453,28.1,2019,10
454,28.0,2019,11
455,26.7,2019,12
456,27.7,2020,01
457,27.9,2020,02
458,28.6,2020,03
459,28.9,2020,04
460,28.9,2020,05
461,28.1,2020,06
462,27.9,2020,07
463,28.3,2020,08
464,27.5,2020,09
465,28.3,2020,10
