LFDNR;TITEL;VERFASSERIN;ART;JAHR;MONAT;URL_BERICHT
1;Monatsbericht Jänner  2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200801.pdf
2;Monatsbericht Februar 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;2;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200802.pdf
3;Monatsbericht März 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;3;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200803.pdf
4;Monatsbericht April 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;4;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200804.pdf
5;Monatsbericht Mai 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;5;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200805.pdf
6;Monatsbericht Juni 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;6;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200806.pdf
7;Monatsbericht Juli 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;7;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200807.pdf
8;Monatsbericht August 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;8;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200808.pdf
9;Monatsbericht September 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;9;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200809.pdf
10;Monatsbericht Oktober 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;10;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200810.pdf
11;Monatsbericht November 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;11;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200811.pdf
12;Monatsbericht Dezember 2008;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2008;12;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200812.pdf
13;Jahresbericht 2008;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2008;;https://www.wien.gv.at/umwelt/luft/pdf/igljb2008.pdf
14;Monatsbericht Jänner 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200901.pdf
15;Monatsbericht Februar 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;2;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200902.pdf
16;Monatsbericht März 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;3;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200903.pdf
17;Monatsbericht April 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;4;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200904.pdf
18;Monatsbericht Mai 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;5;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200905.pdf
19;Monatsbericht Juni 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;6;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200906.pdf
20;Monatsbericht Juli 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;7;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200907.pdf
21;Monatsbericht August 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;8;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200908.pdf
22;Monatsbericht September 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;9;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200909.pdf
23;Monatsbericht Oktober 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;10;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200910.pdf
24;Monatsbericht November 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;11;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200911.pdf
25;Monatsbericht Dezember 2009;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2009;12;https://www.wien.gv.at/umwelt/luft/pdf/iglmb200912.pdf
26;Jahresbericht 2009;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2009;;https://www.wien.gv.at/umwelt/luft/pdf/igljb2009.pdf
27;Monatsbericht Jänner 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201001.pdf
28;Monatsbericht Februar 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;2;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201002.pdf
29;Monatsbericht März 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;3;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201003.pdf
30;Monatsbericht April 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;4;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201004.pdf
31;Monatsbericht Mai 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;5;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201005.pdf
32;Monatsbericht Juni 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;6;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201006.pdf
33;Monatsbericht Juli 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;7;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201007.pdf
