NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;AGRICULTURE;BUILDINGS;ENERGY_SUPPLY;FLUORINATED_GASES;INDUSTRY;TRANSPORT;WASTE_MANAGEMENT
AT1;AT13;AT130;90001;0;1990;1.000 t;2015;42,55;2.350,21;2.342,64;25,74;721,54;2.221,71;604,36
AT1;AT13;AT130;90001;0;1991;1.000 t;2015;43,85;2.473,36;2.754,31;35,75;737,86;2.457,29;555,95
AT1;AT13;AT130;90001;0;1992;1.000 t;2015;38,39;2.518,95;2.152,18;36,71;695,95;2.444,45;628,31
AT1;AT13;AT130;90001;0;1993;1.000 t;2015;30,86;2.777,56;1.696,33;82,17;682,39;2.455,18;534,69
AT1;AT13;AT130;90001;0;1994;1.000 t;2015;31,34;2.549,66;2.212,53;92,85;704,63;2.454,52;492,46
AT1;AT13;AT130;90001;0;1995;1.000 t;2015;32,04;2.497,05;2.013,22;118,99;728,05;2.480,22;429,79
AT1;AT13;AT130;90001;0;1996;1.000 t;2015;31,17;2.086,02;2.539,05;133,33;772,16;2.700,41;486,39
AT1;AT13;AT130;90001;0;1997;1.000 t;2015;32,07;2.186,52;2.434,08;151,23;955,16;2.547,57;487,58
AT1;AT13;AT130;90001;0;1998;1.000 t;2015;31,46;1.995,01;2.916,29;174,71;710,99;2.842,49;399,03
AT1;AT13;AT130;90001;0;1999;1.000 t;2015;32,05;2.209,39;2.827,77;186,6;489,65;2.741,01;364,34
AT1;AT13;AT130;90001;0;2000;1.000 t;2015;29,25;1.892,14;2.241,56;175,32;534,08;2.864,62;387,89
AT1;AT13;AT130;90001;0;2001;1.000 t;2015;28,75;2.109,73;2.398,37;212,03;504,76;3.066,76;382,86
AT1;AT13;AT130;90001;0;2002;1.000 t;2015;27,11;2.086,42;2.402,21;235,51;474,33;3.396,89;505,77
AT1;AT13;AT130;90001;0;2003;1.000 t;2015;30,69;2.160,93;2.843,47;236;507,08;3.660,84;568,1
AT1;AT13;AT130;90001;0;2004;1.000 t;2015;29,18;2.003,25;2.722,04;239,22;541,07;3.741,72;600,38
AT1;AT13;AT130;90001;0;2005;1.000 t;2015;29,82;1.907,73;3.047,30;279,41;560,36;3.788,26;567,44
AT1;AT13;AT130;90001;0;2006;1.000 t;2015;28,26;1.829,96;2.476,52;264,01;575,57;3.561,76;582,01
AT1;AT13;AT130;90001;0;2007;1.000 t;2015;25,72;1.525,83;2.156,32;274,23;591,51;3.557,61;584,21
AT1;AT13;AT130;90001;0;2008;1.000 t;2015;26,67;1.547,83;2.473,72;287,02;592,29;3.323,20;600,05
AT1;AT13;AT130;90001;0;2009;1.000 t;2015;25,04;1.645,53;2.906,58;296,55;511,45;3.195,28;620,72
AT1;AT13;AT130;90001;0;2010;1.000 t;2015;23,93;1.783,86;3.013,58;324,71;516,67;3.268,45;616,29
AT1;AT13;AT130;90001;0;2011;1.000 t;2015;23,19;1.579,39;2.651,40;330,36;500,47;3.142,24;666,74
AT1;AT13;AT130;90001;0;2012;1.000 t;2015;23,03;1.542,08;2.103,73;339,84;520,68;3.097,80;614,23
AT1;AT13;AT130;90001;0;2013;1.000 t;2015;23,76;1.495,70;1.850,40;335,11;583,66;3.208,94;622,09
AT1;AT13;AT130;90001;0;2014;1.000 t;2015;22,57;1.356,84;1.630,44;341,39;459,33;3.107,13;623,52
AT1;AT13;AT130;90001;0;2015;1.000 t;2015;23,76;1.439,23;1.940,22;345,76;462,01;3.137,31;655,36
