Arbeitsmarktindikatoren Wien | Main labour market indicators Vienna;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;UNEMPLOYMENT_RATE_NATIONAL_TOTAL;UNEMPLOYMENT_RATE_NATIONAL_MEN;UNEMPLOYMENT_RATE_NATIONAL_WOMEN;UNEMPLOYMENT_RATE_TOTAL;UNEMPLOYMENT_RATE_MEN;UNEMPLOYMENT_RATE_WOMEN;PART_TIME_TOTAL;PART_TIME_MEN;PART_TIME_WOMEN;JOB_DEMAND_INDEX;REF_YEAR
AT1;AT13;AT130;.;.;1,5;1,4;1,6;.;.;.;.;.;.;1,4;1980
AT1;AT13;AT130;.;.;2,1;2,1;2;.;.;.;.;.;.;3,3;1981
AT1;AT13;AT130;.;.;3,3;3,6;2,9;.;.;.;.;.;.;6,8;1982
AT1;AT13;AT130;.;.;4;4,4;3,6;.;.;.;.;.;.;7,7;1983
AT1;AT13;AT130;.;.;4,1;4,5;3,7;.;.;.;.;.;.;8,7;1984
AT1;AT13;AT130;.;.;4,5;4,7;4,1;.;.;.;.;.;.;6,7;1985
AT1;AT13;AT130;.;.;4,8;4,9;4,6;.;.;.;.;.;.;6,1;1986
AT1;AT13;AT130;.;.;5,4;5,6;5,3;.;.;.;.;.;.;6,7;1987
AT1;AT13;AT130;.;.;5,5;5,6;5,3;.;.;.;.;.;.;6,5;1988
AT1;AT13;AT130;.;.;5,4;5,5;5,3;.;.;.;.;.;.;4,8;1989
AT1;AT13;AT130;.;.;5,8;6;5,7;.;.;.;.;.;.;4;1990
AT1;AT13;AT130;.;.;6,3;6,5;6,1;.;.;.;.;.;.;5;1991
AT1;AT13;AT130;.;.;6,4;6,8;6;.;.;.;.;.;.;5,3;1992
AT1;AT13;AT130;.;.;7,2;7,8;6,6;.;.;.;.;.;.;8,1;1993
AT1;AT13;AT130;.;.;7,1;7,7;6,3;4,5;4,5;4,6;13,7;5,8;22,5;9;1994
AT1;AT13;AT130;.;.;7,3;7,9;6,4;5,3;5,3;5,4;14,1;5,7;24;12;1995
AT1;AT13;AT130;.;.;7,8;8,6;6,8;5,9;6,3;5,5;14,1;5,1;24,5;18,9;1996
AT1;AT13;AT130;.;.;8,3;9;7,4;6,3;6,8;5,8;14,4;6;23,9;19,8;1997
AT1;AT13;AT130;.;.;8,7;9,4;8;6,3;7,1;5,3;15,6;7;25,3;15,6;1998
AT1;AT13;AT130;.;.;8,1;8,8;7,4;5,7;6,7;4,5;16,2;6,6;27,5;11,1;1999
AT1;AT13;AT130;.;.;7,2;8;6,3;5,7;6,4;4,9;15,8;6,3;26,9;8,5;2000
AT1;AT13;AT130;.;.;7,6;8,7;6,5;5,8;6,6;5;15,8;6,8;26,1;12,3;2001
AT1;AT13;AT130;.;.;9;10,3;7,6;7,3;8,4;6;16,3;7,4;26;21,3;2002
AT1;AT13;AT130;.;.;9,5;11;7,9;7,8;8,8;6,6;16,5;7,3;26,7;27,9;2003
AT1;AT13;AT130;.;.;9,8;11,4;8,1;9,8;10,4;9,2;18,3;8;29,9;27,9;2004
AT1;AT13;AT130;.;.;9,7;11,3;8,1;10;11,5;8,3;21,2;9,9;33,5;19;2005
AT1;AT13;AT130;.;.;9,3;10,8;7,6;9,7;10,5;8,8;21,4;10,4;33,6;15,1;2006
AT1;AT13;AT130;.;.;8,5;9,9;7;9,3;9,8;8,7;21,8;10,8;34,1;10,2;2007
AT1;AT13;AT130;.;.;7,9;9,2;6,6;7,3;7,7;6,8;23;12,3;34,7;9,1;2008
AT1;AT13;AT130;.;.;8,7;10,3;7;8,8;9,9;7,6;24,9;13,4;37,3;12;2009
AT1;AT13;AT130;.;.;8,8;10,3;7,3;8,3;9,3;7,3;24,8;13,5;37,1;11,5;2010
AT1;AT13;AT130;.;.;9,2;10,6;7,9;8,1;8,6;7,4;26;14;38,9;14,5;2011
AT1;AT13;AT130;.;.;9,5;10,9;8,1;8,9;9,9;7,8;25,8;13,4;39,1;18,1;2012
AT1;AT13;AT130;.;.;10,2;11,7;8,6;9,3;9,8;8,6;27,2;15,6;39,4;21,6;2013
AT1;AT13;AT130;.;.;11,6;13,2;9,8;10,2;11,2;9,1;29;17,3;41,4;23,5;2014
AT1;AT13;AT130;.;.;13,5;15,4;11,3;…;…;…;…;…;…;27,4;2015
