NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;YEAR_OF_CONSTRUCTION;NUMBER;AREA;UNIT
AT1;AT13;AT130;90001;0;2017;2001;131;1814,670002;m²
AT1;AT13;AT130;90001;0;2017;2002;121;1707,13999;m²
AT1;AT13;AT130;90001;0;2017;2003;123;1296,500003;m²
AT1;AT13;AT130;90001;0;2017;2004;144;1934,339999;m²
AT1;AT13;AT130;90001;0;2017;2005;153;1992,110002;m²
AT1;AT13;AT130;90001;0;2017;2006;289;3433,79501;m²
AT1;AT13;AT130;90001;0;2017;2007;331;3997,030001;m²
AT1;AT13;AT130;90001;0;2017;2008;298;3282,955003;m²
AT1;AT13;AT130;90001;0;2017;2009;348;3783,449991;m²
AT1;AT13;AT130;90001;0;2017;2010;250;2796,21;m²
AT1;AT13;AT130;90001;0;2017;2011;171;1797,400002;m²
AT1;AT13;AT130;90001;0;2017;2012;193;1704,730005;m²
AT1;AT13;AT130;90001;0;2017;2013;143;1283,759994;m²
AT1;AT13;AT130;90001;0;2017;2014;72;750,0499988;m²
AT1;AT13;AT130;90001;0;2017;2015;29;450,6900048;m²
AT1;AT13;AT130;90001;0;2017;2016;15;248,2999983;m²
AT1;AT13;AT130;90001;0;2017;2017;13;98;m²
