DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200001;Schrankenberggasse;Wien;90001;16.389.807;48.173.801
60200002;Achengasse;Wien;90001;16.448.898;48.284.526
60200003;Ada-Christen-Gasse;Wien;90001;16.385.954;48.152.866
60200004;Adam-Betz-Gasse;Wien;90001;16.535.191;48.215.611
60200005;Adamovichgasse;Wien;90001;1.633.784;48.142.167
60200006;Adolf-Loos-Gasse;Wien;90001;16.454.225;48.277.555
60200007;Adolf-Unger-Gasse;Wien;90001;16.385.882;48.148.676
60200008;Afritschgasse;Wien;90001;16.451.737;4.824.696
60200009;Agavenweg;Wien;90001;16.507.199;4.825.107
60200010;Neustift, Agnesgasse;Wien;90001;16.307.593;4.825.043
60200011;Aignerstraße;Wien;90001;16.374.949;48.246.284
60200012;Auf der Schmelz;Wien;90001;16.316.648;48.203.524
60200013;Morzinplatz;Wien;90001;16.374.491;48.213.114
60200014;Alaudagasse;Wien;90001;16.382.324;4.815.389
60200015;Albern;Wien;90001;1.648.493;48.160.051
60200016;Alberner Hafen;Wien;90001;16.494.632;48.158.493
60200017;Alberner Hafenzufahrtsstr;Wien;90001;16.472.479;48.172.094
60200018;Alberner Straße;Wien;90001;16.484.562;4.815.618
60200019;Albertgasse;Wien;90001;16.344.038;48.210.606
60200020;Albertinaplatz;Wien;90001;16.368.535;48.204.961
60200021;Carminweg;Wien;90001;1.642.106;48.253.181
60200022;Algenweg;Wien;90001;16.531.481;48.248.797
60200023;Allerheiligengasse;Wien;90001;16.387.166;48.238.082
60200024;Allissen;Wien;90001;16.430.169;48.286.349
60200025;Alois-Behr-Straße;Wien;90001;16.241.055;48.205.607
60200026;Alsegger Straße;Wien;90001;16.324.365;48.231.686
60200027;Alser Straße;Wien;90001;16.341.999;48.217.143
60200028;Aichholzgasse;Wien;90001;16.324.347;48.180.324
60200029;Nußdf. Str./Alserbachstr.;Wien;90001;16.354.315;48.224.648
60200030;Altdorferstraße;Wien;90001;16.349.374;48.168.697
60200031;Alte Donau;Wien;90001;16.424.231;48.237.956
60200032;Aichholzg./Ratschkyg.;Wien;90001;1.632.361;48.177.599
60200033;Altes Landgut;Wien;90001;16.383.384;48.162.106
60200034;Althanstraße;Wien;90001;16.359.552;48.228.837
60200035;Breitenf St/Altmannsd Str;Wien;90001;16.316.613;48.165.599
60200036;Pfeiffenbergergasse;Wien;90001;16.261.007;48.194.662
60200037;Am Fasangarten;Wien;90001;16.304.593;48.171.255
60200038;Zanggasse;Wien;90001;16.484.445;482.388
60200039;Am Heidjöchl;Wien;90001;16.488.721;48.236.808
60200040;Am Himmelreich;Wien;90001;16.438.173;4.816.391
60200041;Am Hundsturm;Wien;90001;1.634.817;48.187.679
60200042;Am Kanal;Wien;90001;164.101;48.170.021
60200043;Am Kanal/Hasenleitengasse;Wien;90001;16.418.428;48.163.676
60200044;Am Modenapark;Wien;90001;16.382.621;48.199.099
60200045;Am Platz;Wien;90001;16.301.485;48.186.056
60200046;Am Rosenhügel;Wien;90001;16.290.894;48.161.878
60200047;Reichsbrücke;Wien;90001;16.412.418;48.229.837
60200048;Am Schöpfwerk;Wien;90001;16.324.608;48.161.231
60200049;Am Spiegeln;Wien;90001;16.282.198;48.152.278
60200050;Am Spitz;Wien;90001;1.639.738;48.258.205
60200051;Am Tabor;Wien;90001;16.383.474;48.225.103
60200052;Fünfhausgasse;Wien;90001;16.335.441;48.189.087
60200053;Gesundheitszentrum Süd;Wien;90001;16.345.134;48.169.907
60200054;Ameisbachzeile;Wien;90001;16.292.259;48.201.135
60200055;Ameisgasse;Wien;90001;16.299.518;48.193.854
60200056;Neubaugasse;Wien;90001;16.350.201;48.198.291
60200057;Ammerweg;Wien;90001;16.260.432;48.218.514
60200058;Amongasse;Wien;90001;16.469.452;48.230.184
60200059;An den Steinfeldern;Wien;90001;16.298.116;48.137.311
60200060;An den alten Schanzen;Wien;90001;16.489.844;48.226.384
60200061;An den langen Lüssen;Wien;90001;16.341.909;48.252.655
60200062;An der Bien;Wien;90001;16.479.495;48.207.134
60200063;An der Niederhaid;Wien;90001;16.269.738;48.204.135
60200065;Liebhartstal;Wien;90001;16.291.909;48.215.748
60200066;Angermayergasse;Wien;90001;16.264.923;48.184.391
60200067;Anschützgasse;Wien;90001;16.323.053;48.190.374
60200068;Anton-Bosch-Gasse;Wien;90001;16.387.517;48.269.442
60200069;Anton-Böck-Gasse;Wien;90001;1.638.978;48.296.402
60200070;Anton-Krieger-Gasse;Wien;90001;16.270.385;4.814.282
60200071;Doningasse;Wien;90001;16.441.056;4.825.162
60200072;Anton-Störck-Gasse;Wien;90001;16.386.088;48.264.867
60200073;Antonigasse;Wien;90001;16.329.782;48.225.953
60200074;Anzengruberstraße;Wien;90001;16.223.951;48.213.958
60200075;Apostelgasse;Wien;90001;16.398.135;48.200.488
60200076;Liesing Aquädukt;Wien;90001;1.627.202;4.813.372
60200077;Arbeitergasse/Gürtel;Wien;90001;16.345.961;48.184.056
60200078;Arbeiterinnenstrandbad;Wien;90001;16.414.017;48.243.257
60200079;Argentinierstraße;Wien;90001;16.376.737;48.188.548
60200080;Armbrustergasse;Wien;90001;1.635.489;48.253.857
60200081;Arminenstraße;Wien;90001;16.437.589;48.236.281
60200082;Arndtstraße;Wien;90001;1.633.695;48.183.649
60200083;Breitenleer St./Arnikaweg;Wien;90001;16.480.106;48.251.476
60200084;Arsenal;Wien;90001;16.384.624;48.183.804
60200085;Artariastraße;Wien;90001;16.281.345;48.242.444
60200086;Arthaberplatz;Wien;90001;16.372.164;48.172.495
60200087;Artillerieplatz;Wien;90001;16.472.722;48.163.946
60200088;Aspernallee;Wien;90001;16.445.143;48.197.045
60200089;Asperner Heldenplatz;Wien;90001;16.483.178;48.216.832
60200090;Frederick-Loewe-Weg;Wien;90001;16.481.633;48.238.046
60200092;Atzgersdorf Friedhof;Wien;90001;16.297.946;4.814.303
60200093;Atzgersdorf Kirchenplatz;Wien;90001;16.294.271;48.147.615
60200094;Atzgersdorf;Wien;90001;16.288.747;48.147.262
60200095;An der Liesing;Wien;90001;16.264.097;48.138.948
60200096;Atzgersdorfer Straße;Wien;90001;16.296.365;48.170.512
60200098;Auernheimergasse;Wien;90001;16.518.114;48.203.147
60200099;Augasse;Wien;90001;16.357.441;48.229.711
60200100;Broßmannplatz;Wien;90001;16.398.611;48.251.847
60200101;Aumannplatz;Wien;90001;16.336.564;48.228.161
60200102;Autokaderstraße;Wien;90001;16.388.011;48.277.448
60200103;Aßmayergasse;Wien;90001;16.337.714;48.178.725
60200104;Bacherplatz;Wien;90001;16.356.857;48.188.242
60200105;Badeteich Süßenbrunn;Wien;90001;16.486.448;48.277.334
60200106;Badgasse;Wien;90001;16.223.996;48.209.014
60200107;Rettichgasse;Wien;90001;16.262.381;48.201.548
60200108;Duchekgasse;Wien;90001;16.517.458;48.208.553
60200109;Barawitzkagasse;Wien;90001;1.635.568;48.244.621
60200110;Barichgasse;Wien;90001;16.395.026;48.198.045
60200111;Morelligasse;Wien;90001;16.404.135;4.825.043
60200112;Bauernfeldplatz;Wien;90001;1.636.072;48.220.878
60200113;Linzer Str./Hochsatzeng.;Wien;90001;16.277.105;48.196.854
60200114;Baumgartner Friedhof;Wien;90001;16.279;48.201.554
60200115;Baumgasse;Wien;90001;16.404.755;48.193.291
60200116;Nußdorf, Beethovengang;Wien;90001;16.363.055;48.259.545
60200117;Belgradplatz;Wien;90001;16.360.738;4.817.428
60200118;Bellevuestraße;Wien;90001;16.328.524;48.248.671
60200119;Jedlesee, Bellgasse;Wien;90001;16.387.166;48.262.248
60200120;Belvederegasse;Wien;90001;16.371.958;48.190.147
60200121;Benatzkygasse;Wien;90001;16.439.574;4.823.019
60200122;Berggasse;Wien;90001;16.361.735;48.218.065
60200123;Bergmillergasse;Wien;90001;16.256.776;48.201.374
60200124;Yppengasse;Wien;90001;16.335.666;48.214.713
60200125;Theodor-Körner-Gasse;Wien;90001;16.407.657;48.249.718
60200127;Fernkorngasse;Wien;90001;16.363.334;48.174.077
60200128;Bernreiterplatz;Wien;90001;16.406.345;48.281.405
60200129;Mühlschüttel;Wien;90001;16.410.792;48.249.251
