Datum;Argentinierstraﬂe;Donaukanal;Langobardenstraﬂe;Lassallestraﬂe;Liesingbach;Neubaug¸rtel ;Opernring Innen;Opernring Auﬂen;Opernring;Wienzeile;Margaritensteg ;Operngasse;Praterstern;Pfeilgasse;Esperanto Park;Hamburgerstraﬂe
20190101;285;231;114;259;48;271;502;218;720;146;106;537;464;170;;
20190102;574;167;124;414;88;430;667;487;1154;187;151;1001;664;360;;
20190103;513;149;111;331;50;339;452;372;824;137;97;709;547;269;;
20190104;383;137;122;293;21;263;413;328;741;93;88;655;442;220;;
20190105;159;46;56;81;12;150;191;154;345;52;35;264;224;89;;
20190106;325;238;78;235;36;301;350;284;634;103;99;520;426;195;;
20190107;1236;314;258;735;101;679;1050;791;1841;329;221;1813;1167;735;;
20190108;953;226;198;503;75;532;795;604;1399;225;214;1527;928;574;;
20190109;1085;206;240;630;97;568;796;740;1536;240;203;1645;1044;648;;
20190110;1263;252;254;714;82;641;1074;906;1980;268;252;1859;1197;756;;
20190111;1159;318;214;676;106;689;1118;807;1925;309;268;1910;1124;765;;
20190112;457;151;144;238;48;417;576;381;957;143;202;782;507;272;;
20190113;408;377;154;375;64;342;527;384;911;193;190;722;633;299;;
20190114;1259;271;230;639;100;709;1133;845;1978;307;256;1988;1142;777;;
20190115;1433;300;254;679;98;723;1215;972;2187;329;262;2142;1199;831;;
20190116;1569;425;275;830;139;875;1498;1044;2542;411;331;2517;1451;978;;
20190117;1806;637;363;1153;208;1042;1780;1233;3013;558;417;2842;1690;1077;;
20190118;1295;328;311;724;117;751;1223;917;2140;333;270;2057;1198;794;;
20190119;611;277;107;353;58;529;785;560;1345;200;206;988;621;442;;
20190120;473;260;100;343;80;460;591;383;974;156;158;764;618;280;;
20190121;1512;370;306;882;143;878;1307;933;2240;406;328;2285;1480;856;;
20190122;1374;312;236;734;110;764;1201;900;2101;310;270;2102;1234;818;;
20190123;1011;246;225;585;88;619;886;687;1573;251;181;1675;939;652;;
20190124;1131;224;242;595;88;713;1082;749;1831;284;231;1880;993;731;;
20190125;1012;258;218;580;93;638;1186;758;1944;298;206;1752;1039;669;;
20190126;357;90;95;213;21;352;398;269;667;86;107;616;393;247;;
20190127;415;360;107;355;69;446;649;405;1054;239;185;758;650;272;;
20190128;723;151;124;381;55;484;694;504;1198;193;166;1203;754;475;;
20190129;1329;390;257;754;99;811;1268;924;2192;343;260;2187;1275;795;;
20190130;1321;380;248;760;112;817;1365;994;2359;393;281;2383;1343;861;;
20190131;1305;308;248;794;105;825;1351;968;2319;361;291;2252;1309;893;;
20190201;1128;351;233;674;107;823;1173;848;2021;379;276;1890;1165;741;;
20190202;660;598;160;596;135;570;1074;604;1678;377;259;1184;940;424;;
20190203;493;300;98;341;72;404;551;386;937;169;156;782;615;248;;
20190204;1148;285;223;701;112;704;1031;768;1799;327;282;1856;1174;709;;
20190205;1295;412;278;872;158;852;1246;922;2168;375;391;2055;1321;749;;
20190206;1198;300;247;780;120;772;1184;895;2079;384;331;2025;1306;726;;
20190207;1125;319;215;803;138;755;1237;881;2118;337;352;1992;1217;722;;
20190208;1151;470;285;847;149;781;1322;844;2166;444;390;1858;1278;690;;
20190209;618;650;176;555;150;585;998;556;1554;342;316;1135;801;413;;
20190210;494;493;134;450;98;516;782;412;1194;222;227;902;696;299;;
20190211;1475;334;289;905;141;862;1309;895;2204;376;353;2306;1400;856;;
20190212;1429;329;256;785;135;807;1256;984;2240;348;319;2242;1273;856;;
20190213;1494;438;289;998;183;902;1441;1034;2475;403;373;2447;1561;888;;
20190214;1686;600;348;1121;205;1102;1737;1182;2919;561;487;2760;1742;1008;;
20190215;1641;771;394;1250;282;1145;1872;1209;3081;702;558;2594;1868;950;;
20190216;1002;1210;340;1232;367;846;1635;854;2489;635;517;1632;1538;559;;
20190217;916;1425;345;1571;389;835;1738;801;2539;700;525;1458;1729;519;;
20190218;1934;725;466;1378;303;1210;2133;1203;3336;725;546;2980;2084;1088;;
20190219;2119;936;500;1566;315;1348;2475;1376;3851;782;647;3239;2311;1209;;
20190220;2118;827;430;1495;306;1366;2288;1453;3741;782;652;3285;2261;1142;;
20190221;2013;732;458;1485;274;1248;2193;1404;3597;698;564;3251;2168;1160;;
20190222;1292;309;208;728;100;792;1229;805;2034;336;324;1909;1195;682;;
20190223;631;342;157;475;125;669;987;532;1519;302;319;1185;816;419;;
20190224;506;428;144;394;103;487;746;392;1138;279;229;864;676;295;;
20190225;1877;807;460;1570;305;1294;1912;1711;3623;786;610;3126;2179;1140;;
20190226;2320;755;496;1650;330;1460;1907;2083;3990;847;690;3473;2385;1289;;
20190227;2442;1093;593;2074;444;1573;2146;2288;4434;1020;769;3804;2808;1329;;
