NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BICYCLE;BY_FOOT;CAR;MOTORBIKE;PUBLIC_TRANSPORT
AT1;AT13;AT130;90001;0;1993;2017;3;28;40;0;29
AT1;AT13;AT130;90001;0;1999;2017;4;27;36;0;33
AT1;AT13;AT130;90001;0;2003;2017;3;27;35;1;34
AT1;AT13;AT130;90001;0;2009;2017;6;27;32;0;35
AT1;AT13;AT130;90001;0;2010;2017;5;28;31;0;36
AT1;AT13;AT130;90001;0;2011;2017;6;28;29;0;37
AT1;AT13;AT130;90001;0;2012;2017;6;28;27;0;39
AT1;AT13;AT130;90001;0;2013;2017;6;27;28;0;39
AT1;AT13;AT130;90001;0;2014;2017;7;26;28;0;39
AT1;AT13;AT130;90001;0;2015;2017;7;27;27;0;39
AT1;AT13;AT130;90001;0;2016;2017;7;27;27;0;39
AT1;AT13;AT130;90001;0;2017;2017;7;28;27;0;38
