NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;UNIT_AREA;PAVED_AREA;AREA_OF_CYCLE_PATH;PERCENTAGE_OF_CYCLE_PATH;UNIT_LENGTH;LENGTH_OF_STREETS;LENGTH_OF_CYCLE_PATHES;PERCENTAGE_LENGTH_OF_CYCLE_PATHES
AT1;AT13;AT130;90001;0;2003;2017;m²;;228136;;m;2785012;918630;0,329847771
AT1;AT13;AT130;90001;0;2004;2017;m²;34151964;245310;0,007182896;m;2787674;955190;0,34264767
AT1;AT13;AT130;90001;0;2005;2017;m²;34195904;268170;0,007842167;m;2788097;1011415;0,362761769
AT1;AT13;AT130;90001;0;2006;2017;m²;34267220;274271;0,008003888;m;2790781;1051285;0,376699211
AT1;AT13;AT130;90001;0;2007;2017;m²;34323587;290775;0,00847158;m;2794080;1090230;0,390192836
AT1;AT13;AT130;90001;0;2008;2017;m²;34393488;303621;0,008827863;m;2796690;1134580;0,405686723
AT1;AT13;AT130;90001;0;2009;2017;m²;34473840;315916;0,009163934;m;2799339;1159030;0,414037028
AT1;AT13;AT130;90001;0;2010;2017;m²;34547441;320189;0,009268096;m;2801655;1173950;0,419020186
AT1;AT13;AT130;90001;0;2011;2017;m²;34724270;350359;0,010089744;m;2805900;1204910;0,42942015
AT1;AT13;AT130;90001;0;2012;2017;m²;34794289;360435;0,010359028;m;2811291;1222590;0,434885609
AT1;AT13;AT130;90001;0;2013;2017;m²;34946635;368912;0,010556438;m;2816823;1246470;0,442509167
AT1;AT13;AT130;90001;0;2014;2017;m²;35084099;376303;0,010725742;m;2819523;1270260;0,450523014
AT1;AT13;AT130;90001;0;2015;2017;m²;35218757;384536;0,0109185;m;2822539;1297750;0,459781069
AT1;AT13;AT130;90001;0;2016;2017;m²;35359713;391671;0,011076758;m;2828159;1346260;0,476019913
AT1;AT13;AT130;90001;0;2017;2017;m²;35428980;396562;0,011193153;m;2829582;1378940;0,487329931
