NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;CAPITAL;CARS_PER_1000_CAPITA
AT1;AT11;AT112;10101;0;2008;2017;Eisenstadt;633,9901135
AT1;AT11;AT112;10101;0;2009;2017;Eisenstadt;634,6127485
AT1;AT11;AT112;10101;0;2010;2017;Eisenstadt;643,9997277
AT1;AT11;AT112;10101;0;2011;2017;Eisenstadt;653,3225502
AT1;AT11;AT112;10101;0;2012;2017;Eisenstadt;660,5107007
AT1;AT11;AT112;10101;0;2013;2017;Eisenstadt;667,8891872
AT1;AT11;AT112;10101;0;2014;2017;Eisenstadt;669,7348804
AT1;AT11;AT112;10101;0;2015;2017;Eisenstadt;676,2008594
AT1;AT11;AT112;10101;0;2016;2017;Eisenstadt;660,9035137
AT1;AT11;AT112;10101;0;2017;2017;Eisenstadt;672,3936203
AT2;AT21;AT211;20101;0;2008;2017;Klagenfurt;572,971691
AT2;AT21;AT211;20101;0;2009;2017;Klagenfurt;579,7272124
AT2;AT21;AT211;20101;0;2010;2017;Klagenfurt;587,7384748
AT2;AT21;AT211;20101;0;2011;2017;Klagenfurt;595,8586675
AT2;AT21;AT211;20101;0;2012;2017;Klagenfurt;606,8669982
AT2;AT21;AT211;20101;0;2013;2017;Klagenfurt;609,9109481
AT2;AT21;AT211;20101;0;2014;2017;Klagenfurt;607,357202
AT2;AT21;AT211;20101;0;2015;2017;Klagenfurt;605,8745403
AT2;AT21;AT211;20101;0;2016;2017;Klagenfurt;606,6885246
AT2;AT21;AT211;20101;0;2017;2017;Klagenfurt;610,7425594
AT1;AT12;AT123;30201;0;2008;2017;Sankt Pölten;542,965942
AT1;AT12;AT123;30201;0;2009;2017;Sankt Pölten;548,5919596
AT1;AT12;AT123;30201;0;2010;2017;Sankt Pölten;555,2068805
AT1;AT12;AT123;30201;0;2011;2017;Sankt Pölten;561,8685895
AT1;AT12;AT123;30201;0;2012;2017;Sankt Pölten;567,9349919
AT1;AT12;AT123;30201;0;2013;2017;Sankt Pölten;570,9856334
AT1;AT12;AT123;30201;0;2014;2017;Sankt Pölten;573,7654617
AT1;AT12;AT123;30201;0;2015;2017;Sankt Pölten;571,2362788
AT1;AT12;AT123;30201;0;2016;2017;Sankt Pölten;573,0206814
AT1;AT12;AT123;30201;0;2017;2017;Sankt Pölten;576,1348754
AT3;AT31;AT312;40101;0;2008;2017;Linz;495,8385783
AT3;AT31;AT312;40101;0;2009;2017;Linz;501,4162954
AT3;AT31;AT312;40101;0;2010;2017;Linz;506,4572074
AT3;AT31;AT312;40101;0;2011;2017;Linz;513,9016404
AT3;AT31;AT312;40101;0;2012;2017;Linz;517,6766481
AT3;AT31;AT312;40101;0;2013;2017;Linz;519,0260103
AT3;AT31;AT312;40101;0;2014;2017;Linz;516,4281218
AT3;AT31;AT312;40101;0;2015;2017;Linz;509,9606437
AT3;AT31;AT312;40101;0;2016;2017;Linz;507,7250932
AT3;AT31;AT312;40101;0;2017;2017;Linz;508,4083699
AT3;AT32;AT323;50101;0;2008;2017;Salzburg;483,3550154
AT3;AT32;AT323;50101;0;2009;2017;Salzburg;486,9729596
AT3;AT32;AT323;50101;0;2010;2017;Salzburg;502,1320788
AT3;AT32;AT323;50101;0;2011;2017;Salzburg;505,5067519
AT3;AT32;AT323;50101;0;2012;2017;Salzburg;511,6686957
AT3;AT32;AT323;50101;0;2013;2017;Salzburg;514,1940482
