NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;NUMBER_OF_DISTRICT;NAME_OF_DISTRICT;UNIT_AREA;PAVED_AREA;AREA_OF_DRIVING_SURFACE;AREA_OF_PAVEMENT;AREA_OF_PEDESTRIAN_ZONE;AREA_OF_CYCLE_PATH;PERCENTAGE_OF_CYCLE_PATH;UNIT_LENGTH;LENGHT_OF_MUNICIPAL_STREETS;LENGHT_OF_CYCLE_PATHES;PERCENTAGE_AREA_OF_CYCLE_PATHES
AT1;AT13;AT130;90001;0;2017;2017;1;Wien Innere Stadt;m²;970710;511132;360407;91227;7944;0,008183701;m;54269;36190;0,666863218
AT1;AT13;AT130;90001;0;2017;2017;2;Wien Leopoldstadt;m²;1701549;1079226;536150;36476;49697;0,029206917;m;103491;90060;0,870220599
AT1;AT13;AT130;90001;0;2017;2017;3;Wien Landstraße;m²;1413480;913919;470603;6321;22637;0,016015083;m;91663;50940;0,55573132
AT1;AT13;AT130;90001;0;2017;2017;4;Wien Wieden;m²;432735;269961;145975;8862;7937;0,018341479;m;28786;12990;0,45126103
AT1;AT13;AT130;90001;0;2017;2017;5;Wien Margareten;m²;595120;385356;197162;7376;5226;0,008781422;m;37769;30340;0,803304297
AT1;AT13;AT130;90001;0;2017;2017;6;Wien Mariahilf;m²;401425;237021;146487;13690;4227;0,010529987;m;27474;15010;0,546334716
AT1;AT13;AT130;90001;0;2017;2017;7;Wien Neubau;m²;367005;210070;140809;12825;3301;0,008994428;m;25433;18970;0,745881335
AT1;AT13;AT130;90001;0;2017;2017;8;Wien Josefstadt;m²;282194;172258;103891;3907;2138;0,007576348;m;19591;11470;0,585472921
AT1;AT13;AT130;90001;0;2017;2017;9;Wien Alsergrund;m²;757989;482423;264184;6198;5184;0,006839149;m;46562;30420;0,653322452
AT1;AT13;AT130;90001;0;2017;2017;10;Wien Favoriten;m²;2970718;1954214;934535;46803;35166;0,011837542;m;208339;98090;0,470819194
AT1;AT13;AT130;90001;0;2017;2017;11;Wien Simmering;m²;1829370;1261035;543010;2420;22905;0,012520704;m;135992;68480;0,503559033
AT1;AT13;AT130;90001;0;2017;2017;12;Wien Meidling;m²;1488239;924076;532489;21266;10408;0,0069935;m;100774;53330;0,529203961
AT1;AT13;AT130;90001;0;2017;2017;13;Wien Hietzing;m²;1628766;1107228;519270;;2268;0,001392465;m;148326;59300;0,399795046
AT1;AT13;AT130;90001;0;2017;2017;14;Wien Penzing;m²;2000443;1393517;597432;2741;6753;0,003375752;m;192514;80370;0,417476132
AT1;AT13;AT130;90001;0;2017;2017;15;Wien Rudolfsheim-Fünfhaus;m²;951539;610554;317827;20467;2691;0,00282805;m;66283;29960;0,452001267
AT1;AT13;AT130;90001;0;2017;2017;16;Wien Ottakring;m²;1312302;834326;463777;8962;5237;0,003990697;m;100390;38690;0,385396952
AT1;AT13;AT130;90001;0;2017;2017;17;Wien Hernals;m²;977223;650723;317174;4826;4500;0,004604885;m;86314;35710;0,413721992
AT1;AT13;AT130;90001;0;2017;2017;18;Wien Währing;m²;900587;576724;313173;7896;2794;0,003102421;m;72847;31470;0,432001318
AT1;AT13;AT130;90001;0;2017;2017;19;Wien Döbling;m²;1938601;1327945;607860;394;2402;0,001239038;m;169852;49470;0,291253562
AT1;AT13;AT130;90001;0;2017;2017;20;Wien Brigittenau;m²;1065379;673649;357896;13871;19963;0,018737933;m;62221;33100;0,531974735
AT1;AT13;AT130;90001;0;2017;2017;21;Wien Floridsdorf;m²;3625796;2468707;1082917;6751;67421;0,018594813;m;304035;171740;0,564869176
AT1;AT13;AT130;90001;0;2017;2017;22;Wien Donaustadt;m²;4826185;3472696;1243487;27923;82079;0,017007015;m;453153;252860;0,558001381
AT1;AT13;AT130;90001;0;2017;2017;23;Wien Liesing;m²;2991625;2085433;876065;6443;23684;0,007916768;m;247504;79980;0,323146293
