Sterbefälle in Wien gemeldeter Personen  nach Bezirk und Geschlecht   |Death of residents in Vienna  by district and sex of child;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;DEATH;REF_YEAR
AT1;AT13;AT130;90100;.;2;106;2002
AT1;AT13;AT130;90200;.;2;516;2002
AT1;AT13;AT130;90300;.;2;510;2002
AT1;AT13;AT130;90400;.;2;207;2002
AT1;AT13;AT130;90500;.;2;325;2002
AT1;AT13;AT130;90600;.;2;199;2002
AT1;AT13;AT130;90700;.;2;185;2002
AT1;AT13;AT130;90800;.;2;114;2002
AT1;AT13;AT130;90900;.;2;249;2002
AT1;AT13;AT130;91000;.;2;930;2002
AT1;AT13;AT130;91100;.;2;355;2002
AT1;AT13;AT130;91200;.;2;532;2002
AT1;AT13;AT130;91300;.;2;549;2002
AT1;AT13;AT130;91400;.;2;626;2002
AT1;AT13;AT130;91500;.;2;374;2002
AT1;AT13;AT130;91600;.;2;476;2002
AT1;AT13;AT130;91700;.;2;296;2002
AT1;AT13;AT130;91800;.;2;369;2002
AT1;AT13;AT130;91900;.;2;568;2002
AT1;AT13;AT130;92000;.;2;436;2002
AT1;AT13;AT130;92100;.;2;658;2002
AT1;AT13;AT130;92200;.;2;598;2002
AT1;AT13;AT130;92300;.;2;525;2002
AT1;AT13;AT130;90100;.;1;89;2002
AT1;AT13;AT130;90200;.;1;430;2002
AT1;AT13;AT130;90300;.;1;375;2002
AT1;AT13;AT130;90400;.;1;141;2002
AT1;AT13;AT130;90500;.;1;231;2002
AT1;AT13;AT130;90600;.;1;105;2002
AT1;AT13;AT130;90700;.;1;91;2002
AT1;AT13;AT130;90800;.;1;97;2002
AT1;AT13;AT130;90900;.;1;164;2002
AT1;AT13;AT130;91000;.;1;752;2002
AT1;AT13;AT130;91100;.;1;357;2002
AT1;AT13;AT130;91200;.;1;391;2002
AT1;AT13;AT130;91300;.;1;292;2002
AT1;AT13;AT130;91400;.;1;355;2002
AT1;AT13;AT130;91500;.;1;271;2002
AT1;AT13;AT130;91600;.;1;441;2002
AT1;AT13;AT130;91700;.;1;204;2002
AT1;AT13;AT130;91800;.;1;205;2002
AT1;AT13;AT130;91900;.;1;378;2002
AT1;AT13;AT130;92000;.;1;367;2002
AT1;AT13;AT130;92100;.;1;566;2002
AT1;AT13;AT130;92200;.;1;547;2002
AT1;AT13;AT130;92300;.;1;364;2002
AT1;AT13;AT130;90100;.;2;125;2003
AT1;AT13;AT130;90200;.;2;513;2003
AT1;AT13;AT130;90300;.;2;516;2003
AT1;AT13;AT130;90400;.;2;218;2003
AT1;AT13;AT130;90500;.;2;252;2003
AT1;AT13;AT130;90600;.;2;189;2003
AT1;AT13;AT130;90700;.;2;156;2003
AT1;AT13;AT130;90800;.;2;118;2003
AT1;AT13;AT130;90900;.;2;245;2003
AT1;AT13;AT130;91000;.;2;887;2003
AT1;AT13;AT130;91100;.;2;355;2003
AT1;AT13;AT130;91200;.;2;560;2003
AT1;AT13;AT130;91300;.;2;519;2003
AT1;AT13;AT130;91400;.;2;593;2003
AT1;AT13;AT130;91500;.;2;423;2003
AT1;AT13;AT130;91600;.;2;526;2003
AT1;AT13;AT130;91700;.;2;260;2003
AT1;AT13;AT130;91800;.;2;390;2003
AT1;AT13;AT130;91900;.;2;534;2003
AT1;AT13;AT130;92000;.;2;455;2003
AT1;AT13;AT130;92100;.;2;727;2003
AT1;AT13;AT130;92200;.;2;576;2003
