NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;FEDERAL_STATE;POPULATION
AT1;AT11;AT110;10001;0;1988;2017;Burgenland;269473
AT1;AT11;AT110;10001;0;1989;2017;Burgenland;269613
AT1;AT11;AT110;10001;0;1990;2017;Burgenland;270670
AT1;AT11;AT110;10001;0;1991;2017;Burgenland;271604
AT1;AT11;AT110;10001;0;1992;2017;Burgenland;274259
AT1;AT11;AT110;10001;0;1993;2017;Burgenland;275633
AT1;AT11;AT110;10001;0;1994;2017;Burgenland;276300
AT1;AT11;AT110;10001;0;1995;2017;Burgenland;277529
AT1;AT11;AT110;10001;0;1996;2017;Burgenland;277843
AT1;AT11;AT110;10001;0;1997;2017;Burgenland;277566
AT1;AT11;AT110;10001;0;1998;2017;Burgenland;277210
AT1;AT11;AT110;10001;0;1999;2017;Burgenland;276732
AT1;AT11;AT110;10001;0;2000;2017;Burgenland;276226
AT1;AT11;AT110;10001;0;2001;2017;Burgenland;275956
AT1;AT11;AT110;10001;0;2002;2017;Burgenland;276673
AT1;AT11;AT110;10001;0;2003;2017;Burgenland;276542
AT1;AT11;AT110;10001;0;2004;2017;Burgenland;276792
AT1;AT11;AT110;10001;0;2005;2017;Burgenland;278032
AT1;AT11;AT110;10001;0;2006;2017;Burgenland;279127
AT1;AT11;AT110;10001;0;2007;2017;Burgenland;280062
AT1;AT11;AT110;10001;0;2008;2017;Burgenland;280977
AT1;AT11;AT110;10001;0;2009;2017;Burgenland;282777
AT1;AT11;AT110;10001;0;2010;2017;Burgenland;283697
AT1;AT11;AT110;10001;0;2011;2017;Burgenland;284581
AT1;AT11;AT110;10001;0;2012;2017;Burgenland;285782
AT1;AT11;AT110;10001;0;2013;2017;Burgenland;286691
AT1;AT11;AT110;10001;0;2014;2017;Burgenland;287416
AT1;AT11;AT110;10001;0;2015;2017;Burgenland;288356
AT1;AT11;AT110;10001;0;2016;2017;Burgenland;291011
AT1;AT11;AT110;10001;0;2017;2017;Burgenland;291942
AT2;AT21;AT210;20001;0;1988;2017;Kärnten;542291
AT2;AT21;AT210;20001;0;1989;2017;Kärnten;542841
AT2;AT21;AT210;20001;0;1990;2017;Kärnten;544983
AT2;AT21;AT210;20001;0;1991;2017;Kärnten;547752
AT2;AT21;AT210;20001;0;1992;2017;Kärnten;552345
AT2;AT21;AT210;20001;0;1993;2017;Kärnten;558114
AT2;AT21;AT210;20001;0;1994;2017;Kärnten;559735
AT2;AT21;AT210;20001;0;1995;2017;Kärnten;560708
