Demographische Indikatoren - Wien | Demographic indicators - Vienna;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;BIRTH_TOTAL;TFR;GROSS_FERT_RATE;NET_FERT_RATE;FERT_AGE;MORT_TOTAL;MORT_RATE;INFANT_MORT_RATE;BIRTH_LIFE_EXP_M;BIRTH_LIFE_EXP_F;MAR_TOTAL;MARR_RATE;MAR_AGE_M;MAR_AGE_F;DIV_TOTAL;DIV_RATE;MAR_DUR;REF_YEAR
AT1;AT13;AT130;18.657;1,83;0,89;0,85;26,7;25.172;15,5;31,3;66,7;73,3;14.954;9,2;.;.;.;.;.;1961
AT1;AT13;AT130;19.550;1,87;0,91;0,87;26,6;26.195;16,1;30,8;66,8;73;15.166;9,3;.;.;.;.;.;1962
AT1;AT13;AT130;20.082;1,89;0,92;0,89;26,7;26.154;16,1;29,3;66,8;73,1;14.767;9,1;.;.;.;.;.;1963
AT1;AT13;AT130;19.952;1,86;0,91;0,87;26,6;25.786;15,9;28,5;67,1;73,5;14.847;9,2;.;.;.;.;.;1964
AT1;AT13;AT130;19.764;1,82;0,88;0,85;26,3;27.445;16,9;28,9;66,6;73;15.004;9,3;.;.;.;.;.;1965
AT1;AT13;AT130;20.211;1,85;0,9;0,86;26,2;26.762;16,5;28,1;67,1;73,4;14.825;9,1;.;.;.;.;.;1966
AT1;AT13;AT130;20.507;1,85;0,9;0,87;26,1;27.796;17,1;26,5;67;73,3;14.761;9,1;.;.;.;.;.;1967
AT1;AT13;AT130;20.323;1,83;0,89;0,86;26;27.569;17;24,9;67,3;73,7;14.366;8,8;.;.;.;.;.;1968
AT1;AT13;AT130;19.146;1,74;0,85;0,82;25,9;28.361;17,4;24,8;66,8;73,4;13.816;8,5;.;.;.;.;.;1969
AT1;AT13;AT130;17.892;1,65;0,8;0,77;25,8;28.176;17,4;25,8;67;73,5;12.891;7,9;25,78;23,84;4.510;2,78;.;1970
AT1;AT13;AT130;17.198;1,6;0,78;0,75;25,8;28.516;17,6;26,5;66,7;73,5;11.340;7;26,22;24,05;4.321;2,66;.;1971
AT1;AT13;AT130;16.236;1,52;0,74;0,71;25,7;26.920;16,6;25,6;67,5;74;12.832;7,9;26,29;24,07;4.156;2,56;.;1972
AT1;AT13;AT130;15.752;1,48;0,72;0,7;25,5;26.364;16,2;25;67,5;74,4;11.647;7,2;26,28;24,01;4.151;2,55;.;1973
AT1;AT13;AT130;16.052;1,52;0,74;0,71;25,6;26.734;16,5;23,1;67,9;74,4;11.218;6,9;26,24;23,83;4.125;2,54;.;1974
AT1;AT13;AT130;14.713;1,4;0,68;0,66;25,6;27.125;16,9;21,7;67,7;74,3;10.147;6,3;26,45;24,02;4.333;2,7;.;1975
AT1;AT13;AT130;13.404;1,27;0,62;0,6;25,9;26.771;16,8;18,6;68;74,8;9.934;6,2;26,59;23,99;4.515;2,84;.;1976
AT1;AT13;AT130;13.087;1,24;0,6;0,59;25,9;25.857;16,4;18,6;68,4;75,1;9.411;6;26,61;24,1;4.512;2,86;.;1977
AT1;AT13;AT130;13.339;1,27;0,62;0,6;26;26.212;16,8;16,8;68,2;75,2;9.663;6,2;26,55;24,23;4.989;3,19;.;1978
AT1;AT13;AT130;13.540;1,28;0,62;0,6;26,1;25.337;16,4;18,5;68,5;75,2;9.801;6,3;26,54;24,16;4.854;3,13;.;1979
AT1;AT13;AT130;14.399;1,35;0,66;0,64;26,1;25.352;16,5;15;68,9;75,3;9.994;6,5;26,4;23,89;4.929;3,2;.;1980
AT1;AT13;AT130;15.117;1,41;0,69;0,67;26,2;25.247;16,5;14,1;69,2;75,7;10.540;6,9;26,37;24,08;4.762;3,11;.;1981
AT1;AT13;AT130;15.007;1,41;0,68;0,67;26,2;24.633;16,2;14,9;69;76;10.576;7;26,31;24,19;5.358;3,53;.;1982
AT1;AT13;AT130;14.505;1,37;0,66;0,65;26,4;24.677;16,4;14,8;68,9;75,9;11.482;7,6;26,43;24,37;5.548;3,69;.;1983
AT1;AT13;AT130;14.440;1,35;0,66;0,64;26,6;23.457;15,7;13,8;69,1;76,4;9.838;6,6;26,56;24,26;5.519;3,69;.;1984
AT1;AT13;AT130;14.353;1,33;0,64;0,63;26,9;23.727;15,9;11,5;69,7;76,6;9.689;6,5;26,82;24,75;5.692;3,81;6,6;1985
AT1;AT13;AT130;14.539;1,32;0,64;0,63;26,9;22.828;15,3;10,4;70,3;77,1;9.968;6,7;26,97;24,78;5.014;3,37;7;1986
AT1;AT13;AT130;14.827;1,33;0,65;0,64;27;22.193;14,9;11,6;70,5;77,3;14.876;10;27,01;24,88;4.938;3,33;6,8;1987
AT1;AT13;AT130;15.567;1,38;0,67;0,66;27;21.644;14,6;9,4;70,9;77,8;8.641;5,8;27,34;25,23;5.024;3,38;6,7;1988
AT1;AT13;AT130;15.941;1,38;0,67;0,66;27,1;20.875;14;10;71,2;78;10.217;6,9;27,24;25,34;5.080;3,41;6,3;1989
AT1;AT13;AT130;16.376;1,39;0,67;0,66;27,3;20.830;13,9;8,7;71,5;78,1;10.723;7,2;27,52;25,64;5.233;3,49;6,1;1990
