Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90100;90101;2;2120;65;14;98;42;9;24;30;3;31;394;1410;20080101
AT1;AT13;AT130;90100;90102;2;834;22;0;45;11;5;12;14;0;20;156;549;20080101
AT1;AT13;AT130;90100;90103;2;1102;42;14;50;26;16;10;22;1;14;251;656;20080101
AT1;AT13;AT130;90100;90104;2;803;27;3;42;11;5;7;6;0;4;133;565;20080101
AT1;AT13;AT130;90100;90105;2;1140;35;11;40;19;5;12;11;0;17;183;807;20080101
AT1;AT13;AT130;90100;90106;2;1461;21;7;54;26;18;10;13;0;15;242;1055;20080101
AT1;AT13;AT130;90100;90107;2;1379;34;10;65;21;19;20;35;1;7;283;884;20080101
AT1;AT13;AT130;90100;90199;2;4;0;0;0;0;0;1;0;0;0;0;3;20080101
AT1;AT13;AT130;90200;90201;2;4119;178;192;63;110;95;36;37;9;76;609;2714;20080101
AT1;AT13;AT130;90200;90202;2;5718;694;348;137;154;215;88;43;1;51;935;3052;20080101
AT1;AT13;AT130;90200;90203;2;6459;386;204;222;126;135;73;70;1;50;1030;4162;20080101
AT1;AT13;AT130;90200;90204;2;7747;423;233;240;169;180;106;96;2;112;1532;4654;20080101
AT1;AT13;AT130;90200;90205;2;4690;247;116;151;107;97;67;52;1;64;942;2846;20080101
AT1;AT13;AT130;90200;90206;2;3357;157;86;115;75;46;33;30;3;15;396;2401;20080101
AT1;AT13;AT130;90200;90207;2;6805;833;338;183;208;207;141;59;8;68;1248;3512;20080101
AT1;AT13;AT130;90200;90208;2;861;47;16;16;8;10;1;6;1;6;69;681;20080101
AT1;AT13;AT130;90200;90209;2;7708;515;487;112;208;175;113;57;3;70;1002;4966;20080101
AT1;AT13;AT130;90200;90299;2;25;0;1;2;0;0;0;0;0;0;4;18;20080101
AT1;AT13;AT130;90300;90301;2;5706;286;142;246;127;112;51;54;8;36;763;3881;20080101
AT1;AT13;AT130;90300;90302;2;4538;164;51;206;76;67;45;40;4;38;574;3273;20080101
AT1;AT13;AT130;90300;90303;2;3256;109;50;157;64;37;21;55;2;30;558;2173;20080101
AT1;AT13;AT130;90300;90304;2;5367;428;158;192;209;177;89;63;3;46;964;3038;20080101
AT1;AT13;AT130;90300;90305;2;4083;197;105;149;95;87;57;42;4;16;585;2746;20080101
AT1;AT13;AT130;90300;90306;2;7820;424;286;195;189;180;75;69;2;31;1110;5259;20080101
AT1;AT13;AT130;90300;90307;2;2377;151;121;25;65;55;43;21;0;16;286;1594;20080101
AT1;AT13;AT130;90300;90308;2;891;11;1;31;9;4;4;8;1;3;77;742;20080101
AT1;AT13;AT130;90300;90309;2;4544;166;57;208;85;62;36;57;2;33;626;3212;20080101
AT1;AT13;AT130;90300;90310;2;3838;308;234;79;131;83;38;34;4;25;527;2375;20080101
AT1;AT13;AT130;90300;90311;2;1289;76;51;15;40;25;8;16;0;3;159;896;20080101
AT1;AT13;AT130;90300;90399;2;50;1;1;8;2;0;0;0;0;0;9;29;20080101
AT1;AT13;AT130;90400;90401;2;1177;35;18;54;24;15;14;21;1;40;255;700;20080101
AT1;AT13;AT130;90400;90402;2;5071;232;87;251;116;61;80;51;4;50;937;3202;20080101
AT1;AT13;AT130;90400;90403;2;6315;254;92;277;134;79;60;76;6;54;1038;4245;20080101
AT1;AT13;AT130;90400;90404;2;3542;136;76;146;68;68;36;34;4;26;529;2419;20080101
AT1;AT13;AT130;90400;90499;2;3;0;0;0;0;0;0;0;0;0;1;2;20080101
AT1;AT13;AT130;90500;90501;2;5839;324;160;224;146;126;54;60;2;31;755;3957;20080101
AT1;AT13;AT130;90500;90502;2;9870;797;581;247;301;290;117;77;10;61;1586;5803;20080101
AT1;AT13;AT130;90500;90503;2;8166;805;530;215;253;294;94;77;4;54;1315;4525;20080101
AT1;AT13;AT130;90500;90504;2;3144;193;92;105;88;83;41;32;1;22;489;1998;20080101
AT1;AT13;AT130;90500;90599;2;6;0;0;0;0;0;0;0;0;0;0;6;20080101
AT1;AT13;AT130;90600;90601;2;3830;131;60;178;85;70;33;68;3;35;554;2613;20080101
AT1;AT13;AT130;90600;90602;2;4468;229;141;167;132;82;60;52;2;26;744;2833;20080101
AT1;AT13;AT130;90600;90603;2;7002;283;142;293;175;114;76;70;10;29;1036;4774;20080101
AT1;AT13;AT130;90600;90699;2;12;0;1;0;0;0;0;0;0;0;2;9;20080101
AT1;AT13;AT130;90700;90701;2;2888;142;58;148;57;39;27;30;2;18;441;1926;20080101
AT1;AT13;AT130;90700;90702;2;1405;38;14;95;19;13;14;13;1;5;219;974;20080101
AT1;AT13;AT130;90700;90703;2;2363;101;27;111;44;46;43;28;0;10;296;1657;20080101
AT1;AT13;AT130;90700;90704;2;5073;209;107;229;95;112;49;52;4;24;731;3461;20080101
AT1;AT13;AT130;90700;90705;2;4120;337;121;159;119;104;73;48;7;27;587;2538;20080101
AT1;AT13;AT130;90700;90799;2;29;0;1;1;0;0;0;1;0;0;2;24;20080101
AT1;AT13;AT130;90800;90801;2;2411;81;27;121;41;43;30;18;1;23;370;1656;20080101
AT1;AT13;AT130;90800;90802;2;5971;189;83;275;110;74;51;66;5;44;880;4194;20080101
AT1;AT13;AT130;90800;90803;2;3903;176;59;166;79;46;22;52;3;49;539;2712;20080101
AT1;AT13;AT130;90800;90899;2;9;2;0;0;0;0;1;0;0;0;4;2;20080101
AT1;AT13;AT130;90900;90901;2;4289;264;85;141;90;90;51;42;1;21;587;2917;20080101
