Year, Index
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,17.888785545061
1973,18.196950847320302
1974,18.3973409930983
1975,18.0109254054139
1976,17.8623323843713
1977,17.999293087854603
1978,18.7775498563958
1979,18.5501164112901
1980,18.5780047045143
1981,18.94982574072
1982,18.190420458336398
1983,18.032588765702396
1984,18.9640774355352
1985,18.1037840600629
1986,17.9723367089122
1987,17.720084109956
1988,18.5628007757016
1989,17.8057518142916
1990,17.9810832815335
1991,18.167178580623897
1992,18.9204805390378
1993,18.935455757724
1994,18.345573061434898
1995,24.6001061668802
1996,25.940036007276802
1997,26.797712169363297
1998,26.8898454625725
1999,26.627822201928502
2000,26.225079875854
2001,27.965571988455896
2002,26.975500321476304
2003,26.646969932088197
2004,26.308672486445698
2005,25.513955464257897
2006,25.0504425566822
2007,25.391994315615396
2008,26.0775197165623
2009,25.2251652368968
2010,25.2816355062362
2011,25.4279852755305
2012,25.92819764092
2013,26.415173094271196
2014,26.417898311092202
2015,26.826167415542802
2016,25.441098174974698
2017,25.3552369771872
2018,25.4055474663294
2019,
2020,
Unnamed: 65,
