,NUTS1,NUTS2,NUTS3,DISTRICT_CODE,SUB_DISTRICT_CODE,POP_TOTAL,POP_MEN,POP_WOMEN,REF_DATE,year,month
713,AT1,AT13,AT130,90100,.,16306,7849,8457,20190101,2019,01
714,AT1,AT13,AT130,90200,.,104946,51702,53244,20190101,2019,01
715,AT1,AT13,AT130,90300,.,91745,44500,47245,20190101,2019,01
716,AT1,AT13,AT130,90400,.,33263,16109,17154,20190101,2019,01
717,AT1,AT13,AT130,90500,.,55407,27473,27934,20190101,2019,01
718,AT1,AT13,AT130,90600,.,31864,15579,16285,20190101,2019,01
719,AT1,AT13,AT130,90700,.,32288,15558,16730,20190101,2019,01
720,AT1,AT13,AT130,90800,.,25466,12682,12784,20190101,2019,01
721,AT1,AT13,AT130,90900,.,41958,20153,21805,20190101,2019,01
722,AT1,AT13,AT130,91000,.,204142,101964,102178,20190101,2019,01
723,AT1,AT13,AT130,91100,.,103008,50663,52345,20190101,2019,01
724,AT1,AT13,AT130,91200,.,97634,47955,49679,20190101,2019,01
725,AT1,AT13,AT130,91300,.,53778,25176,28602,20190101,2019,01
726,AT1,AT13,AT130,91400,.,92990,45262,47728,20190101,2019,01
727,AT1,AT13,AT130,91500,.,77621,39163,38458,20190101,2019,01
728,AT1,AT13,AT130,91600,.,103785,51580,52205,20190101,2019,01
729,AT1,AT13,AT130,91700,.,57292,28177,29115,20190101,2019,01
730,AT1,AT13,AT130,91800,.,51587,24035,27552,20190101,2019,01
731,AT1,AT13,AT130,91900,.,72947,34001,38946,20190101,2019,01
732,AT1,AT13,AT130,92000,.,86502,42876,43626,20190101,2019,01
733,AT1,AT13,AT130,92100,.,165673,80259,85414,20190101,2019,01
734,AT1,AT13,AT130,92200,.,191008,91740,99268,20190101,2019,01
735,AT1,AT13,AT130,92300,.,106281,50547,55734,20190101,2019,01
736,AT1,AT13,AT130,90100,.,16047,7779,8268,20200101,2020,01
737,AT1,AT13,AT130,90200,.,105848,52251,53597,20200101,2020,01
738,AT1,AT13,AT130,90300,.,91680,44434,47246,20200101,2020,01
739,AT1,AT13,AT130,90400,.,33212,16074,17138,20200101,2020,01
740,AT1,AT13,AT130,90500,.,55123,27196,27927,20200101,2020,01
741,AT1,AT13,AT130,90600,.,31651,15467,16184,20200101,2020,01
742,AT1,AT13,AT130,90700,.,31961,15453,16508,20200101,2020,01
743,AT1,AT13,AT130,90800,.,25021,12474,12547,20200101,2020,01
744,AT1,AT13,AT130,90900,.,41884,20025,21859,20200101,2020,01
745,AT1,AT13,AT130,91000,.,207193,103558,103635,20200101,2020,01
746,AT1,AT13,AT130,91100,.,104434,51348,53086,20200101,2020,01
747,AT1,AT13,AT130,91200,.,97078,47836,49242,20200101,2020,01
748,AT1,AT13,AT130,91300,.,54040,25241,28799,20200101,2020,01
749,AT1,AT13,AT130,91400,.,93634,45467,48167,20200101,2020,01
750,AT1,AT13,AT130,91500,.,76813,38882,37931,20200101,2020,01
751,AT1,AT13,AT130,91600,.,103117,51334,51783,20200101,2020,01
752,AT1,AT13,AT130,91700,.,57027,27998,29029,20200101,2020,01
753,AT1,AT13,AT130,91800,.,51497,24078,27419,20200101,2020,01
754,AT1,AT13,AT130,91900,.,73901,34619,39282,20200101,2020,01
755,AT1,AT13,AT130,92000,.,86368,42860,43508,20200101,2020,01
756,AT1,AT13,AT130,92100,.,167968,81456,86512,20200101,2020,01
757,AT1,AT13,AT130,92200,.,195230,93829,101401,20200101,2020,01
758,AT1,AT13,AT130,92300,.,110464,52632,57832,20200101,2020,01
